Freq_GHz	Rm60_Rs5_dBm	Open_Rs5_dBm	Rm60_Rs15_dBm	Open_Rs15_dBm	Rm60_Rs25_dBm	Open_Rs25_dBm	Rm60_Rs35_dBm	Open_Rs35_dBm	Rm60_Rs45_dBm	Open_Rs45_dBm
1.03812	-21.2899	-16.0263	-21.2923	-16.0301	-21.2953	-16.0345	-21.2989	-16.0396	-21.3031	-16.0453
1.05808	-21.2901	-16.0265	-21.2925	-16.0305	-21.2956	-16.0351	-21.2994	-16.0403	-21.3038	-16.0462
1.07804	-21.2903	-16.0268	-21.2928	-16.0309	-21.296	-16.0356	-21.2999	-16.0411	-21.3045	-16.0472
1.098	-21.2904	-16.027	-21.2931	-16.0312	-21.2964	-16.0362	-21.3005	-16.0419	-21.3052	-16.0482
1.11796	-21.2906	-16.0272	-21.2934	-16.0316	-21.2968	-16.0368	-21.301	-16.0426	-21.306	-16.0492
1.13792	-21.2908	-16.0275	-21.2937	-16.032	-21.2972	-16.0374	-21.3016	-16.0434	-21.3067	-16.0502
1.15788	-21.291	-16.0277	-21.2939	-16.0324	-21.2977	-16.0379	-21.3022	-16.0442	-21.3075	-16.0513
1.17784	-21.2912	-16.028	-21.2942	-16.0329	-21.2981	-16.0385	-21.3028	-16.0451	-21.3082	-16.0524
1.1978	-21.2914	-16.0282	-21.2945	-16.0333	-21.2985	-16.0392	-21.3033	-16.0459	-21.309	-16.0534
1.21776	-21.2916	-16.0285	-21.2948	-16.0337	-21.299	-16.0398	-21.3039	-16.0467	-21.3098	-16.0545
1.23772	-21.2918	-16.0287	-21.2952	-16.0341	-21.2994	-16.0404	-21.3046	-16.0476	-21.3106	-16.0557
1.25768	-21.292	-16.029	-21.2955	-16.0346	-21.2999	-16.0411	-21.3052	-16.0485	-21.3114	-16.0568
1.27764	-21.2922	-16.0293	-21.2958	-16.035	-21.3003	-16.0417	-21.3058	-16.0494	-21.3122	-16.0579
1.2976	-21.2924	-16.0295	-21.2961	-16.0355	-21.3008	-16.0424	-21.3065	-16.0503	-21.3131	-16.0591
1.31756	-21.2926	-16.0298	-21.2965	-16.0359	-21.3013	-16.0431	-21.3071	-16.0512	-21.3139	-16.0603
1.33752	-21.2929	-16.0301	-21.2968	-16.0364	-21.3018	-16.0437	-21.3078	-16.0521	-21.3148	-16.0615
1.35748	-21.2931	-16.0304	-21.2971	-16.0369	-21.3022	-16.0444	-21.3084	-16.0531	-21.3157	-16.0627
1.37744	-21.2933	-16.0307	-21.2975	-16.0374	-21.3027	-16.0451	-21.3091	-16.054	-21.3166	-16.064
1.3974	-21.2936	-16.031	-21.2978	-16.0378	-21.3033	-16.0459	-21.3098	-16.055	-21.3175	-16.0652
1.41736	-21.2938	-16.0313	-21.2982	-16.0383	-21.3038	-16.0466	-21.3105	-16.056	-21.3184	-16.0665
1.43732	-21.294	-16.0316	-21.2986	-16.0388	-21.3043	-16.0473	-21.3112	-16.057	-21.3194	-16.0678
1.45728	-21.2943	-16.0319	-21.2989	-16.0394	-21.3048	-16.0481	-21.3119	-16.058	-21.3203	-16.0691
1.47724	-21.2945	-16.0322	-21.2993	-16.0399	-21.3053	-16.0488	-21.3127	-16.059	-21.3213	-16.0705
1.4972	-21.2948	-16.0325	-21.2997	-16.0404	-21.3059	-16.0496	-21.3134	-16.0601	-21.3222	-16.0718
1.51716	-21.295	-16.0328	-21.3	-16.0409	-21.3064	-16.0504	-21.3142	-16.0611	-21.3232	-16.0732
1.53712	-21.2953	-16.0332	-21.3004	-16.0415	-21.307	-16.0512	-21.3149	-16.0622	-21.3242	-16.0746
1.55708	-21.2955	-16.0335	-21.3008	-16.042	-21.3076	-16.052	-21.3157	-16.0633	-21.3252	-16.076
1.57704	-21.2958	-16.0338	-21.3012	-16.0426	-21.3081	-16.0528	-21.3165	-16.0644	-21.3262	-16.0774
1.597	-21.296	-16.0342	-21.3016	-16.0431	-21.3087	-16.0536	-21.3173	-16.0655	-21.3273	-16.0788
1.61696	-21.2963	-16.0345	-21.302	-16.0437	-21.3093	-16.0544	-21.3181	-16.0666	-21.3283	-16.0803
1.63692	-21.2966	-16.0348	-21.3024	-16.0443	-21.3099	-16.0552	-21.3189	-16.0678	-21.3294	-16.0818
1.65688	-21.2969	-16.0352	-21.3029	-16.0449	-21.3105	-16.0561	-21.3197	-16.0689	-21.3305	-16.0833
1.67684	-21.2971	-16.0355	-21.3033	-16.0454	-21.3111	-16.057	-21.3205	-16.0701	-21.3316	-16.0848
1.6968	-21.2974	-16.0359	-21.3037	-16.046	-21.3117	-16.0578	-21.3214	-16.0713	-21.3327	-16.0863
1.71676	-21.2977	-16.0363	-21.3042	-16.0466	-21.3123	-16.0587	-21.3222	-16.0725	-21.3338	-16.0879
1.73672	-21.298	-16.0366	-21.3046	-16.0473	-21.313	-16.0596	-21.3231	-16.0737	-21.3349	-16.0894
1.75668	-21.2983	-16.037	-21.305	-16.0479	-21.3136	-16.0605	-21.3239	-16.0749	-21.336	-16.091
1.77664	-21.2986	-16.0374	-21.3055	-16.0485	-21.3142	-16.0614	-21.3248	-16.0761	-21.3372	-16.0926
1.7966	-21.2989	-16.0378	-21.3059	-16.0491	-21.3149	-16.0623	-21.3257	-16.0774	-21.3384	-16.0942
1.81656	-21.2992	-16.0382	-21.3064	-16.0498	-21.3155	-16.0633	-21.3266	-16.0786	-21.3395	-16.0959
1.83652	-21.2995	-16.0385	-21.3069	-16.0504	-21.3162	-16.0642	-21.3275	-16.0799	-21.3407	-16.0975
1.85648	-21.2998	-16.0389	-21.3073	-16.0511	-21.3169	-16.0651	-21.3284	-16.0812	-21.3419	-16.0992
1.87644	-21.3001	-16.0393	-21.3078	-16.0517	-21.3176	-16.0661	-21.3293	-16.0825	-21.3432	-16.1009
1.8964	-21.3004	-16.0397	-21.3083	-16.0524	-21.3182	-16.0671	-21.3303	-16.0838	-21.3444	-16.1026
1.91636	-21.3007	-16.0401	-21.3088	-16.0531	-21.3189	-16.0681	-21.3312	-16.0852	-21.3456	-16.1043
1.93632	-21.301	-16.0406	-21.3092	-16.0537	-21.3196	-16.0691	-21.3322	-16.0865	-21.3469	-16.106
1.95628	-21.3014	-16.041	-21.3097	-16.0544	-21.3203	-16.0701	-21.3332	-16.0879	-21.3481	-16.1078
1.97624	-21.3017	-16.0414	-21.3102	-16.0551	-21.3211	-16.0711	-21.3341	-16.0892	-21.3494	-16.1096
1.9962	-21.302	-16.0418	-21.3107	-16.0558	-21.3218	-16.0721	-21.3351	-16.0906	-21.3507	-16.1114
2.01616	-21.3024	-16.0422	-21.3113	-16.0565	-21.3225	-16.0731	-21.3361	-16.092	-21.352	-16.1132
2.03612	-21.3027	-16.0427	-21.3118	-16.0572	-21.3232	-16.0742	-21.3371	-16.0934	-21.3533	-16.115
2.05608	-21.303	-16.0431	-21.3123	-16.058	-21.324	-16.0752	-21.3381	-16.0949	-21.3547	-16.1168
2.07604	-21.3034	-16.0436	-21.3128	-16.0587	-21.3247	-16.0763	-21.3392	-16.0963	-21.356	-16.1187
2.096	-21.3037	-16.044	-21.3133	-16.0594	-21.3255	-16.0774	-21.3402	-16.0978	-21.3574	-16.1206
2.11596	-21.3041	-16.0445	-21.3139	-16.0602	-21.3263	-16.0784	-21.3412	-16.0992	-21.3587	-16.1225
2.13592	-21.3044	-16.0449	-21.3144	-16.0609	-21.327	-16.0795	-21.3423	-16.1007	-21.3601	-16.1244
2.15588	-21.3048	-16.0454	-21.315	-16.0617	-21.3278	-16.0806	-21.3434	-16.1022	-21.3615	-16.1263
2.17584	-21.3051	-16.0458	-21.3155	-16.0625	-21.3286	-16.0818	-21.3444	-16.1037	-21.3629	-16.1283
2.1958	-21.3055	-16.0463	-21.3161	-16.0632	-21.3294	-16.0829	-21.3455	-16.1052	-21.3644	-16.1302
2.21576	-21.3059	-16.0468	-21.3166	-16.064	-21.3302	-16.084	-21.3466	-16.1068	-21.3658	-16.1322
2.23572	-21.3063	-16.0472	-21.3172	-16.0648	-21.331	-16.0852	-21.3477	-16.1083	-21.3672	-16.1342
2.25568	-21.3066	-16.0477	-21.3178	-16.0656	-21.3318	-16.0863	-21.3488	-16.1099	-21.3687	-16.1362
2.27564	-21.307	-16.0482	-21.3183	-16.0664	-21.3327	-16.0875	-21.3499	-16.1115	-21.3702	-16.1383
2.2956	-21.3074	-16.0487	-21.3189	-16.0672	-21.3335	-16.0887	-21.3511	-16.1131	-21.3716	-16.1403
2.31556	-21.3078	-16.0492	-21.3195	-16.068	-21.3343	-16.0898	-21.3522	-16.1147	-21.3731	-16.1424
2.33552	-21.3082	-16.0497	-21.3201	-16.0688	-21.3352	-16.091	-21.3534	-16.1163	-21.3746	-16.1445
2.35548	-21.3085	-16.0502	-21.3207	-16.0697	-21.336	-16.0922	-21.3545	-16.1179	-21.3762	-16.1466
2.37544	-21.3089	-16.0507	-21.3213	-16.0705	-21.3369	-16.0935	-21.3557	-16.1196	-21.3777	-16.1487
2.3954	-21.3093	-16.0512	-21.3219	-16.0713	-21.3377	-16.0947	-21.3569	-16.1212	-21.3793	-16.1509
2.41536	-21.3097	-16.0517	-21.3225	-16.0722	-21.3386	-16.0959	-21.3581	-16.1229	-21.3808	-16.153
2.43532	-21.3101	-16.0523	-21.3231	-16.073	-21.3395	-16.0972	-21.3593	-16.1246	-21.3824	-16.1552
2.45528	-21.3106	-16.0528	-21.3237	-16.0739	-21.3404	-16.0984	-21.3605	-16.1263	-21.384	-16.1574
2.47524	-21.311	-16.0533	-21.3244	-16.0748	-21.3413	-16.0997	-21.3617	-16.128	-21.3856	-16.1596
2.4952	-21.3114	-16.0538	-21.325	-16.0757	-21.3422	-16.101	-21.3629	-16.1297	-21.3872	-16.1618
2.51516	-21.3118	-16.0544	-21.3256	-16.0765	-21.3431	-16.1023	-21.3642	-16.1314	-21.3888	-16.164
2.53512	-21.3122	-16.0549	-21.3263	-16.0774	-21.344	-16.1036	-21.3654	-16.1332	-21.3904	-16.1663
2.55508	-21.3126	-16.0555	-21.3269	-16.0783	-21.3449	-16.1049	-21.3667	-16.135	-21.3921	-16.1686
2.57504	-21.3131	-16.056	-21.3276	-16.0792	-21.3459	-16.1062	-21.368	-16.1367	-21.3937	-16.1709
2.595	-21.3135	-16.0566	-21.3282	-16.0802	-21.3468	-16.1075	-21.3692	-16.1385	-21.3954	-16.1732
2.61496	-21.3139	-16.0571	-21.3289	-16.0811	-21.3478	-16.1088	-21.3705	-16.1403	-21.3971	-16.1755
2.63492	-21.3144	-16.0577	-21.3296	-16.082	-21.3487	-16.1102	-21.3718	-16.1422	-21.3988	-16.1778
2.65488	-21.3148	-16.0583	-21.3302	-16.0829	-21.3497	-16.1116	-21.3731	-16.144	-21.4005	-16.1802
2.67484	-21.3153	-16.0588	-21.3309	-16.0839	-21.3506	-16.1129	-21.3744	-16.1458	-21.4022	-16.1826
2.6948	-21.3157	-16.0594	-21.3316	-16.0848	-21.3516	-16.1143	-21.3758	-16.1477	-21.404	-16.185
2.71476	-21.3162	-16.06	-21.3323	-16.0858	-21.3526	-16.1157	-21.3771	-16.1496	-21.4057	-16.1874
2.73472	-21.3166	-16.0606	-21.333	-16.0868	-21.3536	-16.1171	-21.3785	-16.1515	-21.4075	-16.1898
2.75468	-21.3171	-16.0612	-21.3337	-16.0877	-21.3546	-16.1185	-21.3798	-16.1534	-21.4092	-16.1923
2.77464	-21.3175	-16.0618	-21.3344	-16.0887	-21.3556	-16.1199	-21.3812	-16.1553	-21.411	-16.1947
2.7946	-21.318	-16.0624	-21.3351	-16.0897	-21.3566	-16.1213	-21.3826	-16.1572	-21.4128	-16.1972
2.81456	-21.3185	-16.063	-21.3358	-16.0907	-21.3576	-16.1228	-21.3839	-16.1591	-21.4146	-16.1997
2.83452	-21.3189	-16.0636	-21.3365	-16.0917	-21.3586	-16.1242	-21.3853	-16.1611	-21.4165	-16.2022
2.85448	-21.3194	-16.0642	-21.3372	-16.0927	-21.3597	-16.1257	-21.3867	-16.1631	-21.4183	-16.2047
2.87444	-21.3199	-16.0648	-21.3379	-16.0937	-21.3607	-16.1272	-21.3881	-16.165	-21.4201	-16.2073
2.8944	-21.3204	-16.0654	-21.3387	-16.0947	-21.3618	-16.1286	-21.3896	-16.167	-21.422	-16.2098
2.91436	-21.3209	-16.0661	-21.3394	-16.0958	-21.3628	-16.1301	-21.391	-16.169	-21.4239	-16.2124
2.93432	-21.3214	-16.0667	-21.3402	-16.0968	-21.3639	-16.1316	-21.3924	-16.1711	-21.4258	-16.215
2.95428	-21.3218	-16.0673	-21.3409	-16.0978	-21.365	-16.1331	-21.3939	-16.1731	-21.4277	-16.2176
2.97424	-21.3223	-16.068	-21.3417	-16.0989	-21.366	-16.1347	-21.3954	-16.1751	-21.4296	-16.2202
2.9942	-21.3228	-16.0686	-21.3424	-16.0999	-21.3671	-16.1362	-21.3968	-16.1772	-21.4315	-16.2229
3.01416	-21.3233	-16.0693	-21.3432	-16.101	-21.3682	-16.1377	-21.3983	-16.1793	-21.4334	-16.2255
3.03412	-21.3238	-16.0699	-21.3439	-16.1021	-21.3693	-16.1393	-21.3998	-16.1814	-21.4354	-16.2282
3.05408	-21.3244	-16.0706	-21.3447	-16.1032	-21.3704	-16.1408	-21.4013	-16.1835	-21.4373	-16.2309
3.07404	-21.3249	-16.0713	-21.3455	-16.1042	-21.3715	-16.1424	-21.4028	-16.1856	-21.4393	-16.2336
3.094	-21.3254	-16.0719	-21.3463	-16.1053	-21.3726	-16.144	-21.4043	-16.1877	-21.4413	-16.2364
3.11396	-21.3259	-16.0726	-21.3471	-16.1064	-21.3738	-16.1456	-21.4059	-16.1898	-21.4433	-16.2391
3.13392	-21.3264	-16.0733	-21.3479	-16.1075	-21.3749	-16.1472	-21.4074	-16.192	-21.4453	-16.2419
3.15388	-21.327	-16.074	-21.3487	-16.1087	-21.376	-16.1488	-21.409	-16.1942	-21.4473	-16.2446
3.17384	-21.3275	-16.0746	-21.3495	-16.1098	-21.3772	-16.1504	-21.4105	-16.1963	-21.4493	-16.2474
3.1938	-21.328	-16.0753	-21.3503	-16.1109	-21.3783	-16.152	-21.4121	-16.1985	-21.4514	-16.2502
3.21376	-21.3285	-16.076	-21.3511	-16.112	-21.3795	-16.1537	-21.4137	-16.2007	-21.4534	-16.2531
3.23372	-21.3291	-16.0767	-21.3519	-16.1132	-21.3807	-16.1553	-21.4152	-16.2029	-21.4555	-16.2559
3.25368	-21.3296	-16.0774	-21.3527	-16.1143	-21.3818	-16.157	-21.4168	-16.2052	-21.4576	-16.2587
3.27364	-21.3302	-16.0781	-21.3536	-16.1155	-21.383	-16.1586	-21.4184	-16.2074	-21.4597	-16.2616
3.2936	-21.3307	-16.0789	-21.3544	-16.1167	-21.3842	-16.1603	-21.4201	-16.2097	-21.4618	-16.2645
3.31356	-21.3313	-16.0796	-21.3552	-16.1178	-21.3854	-16.162	-21.4217	-16.2119	-21.4639	-16.2674
3.33352	-21.3318	-16.0803	-21.3561	-16.119	-21.3866	-16.1637	-21.4233	-16.2142	-21.466	-16.2703
3.35348	-21.3324	-16.081	-21.3569	-16.1202	-21.3878	-16.1654	-21.425	-16.2165	-21.4682	-16.2733
3.37344	-21.333	-16.0818	-21.3578	-16.1214	-21.389	-16.1671	-21.4266	-16.2188	-21.4703	-16.2762
3.3934	-21.3335	-16.0825	-21.3586	-16.1226	-21.3903	-16.1689	-21.4283	-16.2212	-21.4725	-16.2792
3.41336	-21.3341	-16.0832	-21.3595	-16.1238	-21.3915	-16.1706	-21.4299	-16.2235	-21.4747	-16.2822
3.43332	-21.3347	-16.084	-21.3604	-16.125	-21.3927	-16.1724	-21.4316	-16.2258	-21.4768	-16.2852
3.45328	-21.3353	-16.0847	-21.3613	-16.1262	-21.394	-16.1741	-21.4333	-16.2282	-21.479	-16.2882
3.47324	-21.3358	-16.0855	-21.3621	-16.1275	-21.3952	-16.1759	-21.435	-16.2306	-21.4813	-16.2912
3.4932	-21.3364	-16.0862	-21.363	-16.1287	-21.3965	-16.1777	-21.4367	-16.233	-21.4835	-16.2943
3.51316	-21.337	-16.087	-21.3639	-16.1299	-21.3978	-16.1795	-21.4384	-16.2354	-21.4857	-16.2973
3.53312	-21.3376	-16.0878	-21.3648	-16.1312	-21.3991	-16.1813	-21.4402	-16.2378	-21.488	-16.3004
