V,lab,f3dB,fT_dev,f_RC_base,f_RC_needed_fT35p5,f_RC_needed_fT32p6,pct_change_needed,f_RC_fmax20,f_RC_fmax40,f_RC_RpCp,f_RC_delay,f_RC_lockL0
-7,38,16.895448297291118,20.2298096017877,30.719945911571838,19.210633543622837,19.755676993904988,-37.46527549585815,31.08997893663916,31.116678480777257,23.08371051792913,30.965424394439435,31.06275201467383
-7,80,16.11721434233676,23.914561456919746,21.816071129337598,18.088933266764766,18.54176414600339,-17.084367943596813,21.35919010175372,21.913624537800253,17.64911586598362,19.72890579839414,22.094174397705128
-7,100,14.764084398614465,21.72488254179233,20.12582315959839,16.234704046489018,16.55967624648051,-19.33396255274966,19.86067578796913,20.145280098530343,17.69937059905762,18.136064254801113,20.217340804808916
-7,140,14.472617014306902,22.719239744208387,18.774953516667725,15.84954369343129,16.151503008872744,-15.581449086621502,18.41708574861093,18.69719311499255,16.081101305170186,17.3514321998727,19.83381915034836
-7,WO,10.166999677072,15.067026008729782,13.776150237855298,10.611495855788807,10.700703654279968,-22.971979307908384,13.397251513950383,13.570795372212318,11.949446401726096,12.076762852291187,14.267777877064814
-5,80,15.967454416582614,30.664165078902705,18.703225406116925,17.877972732236625,18.31476089953238,-4.412354853031919,18.055925676262422,18.70690891660688,14.04874014929334,17.055371585299703,18.663146558610478
-5,WO,10.027380830211536,21.352659715774376,11.35764488114961,10.453042783038175,10.53828179965012,-7.9646978539786195,11.017343095253704,11.177624648238568,10.319293484632391,9.956245127383006,11.64459613924198
