f,median,std,count,fam
5.08,0.3200000000000003,1.2696772820878114e-15,21,A_Cal.s2p
5.25,0.3200000000000003,1.1359458890015176e-16,17,A_Cal.s2p
5.42,0.33000000000000185,1.7284393335415276e-15,9,A_Cal.s2p
5.58,0.33000000000000007,1.7118688627869887e-15,16,A_Cal.s2p
5.75,0.33999999999999986,1.18687833744435e-16,15,A_Cal.s2p
5.92,0.34999999999999964,1.590889291429193e-15,7,A_Cal.s2p
6.08,0.34999999999999787,1.8080427154890602e-15,15,A_Cal.s2p
6.25,0.35999999999999943,1.0412125019176512e-15,12,A_Cal.s2p
6.42,0.35999999999999943,0.0,3,A_Cal.s2p
6.5,0.35999999999999943,1.6396945454457612e-15,11,A_Cal.s2p
6.67,0.370000000000001,1.5907601555637723e-15,16,A_Cal.s2p
6.83,0.3799999999999999,1.4934647558777201e-15,12,A_Cal.s2p
7.0,0.379999999999999,1.3025280040350902e-15,8,A_Cal.s2p
7.17,0.39000000000000057,1.6303384401815913e-15,22,A_Cal.s2p
7.33,0.39000000000000057,0.0,9,A_Cal.s2p
7.5,0.40000000000000013,1.5561835079821785e-15,10,A_Cal.s2p
7.67,0.3999999999999986,1.251650292199204e-15,16,A_Cal.s2p
7.83,0.41000000000000014,2.1339527542557258e-16,19,A_Cal.s2p
8.0,0.41000000000000014,8.392497208503151e-17,8,A_Cal.s2p
8.17,0.41999999999999815,1.8490297015668032e-15,11,A_Cal.s2p
8.33,0.4200000000000017,1.5245367351712178e-15,21,A_Cal.s2p
8.5,0.4200000000000017,1.415262216750919e-15,11,A_Cal.s2p
8.67,0.4200000000000017,0.0,10,A_Cal.s2p
8.83,0.4299999999999997,5.055402096967028e-16,17,A_Cal.s2p
9.0,0.4299999999999997,3.563106817568154e-16,6,A_Cal.s2p
9.17,0.4399999999999977,1.8358287909110652e-15,15,A_Cal.s2p
9.33,0.4499999999999993,2.805672991695901e-16,12,A_Cal.s2p
