D,V,lab,camp,rms_base,f_RC_base,rms_delay,tau_ps,L1,Lm,L2,f_RC_delay
40,-7,38,40,0.2213445528167577,30.72004965065236,0.2037992892699962,1.2378522222065946,4.1474256407669116e-12,208.57426976588292,85.76987623803502,30.965424394439435
40,-5,38,40,0.2417146392805169,26.96371389646524,0.2199404910225867,1.459764168500934,3.3618291716292738e-19,209.2032591269819,76.21023583381897,26.88652307887516
40,-7,80,40,0.1319312007272389,21.81607422454745,0.03934492290941274,3.6007243759240493,38.016770245303626,245.27312436883372,1.9917121478524634e-23,19.72890579839414
40,-5,80,40,0.1356207567542362,18.70322541668276,0.031235064804962357,2.512908527602175,102.6033764136211,17.972478870567468,2.506687010051873e-19,17.055371585299703
40,-7,100,40,0.1194001612935741,20.12583016820673,0.028018193015453153,2.621814469728525,93.01430595385277,91.88125836458387,1.9244993155892268e-18,18.136064254801113
40,-5,100,40,0.1243115738905794,17.032101284770654,0.02345790198697748,2.5717284896986268,97.89530181339464,105.9050742262321,1.412493435895292e-13,15.196366197282842
40,-7,140,40,0.1290991892614529,18.774954904461094,0.03450712867525092,2.6683987150703072,77.86055491095378,599.9999999999999,3.4788549392632553,17.3514321998727
40,-5,140,40,0.1325514770803903,15.658197976315323,0.03128517340092823,2.573882700397737,89.34785994252411,599.9999999999999,2.4599310748549888e-19,14.427368870965712
40,-7,WO,40,0.1673174419666523,13.776150578400143,0.056679894894614155,1.9971579570969886,1.3813897616932362,0.0,131.43310568054304,12.076762852291187
40,-5,WO,40,0.1700711264429963,11.35764488114961,0.04366215629950485,2.104754677533027,3.735194235372182,0.0,126.11938592210298,9.956245127383006
30,-7,38,Mar,0.0557898607327854,41.38099554888399,0.01018673616218365,3.1775746626968817,40.02458972083568,103.1789561687443,4.5131617933879854e-15,50.81552361091183
30,-5,38,Mar,0.0634121007584997,37.78499636498908,0.01180195737800504,3.106629422796819,46.521293513588326,97.37251222034324,1.7799892806375464e-22,44.480119956989014
30,-7,60,Mar,0.0591589342075492,34.91455567190063,0.00682718693765289,3.6924078472904105,16.4378602308474,248.90768610843142,3.31995164724967,40.607108344265406
30,-5,60,Mar,0.0656421450569862,31.35021754934488,0.007982943301554121,3.5447719830326245,28.553042488068083,229.49645257082358,2.8535838895975975e-20,35.24299306783866
30,-7,200,Mar,0.0617342020134535,24.62898126050332,0.014032046050433785,1.8954984899447656,1.188049316836156e-13,429.9077573995209,106.23064447717182,24.64535773660734
30,-5,200,Mar,0.0650223159810404,21.043604569983927,0.011946245781690151,2.2217607520661207,2.087831311678072e-17,599.9999999999999,96.25190015435548,20.833381627295424
30,-7,WO,Mar,0.0699954977053447,21.96423308948995,0.06807560357327391,0.2758949919027726,86.34804249915183,0.0,86.32563594886093,21.647229153613235
30,-5,WO,Mar,0.0772079559975875,18.51962386353122,0.07116871132035775,0.5313685254181677,47.17404203673827,0.0,121.19731646676229,17.937928901408277
30,-7,38,Jan,0.0634134411132885,37.94851043208509,0.011182006851947382,3.381386877301644,41.93166268843182,89.84431211070863,1.019696427371955e-15,50.37251861682925
30,-5,38,Jan,0.0705823659234596,35.846987257742434,0.01184363603901193,3.331119521107078,46.800477368282344,82.47594542577244,7.884463933838341e-16,44.48271878951278
30,-7,76,Jan,0.0659210624612163,32.68501380621466,0.009745489257495951,3.9994213492835198,2.226634332626033e-12,374.402482450125,8.341071279566485,36.18725279697444
30,-5,76,Jan,0.072437035970582,29.41469802114285,0.010486958590454126,3.9270543852914317,13.527332984833233,359.88758624990686,3.0679373302251445e-15,31.576665220572043
30,-7,120,Jan,0.0629153463183831,28.78681973077768,0.007152233565982755,3.020080600601597,6.365931893753301,599.9999999999999,54.22091001795435,31.417134569695612
30,-5,120,Jan,0.0685624020895816,25.56028070784499,0.007816964681258835,3.1245113482529123,18.901428334745304,599.9999999999999,37.76210286107158,26.523535007192518
30,-7,WO,Jan,0.0753694947812452,22.25432797863476,0.06877795192731764,0.5240866051881924,27.271120872793873,0.0,148.69566125892626,21.723130339963785
30,-5,WO,Jan,0.0812960287827678,18.80213745006883,0.06827896625164646,0.7860654790995051,69.5081707155968,0.0,101.39344228089033,17.993994733295832
