label,base,tau,rms_pole,tau_c,rms_pole_c,k,ftr_k,rms_k,f_g,rms_g,tau2,rms_2p
"40 um, -7 V (5 devices)",1.4968323593426431,7.36568556204518,0.5376549703131868,7.034474989963748,0.4797313201239646,2.3005868527332587,18.332264640904395,0.5275354283894683,34.72875187779693,0.526593417101485,4.891450361931165,0.5303043765083918
"40 um, all 7 sheets",1.337293531641433,7.135252492014411,0.5334343821672894,6.815118615941904,0.46421157939045155,2.263870385327928,18.629585552684766,0.5192533734879232,35.35489373340405,0.5169138778093116,4.772400131398516,0.5240575477617764
40 um V1 only (38/100/140/WO -7 V),1.5799469578527783,7.765357735200432,0.43462445602089106,7.668958412187451,0.375940926364547,2.396147122119536,17.6011593025429,0.3797766918050035,33.06024101164088,0.36871968714056913,5.150285391809137,0.4008420183112133
"40 um V2 only (80 -7/-5, WO -5)",0.8441898017377347,5.577793738150749,0.49753237620439,4.54090365860496,0.45016208907753225,1.9030496423527843,22.161779797738994,0.5129891845844082,44.23665654189748,0.5174689061424997,3.7696873293357505,0.5070437368534917
"30 um, -7 V (8 devices)",0.7957043987422553,3.361367308687274e-06,0.7957043987425595,1.238326769261339e-13,0.5781973941360856,0.8273638353068569,50.975115651994884,0.7527693621293604,4999.999999999995,0.7957589612247205,2.3694731181474193e-10,0.7957043987422553
"30 um, -7 and -5 V (12)",0.7765783012896861,8.301041955595737e-12,0.7765783012896861,2.1808148334861625e-14,0.5978961668278004,0.8754935573023118,48.172789866493055,0.7533454334380821,4999.999999999983,0.7766190345845981,2.1955507955532388e-07,0.776578301289688
