D,V,lab,camp,Rm,Capp_meas_fF,Capp_ladder_fF,C_CV_plus_CPW,Lm_over_Rm2_fF,Capp_plus_LmRm2
40,-7,38,40,42.52385943293988,63.75208263700174,76.0094136186024,274.13,118.97084176810517,182.7229244051069
40,-5,38,40,39.10732519408157,70.31823213569592,83.00099273270052,321.13000000000005,142.83871915445576,213.1569512901517
40,-3,38,40,37.49269327868941,86.59390173986985,150.63689935333255,436.93,185.71593485250074,272.30983659237063
40,-7,80,40,80.34907342646851,288.4437650472812,262.4461696978714,274.13,1.0850761365021883e-20,288.4437650472812
40,-5,80,40,77.17008451359483,332.09242570405013,307.7839053637166,321.13000000000005,1.5851947329670377e-19,332.09242570405013
40,-3,80,40,74.93494699488213,449.6756201274867,423.1857563073922,436.93,1.1506305347604563e-18,449.6756201274867
40,-7,100,40,107.54213960347053,303.8033782336577,268.7677585876574,274.13,1.2710467319379272e-20,303.8033782336577
40,-5,100,40,103.95428604380513,350.1251469389135,315.23869886008464,321.13000000000005,3.964481392378431e-21,350.1251469389135
40,-3,100,40,101.08083437622632,468.2795916190679,431.74229625922237,436.93,4.721466713064897e-18,468.2795916190679
40,-7,140,40,142.52653410946385,286.99867422602705,272.96117787632204,274.13,2.236141577187225e-28,286.99867422602705
40,-5,140,40,140.73580789173042,335.87548067454566,320.14009314902466,321.13000000000005,8.230276964821084e-21,335.87548067454566
40,-3,140,40,138.91058057424596,457.75750095246843,437.30964196843547,436.93,3.8933143894946124e-21,457.75750095246843
30,-7,38,Mar,38.1533546432172,69.13011300243292,46.594918912277734,180.03000000000003,32.27428621854119,101.40439922097413
30,-5,38,Mar,35.6820204098825,79.17853925995155,41.724273194834474,207.63000000000002,46.97077744610882,126.14931670606036
30,-3,38,Mar,34.5030854206378,140.28860969528833,71.25326435971857,277.33000000000004,77.50036873857194,217.78897843386025
30,-7,60,Mar,60.34761941247577,139.31473192238275,119.85395267236338,180.03000000000003,18.69028845939117,158.0050203817739
30,-5,60,Mar,57.513546476748324,161.2987055191785,133.23451027887637,207.63000000000002,27.443279672472862,188.74198519165134
30,-3,60,Mar,55.51473859107779,228.49132510145063,178.39685219009266,277.33000000000004,48.01885741713164,276.51018251858227
30,-7,200,Mar,205.54287676184447,209.066611230393,175.9343512069751,180.03000000000003,8.629481182720303e-26,209.066611230393
30,-5,200,Mar,202.2638390681768,236.7833294555718,203.43931278747652,207.63000000000002,1.3265217350074795e-13,236.78332945557196
30,-3,200,Mar,199.89518933883642,306.0609583812187,278.7595104216944,277.33000000000004,2.4930529971183038e-24,306.0609583812187
30,-7,38,Jan,37.938294147860866,70.29850929641333,49.690152746938146,180.03000000000003,17.223929119450055,87.52243841586339
30,-5,38,Jan,34.889372888630504,72.1236412247529,36.97778298787728,207.63000000000002,32.771384971132825,104.89502619588573
30,-3,38,Jan,33.232610117694506,131.92045106850247,51.71810502366748,277.33000000000004,74.64681722276424,206.56726829126669
30,-7,76,Jan,73.29008493398887,160.4389388340396,140.45147132776944,180.03000000000003,11.783681146957546,172.22261998099714
30,-5,76,Jan,70.16991797628395,183.46477090854313,154.92885869855527,207.63000000000002,21.639557778779363,205.1043286873225
30,-3,76,Jan,68.39264792862659,246.2402969004523,200.6711097844928,277.33000000000004,42.89744281134054,289.13773971179285
30,-7,120,Jan,115.01047892837558,184.5657572223479,166.04904080714417,180.03000000000003,2.916390145101747,187.48214736744967
30,-5,120,Jan,112.1670315927856,212.93963624710844,187.49188596909528,207.63000000000002,8.809544757086297,221.74918100419472
30,-3,120,Jan,110.0948479131972,284.2616351898,273.50335602107464,277.33000000000004,2.0263710896564093e-21,284.2616351898
