subset,model,N,slope,icpt,adjR2,fT,icpt_slope1,fT_slope1
"untruncated, all D",baseline,14,1.2458408424467404,0.8798640484740233,0.8787250375591743,33.71259735957544,1.625477272382136,24.80330474453409
"untruncated, all D",delay,14,0.9564169089704895,1.3164565684001857,0.9068475199323848,27.561111758129865,1.1641676639305605,29.308408355208385
"untruncated, 30 um",baseline,7,1.157299431598655,0.7922654445959546,0.9602931706437486,35.52749957396546,1.2610721889391532,28.15982982518227
"untruncated, 30 um",delay,7,0.9733707989351059,1.1525507515036268,0.9634989960164618,29.455742247427146,1.0680463937879152,30.598838470443237
"untruncated, 40 um",baseline,5,1.1187797691554178,2.13875242089157,0.8718998034229889,21.623188930231944,2.5818234985408717,19.680527077538883
"untruncated, 40 um",delay,5,0.8318203904317129,2.386335908168105,0.876842576945271,20.470771558504616,1.59263225491929,25.057760067098137
"untruncated, 30+40 um -7 V",baseline,6,1.6896599050481989,0.4577890643611427,0.9014447586573693,46.737695304655674,2.138282799137245,21.625563303356394
"untruncated, 30+40 um -7 V",delay,6,1.212383102207517,1.0814597047411147,0.9254549858848569,30.40848818258838,1.6934486873433112,24.30043114949379
