D,V,lab,camp,rms_base,f_RC_base,rms_lock_LmOnly,Lm_lockOnly,f_RC_lockOnly,rms_lock_L0,Lm_lockL0,L0_pH,f_RC_lockL0
40,-7,38,40,0.2213445528167577,30.72004965065236,0.3171339373155064,273.47069009317954,31.06274521342822,0.31713393730593553,273.4714240829318,6.671574892791111e-12,31.06275201467383
40,-5,38,40,0.2417146392805169,26.96371389646524,0.3263785019160529,279.99389598470594,27.75653022285856,0.3263785017293513,280.00575708026076,3.4860672089448225e-12,27.756646315726357
40,-7,80,40,0.1319312007272389,21.81607422454745,0.26942405602904224,1e-10,18.88053817145629,0.12045733800644912,3.1440371450678584e-15,95.20557661386705,22.094174397705128
40,-5,80,40,0.1356207567542362,18.70322541668276,0.28487823607107,1e-10,15.845975591528603,0.1218874672450256,4.1388676780805284e-18,98.61391353618424,18.663146558610478
40,-7,100,40,0.1194001612935741,20.12583016820673,0.27878496588696206,5.59744240432973e-13,17.45405813854277,0.10697555144925584,6.516915870414141e-15,93.97357252460088,20.217340804808916
40,-5,100,40,0.1243115738905794,17.032101284770654,0.2924882108951515,1.2006422230395348e-11,14.55995054841258,0.10979597818275144,4.097647603294469e-19,96.06567896401415,16.88153715190952
40,-7,140,40,0.1290991892614529,18.774954904461094,0.2536207847625317,1e-10,16.375545903915565,0.12587367117414608,599.9999999999116,77.51316425221233,19.83381915034836
40,-5,140,40,0.1325514770803903,15.658197976315323,0.2732024775888659,1e-10,13.552910850818634,0.12604354097153908,2.6729687277787346e-17,82.80172622326026,15.276152025911989
40,-7,WO,40,0.1673174419666523,13.776150578400143,0.33262336455749136,0.0,12.862762541932918,0.119619613127677,0.0,98.96693846739905,14.267777877064814
40,-5,WO,40,0.1700711264429963,11.35764488114961,0.3507756381149161,0.0,10.554216310124891,0.11778324876210973,0.0,102.86729489593156,11.64459613924198
30,-7,38,Mar,0.0557898607327854,41.38099554888399,0.056273233740394675,50.05803943527544,41.46970599486879,0.05627285756012866,50.3808667304769,0.2959862601508109,41.51438133813408
30,-5,38,Mar,0.0634121007584997,37.78499636498908,0.06602882066486795,39.307031629420635,36.2924077470998,0.060993054231417626,71.22428952811671,24.926773651323906,39.25385789953423
30,-7,60,Mar,0.0591589342075492,34.91455567190063,0.05961423553461933,59.65712765264656,34.69480451368489,0.05842266053948874,85.64835776455804,11.554697656921253,36.25002151730458
30,-5,60,Mar,0.0656421450569862,31.35021754934488,0.07344507280355131,42.10279771537372,29.771356525231287,0.062380089741010565,116.07944700321025,28.872317051016434,33.22010553114602
30,-7,200,Mar,0.0617342020134535,24.62898126050332,0.09241527633663561,1e-10,25.529111206417063,0.0697826870907588,4.11450070855928e-13,29.972472047882054,26.748696553535456
30,-5,200,Mar,0.0650223159810404,21.043604569983927,0.11095263892786382,1e-10,21.593239200921307,0.0661325002939406,1.9556553637887e-11,39.99397767908605,22.990421342866643
30,-7,WO,Mar,0.0699954977053447,21.96423308948995,0.0699954977053447,0.0,21.964233089489948,0.06975041646688154,0.0,2.5318482150887003,22.03425536853048
30,-5,WO,Mar,0.0772079559975875,18.51962386353122,0.08672119592156008,0.0,18.33829509220976,0.07350272301438315,0.0,18.3637058465134,18.761602763071473
30,-7,38,Jan,0.0634134411132885,37.94851043208509,0.07277264065047195,31.58295710441615,40.15984293360938,0.0669171372341935,61.894549134394765,34.04494465765041,43.472429660729105
30,-5,38,Jan,0.0705823659234596,35.846987257742434,0.09294981593857272,28.669739328579404,35.87067429420754,0.06992057435325191,82.25167530713297,53.99675938133356,39.688693486633646
30,-7,76,Jan,0.0659210624612163,32.68501380621466,0.06742945280741847,29.59418162376434,31.74784911533193,0.0643140414377213,83.37965821422284,17.8228830516755,33.99155013824171
30,-5,76,Jan,0.072437035970582,29.41469802114285,0.08390389921374768,17.562353717488488,27.31358795592556,0.06774805953118296,133.7533925668023,33.91328948778023,31.088174173695183
30,-7,120,Jan,0.0629153463183831,28.78681973077768,0.07553229780323255,8.368984712593501e-11,28.113587282745176,0.05958900837990807,64.26259142409448,28.38927711837234,30.063069852699606
30,-5,120,Jan,0.0685624020895816,25.56028070784499,0.09910133675716326,1e-10,24.02946233273427,0.06231844253711913,119.80264603388311,40.92279089723491,26.604786183219048
30,-7,WO,Jan,0.0753694947812452,22.25432797863476,0.1030534589480677,0.0,21.964233089489948,0.06798548816848626,0.0,32.73299921268709,22.835988989185346
30,-5,WO,Jan,0.0812960287827678,18.80213745006883,0.13432193278857793,0.0,18.33829509220976,0.07008134133524152,0.0,44.93195956501515,19.34927816810204
