D,V,lab,camp,Rm,rms_base,f_RC_base,rms_delay,tau_ps,L1,Lm,L2,f_RC_delay,f3,ok,x_base,x_delay,y,fT_dev_base,fT_dev_delay
25,-7,WO,25um,170797.58849843184,0.1680713087618783,28.072222933054057,0.16261835491697404,0.4452824599790459,87.88788647550727,0.0,76.52714048057003,27.67972923596417,24.282107749367988,True,1.2689554979698636,1.3051977755720883,1.6960054213640077,48.39056310187043,50.584617938221086
25,-5,WO,25um,-44391.00151539512,0.1784126449365451,24.409001305145765,0.16302468030616257,0.7685337402206357,79.32761535132174,0.0,79.32761915155126,23.54817383097882,20.982182310687847,True,1.678417421689189,1.8033728782424436,2.2714264963665136,41.064763911878096,46.222368610955456
30,-7,38,Mar,38.1533546432172,0.0557898607431135,41.38107388203738,0.010186736162183649,3.177574662696045,40.02458968887965,103.17895611225482,1.2374189924774418e-16,50.815523611242426,32.660044953223895,False,0.58397799981533,0.3872640562928881,0.937489567780204,53.18610481466391,42.631404283743585
30,-7,60,Mar,60.34761941247577,0.0591589342321191,34.91470577654869,0.0068271869375821715,3.6924116237434377,16.43777868722168,248.907905202208,3.319845288745502,40.60710022669244,28.162945076636927,False,0.8203198614503892,0.6064514589461694,1.2607932167165283,47.64750658111388,39.09288139078583
30,-7,200,Mar,205.54287676184447,0.0617342020134682,24.62898126250384,0.014032046051820008,1.895498306209022,2.3970182936024055e-94,429.90843713893776,106.23066713533852,24.645361309048727,19.77629824025923,True,1.6485689024806156,1.6463782540008902,2.556877927927738,33.18051979107119,33.140579837843354
30,-7,WO,Mar,26901.931935539636,0.0699954977054953,21.964233904393,0.06807560351734505,0.27587972856324045,0.1805105682558244,0.0,172.49401609266337,21.647249075597557,17.46499047184734,True,2.072850019564335,2.1340007689180203,3.2784102124820693,28.800866250724187,29.56033037451559
30,-5,38,Mar,35.6820204098825,0.0634121007614159,37.78500850825858,0.011801957378005039,3.1066294225089175,46.52129354008047,97.37251224591857,3.053459683057075e-25,44.480119956506734,33.20976420894229,False,0.7004238912308657,0.5054382447642373,0.9067100214376816,69.62496431148477,49.9207029980342
30,-5,60,Mar,57.513546476748324,0.065642145076804,31.350313193800115,0.007982943301554121,3.5447719830326245,28.553042488068083,229.49645257082358,2.8535838895975975e-20,35.24299306783866,27.220453557917992,False,1.017457394222958,0.8051085357915194,1.3496131009284202,54.86926476748915,42.85477678677623
30,-5,200,Mar,202.2638390681768,0.0650223159814799,21.04360810702473,0.011946245781690151,2.2217607520661207,2.087831311678072e-17,599.9999999999999,96.25190015435548,20.833381627295424,16.432441448308193,True,2.258185369013052,2.3039893181854314,3.7033589902197535,26.305101816143036,26.732142732023625
30,-5,WO,Mar,41794.21570574908,0.0772079559984279,18.519622134870456,0.07116871132033772,0.531370454794764,2.2362477755531875,0.0,166.1350178577201,17.93792682852953,14.5775825528067,True,2.9156524713764256,3.1078174705490733,4.705751409398261,23.635319778143117,25.01615675169291
30,-3,60,Mar,55.51473859107779,0.0786314590019585,24.447475020505667,0.015268396846487257,3.2930041797549587,44.36361908849876,215.24136110940992,1.0275123679934293e-15,25.172534747959983,21.131713473786377,True,1.673138828106472,1.5781420866094078,2.2393943241901977,42.02365136619625,38.88807294318624
30,-3,200,Mar,199.89518933883642,0.0770162016068752,15.092052910478184,0.017503429742567977,2.4253837517043295,18.354441405550748,599.9999999999999,72.8858760714388,14.582485314238909,13.314334526948755,True,4.390392641501486,4.702587710254394,5.641064570589376,28.2766723010642,32.642860989710236
30,-3,WO,Mar,7898.118832654097,0.0895989085162386,13.01488321101692,0.06849155868198761,1.1041208787103765,102.28643076171227,0.0,49.68643660690957,12.180017229718601,11.497237737198605,True,5.903634327598002,6.740687517181838,7.565070447407066,24.53342464750828,34.828558870668964
30,-7,38,Jan,37.938294147860866,0.0634134411619985,37.94895050725626,0.01118200685194738,3.381386876565797,41.93166265353004,89.84431190729208,3.6835386652752014e-25,50.37251861123793,33.99532798691818,False,0.6943852073093368,0.3941056562944356,0.865289689407965,76.49327824344068,46.0685684865479
