D,V,camp,f_GHz,ReZ_meas,ReZ_model,ImZ_meas,C_meas_fF,C_CV_plus_CPW,C_model_fittedL,C_model_noL,C_meas_minus_CPW,Cpd_CV,excess_pct_vs_CV,excess_pct_vs_model
40,-7,40,1.0,4.73814077006858,6.148854290666289,-552.0298635076524,288.3085746133534,274.13,274.9009728781167,274.12371405306567,241.77857461335344,227.60000000000002,5.172208300205533,4.8772478303237135
40,-7,40,2.0,4.500925024478439,6.148767814934386,-274.20013177315394,290.2167516527023,274.13,277.2401330143763,274.1048582953831,243.6867516527023,227.60000000000002,5.868293018896982,4.6806421917468555
40,-7,40,3.0,4.027326085236246,6.148623694119624,-181.29520152310943,292.62576864471527,274.13,281.22846998406305,274.0734389745889,246.0957686447153,227.60000000000002,6.74707935822977,4.052683094744311
40,-7,40,5.0,3.658106899665403,6.148162552909885,-104.87729313726557,303.50696195713226,274.13,294.7995001650685,273.97295542230466,256.9769619571323,227.60000000000002,10.716434522719974,2.9536894693472053
40,-5,40,1.0,4.518632374742693,6.522318490314179,-472.0067561618572,337.18784956823595,321.13000000000005,322.2227663646542,321.1205761511279,290.657849568236,274.6000000000001,5.000420256044563,4.6443283236684865
40,-5,40,2.0,4.665387196412545,6.522221191067917,-233.83584315593438,340.31340307773564,321.13000000000005,325.54614888458667,321.0923084850555,293.7834030777356,274.6000000000001,5.973718767394999,4.5361477147697
40,-5,40,3.0,4.161522308700551,6.52205903210843,-154.24026791198338,343.954587316797,321.13000000000005,331.24012909951733,321.0452086394212,297.424587316797,274.6000000000001,7.107584877400718,3.8384413904934016
40,-5,40,5.0,3.8945046506311685,6.521540177619577,-88.5238745355531,359.5751856251508,321.13000000000005,350.8787424698113,320.89459766568496,313.04518562515085,274.6000000000001,11.971844930448963,2.478475354228028
40,-3,40,1.0,4.958638567189937,7.121285293571856,-347.37070400376905,458.17030986633944,436.93,439.05411807028605,436.91009702860225,411.64030986633946,390.4,4.861261498715921,4.35394886627465
40,-3,40,2.0,4.842873271671685,7.1211693032785,-171.50555950656585,463.99353918845503,436.93,445.55222341350145,436.85040028862045,417.463539188455,390.4,6.194021739970938,4.138979631538912
40,-3,40,3.0,4.3727608115160095,7.120975994519256,-112.32886249860798,472.28865776109757,436.93,456.8206517998469,436.75094628407874,425.75865776109754,390.4,8.09252231732716,3.3860128477790137
40,-3,40,5.0,4.266897775391431,7.120357477009837,-63.10906139295612,504.38063751542126,436.93,497.04720423991495,436.4330337747603,457.8506375154213,390.4,15.437401303508864,1.4753997634330538
30,-7,Mar,1.0,1.733081296856492,4.904965970679199,-855.7790581044724,185.97667421824886,180.03000000000003,180.268190742846,180.02806840919283,139.44667421824886,133.5,3.303157372798341,3.1666615457111225
30,-7,Mar,2.0,4.677527901475111,4.904910943268705,-426.4721581761007,186.5947636213293,180.03000000000003,180.98655982075164,180.02227397213161,140.0647636213293,133.5,3.6464831535462263,3.0986852317276927
30,-7,Mar,3.0,4.6158054667342485,4.904819233661553,-283.91574634485374,186.85701085722846,180.03000000000003,182.1966501014811,180.01261769475073,140.32701085722846,133.5,3.792151784273977,2.557874007645904
30,-7,Mar,5.0,3.53048962440404,4.904525785963406,-167.56215648438737,189.96525997410953,180.03000000000003,186.18005878734948,179.98172699273314,143.43525997410953,133.5,5.518669096322562,2.0330862560761274
30,-5,Mar,1.0,3.01947829534223,5.369995839467477,-740.5748619670103,214.90729872895022,207.63000000000002,207.9629075295842,207.62705685891663,168.37729872895022,161.10000000000002,3.50493605401445,3.3392450999359857
30,-5,Mar,2.0,4.381640037139088,5.369929883436222,-369.0477459947025,215.6292035640558,207.63000000000002,208.96806650763935,207.61822808085105,169.0992035640558,161.10000000000002,3.85262416994452,3.1876339613703486
30,-5,Mar,3.0,4.6566061719349845,5.3698199603178045,-245.77241345661324,215.85680406993188,207.63000000000002,210.6650997292744,207.60351560100398,169.32680406993185,161.10000000000002,3.962242484193927,2.464434947852934
30,-5,Mar,5.0,3.832268793077084,5.369468236578764,-144.45454977783103,220.3529668489823,207.63000000000002,216.28577753528626,207.5564537197793,173.8229668489823,161.10000000000002,6.127711240659964,1.8804700706834523
30,-3,Mar,1.0,4.019835586145398,6.177897727381627,-556.2473342087808,286.1226172315613,277.33000000000004,277.9717776798359,277.32352080773063,239.5926172315613,230.80000000000004,3.1704529735554225,2.932254353214738
30,-3,Mar,2.0,5.010527874626267,6.177810432809003,-276.40724417225744,287.89937030866986,277.33000000000004,279.91505756783084,277.30408541340404,241.36937030866986,230.80000000000004,3.8111168314534343,2.852405586971395
30,-3,Mar,3.0,5.056998240738289,6.177664947336656,-183.16493422884773,289.6386686712387,277.33000000000004,283.214949677542,277.2717003626276,243.10866867123866,230.80000000000004,4.438275221302645,2.268142624889858
30,-3,Mar,5.0,4.533565074133435,6.177199439868948,-106.56761544958295,298.69288605259527,277.33000000000004,294.31795770300283,277.16812925305925,252.1628860525953,230.80000000000004,7.703056305699079,1.486463273847256
30,-7,Jan,1.0,-4.854287481059153,4.904965970679199,-841.6221035029414,189.1049943073876,180.03000000000003,180.2898489909132,180.02806840919283,142.5749943073876,133.5,5.040823366876405,4.889429641110129
30,-7,Jan,2.0,3.1076818610353514,4.904910943268705,-416.2784221772611,191.1640558492886,180.03000000000003,181.07391630757138,180.02227397213161,144.6340558492886,133.5,6.184555823634153,5.572387093333832
30,-7,Jan,3.0,3.0004386455820162,4.904819233661554,-276.78107357326,191.67368278617658,180.03000000000003,182.39596100730856,180.01261769475073,145.14368278617658,133.5,6.467634719867009,5.086582908760943
30,-7,Jan,5.0,3.571746207755131,4.904525785963407,-163.96580331212027,194.13187369189768,180.03000000000003,186.75933867189562,179.98172699273314,147.60187369189768,133.5,7.833068761816183,3.9476125116047727
30,-5,Jan,1.0,-3.220240742568773,5.369995839467478,-728.1760548405738,218.56657058949924,207.63000000000002,207.99177856001597,207.62705685891663,172.03657058949923,161.10000000000002,5.267336410682089,5.0842355898369895
30,-5,Jan,2.0,4.217107308647578,5.369929883436222,-360.8110100923735,220.5516719835532,207.63000000000002,209.08471857595237,207.61822808085105,174.0216719835532,161.10000000000002,6.223412793697049,5.484357482316591
30,-5,Jan,3.0,3.4276697869620874,5.3698199603178045,-239.81375849541035,221.22020033439313,207.63000000000002,210.93203618078914,207.60351560100398,174.69020033439313,161.10000000000002,6.545393408656311,4.87747823416734
30,-5,Jan,5.0,3.9095578059310356,5.369468236578765,-141.26655534207998,225.32572229357226,207.63000000000002,217.06920070764247,207.5564537197793,178.79572229357225,161.10000000000002,8.522719401614525,3.803635688072588
30,-3,Jan,1.0,-0.5183744202165044,6.177897727381628,-547.4571358435157,290.71672039980115,277.33000000000004,278.0242309211691,277.32352080773063,244.18672039980115,230.80000000000004,4.827000468683917,4.565245783282428
30,-3,Jan,2.0,4.850311288911945,6.1778104328090055,-270.7009126602405,293.96824252981435,277.33000000000004,280.12793599453363,277.30408541340404,247.43824252981435,230.80000000000004,5.999438405442721,4.940709139252289
30,-3,Jan,3.0,4.384682777395556,6.177664947336657,-179.1824640522509,296.0761142442388,277.33000000000004,283.70576240766366,277.2717003626276,249.54611424423877,230.80000000000004,6.75949743779567,4.3602751426669615
30,-3,Jan,5.0,4.625100620417464,6.177199439868949,-104.32746669143567,305.10650385601764,277.33000000000004,295.795149187557,277.16812925305925,258.5765038560176,230.80000000000004,10.015686675086572,3.1479064798850036
