D,V,camp,C_tot_fF,C_CV_plus_CPW,excess_fF,excess_pct_of_CPD,L_tot_pH,L1pL2_ladder_pH,C_model_fit,L_model_fit_pH,fit_rms_ohm_x_w
40,-7,40,6.773151569349528e+44,274.13,6.773151569349528e+44,2.97590139250858e+44,-2172.179145974948,261.26608699514634,6.626321067468056e+44,-2220.311759974867,2295100189941.2744
40,-5,40,8.081514370696056e+44,321.13000000000005,8.081514370696056e+44,2.9430132449730713e+44,-1820.512581752838,269.8189560454075,7.956720634452533e+44,-1849.0656223072033,1959933589173.6426
40,-3,40,1.1540389014916928e+45,436.93,1.1540389014916928e+45,2.9560422681651967e+44,-1274.8702467872952,283.11258175802743,1.1537936794610569e+45,-1275.1412018776894,1442966637640.1624
30,-7,Mar,4.226823525076248e+44,180.03000000000003,4.226823525076248e+44,3.1661599438773387e+44,-3503.437285357149,187.41894849280212,4.153730764577665e+44,-3565.086900350057,3495823655565.996
30,-5,Mar,4.9194440857980174e+44,207.63000000000002,4.9194440857980174e+44,3.0536586504022453e+44,-3010.179784160447,197.0228761684221,4.8439608758076986e+44,-3057.0872713557287,3031589761130.5986
30,-3,Mar,6.720078819797324e+44,277.33000000000004,6.720078819797324e+44,2.9116459357874017e+44,-2203.606763175358,213.0099953842028,6.658160417267969e+44,-2224.0994821889813,2275855873622.661
30,-7,Jan,4.340143914750627e+44,180.03000000000003,4.340143914750627e+44,3.2510441308993455e+44,-3411.963157730385,204.298978410988,4.173491478126374e+44,-3548.206870431871,3421816814919.8604
30,-5,Jan,5.053758251249254e+44,207.63000000000002,5.053758251249254e+44,3.1370318133142483e+44,-2930.1779784809305,213.93002977901656,4.87089927663894e+44,-3040.1801177451343,2967753142202.515
30,-3,Jan,6.901130810599219e+44,277.33000000000004,6.901130810599219e+44,2.990091339081117e+44,-2145.7948766357413,230.2021077582673,6.7100284039645836e+44,-2206.907369814917,2232026652587.3564
