D,V,lab,camp,tau2_ps,rms_2p,dpg,dpk,dkg
40,-5,80,40V2,4.11662261390335,0.3744867260142527,0.0443430177117472,0.036051028982358346,0.008291988729388855
40,-5,WO,40V2,2.9247026919890824,0.3407733506000751,0.0076399627186996,0.005719696584796541,0.002028303020898292
40,-7,38,40V1,4.79349495532893,0.24215196048943446,0.2615061667331311,0.20974478189943468,0.05176138483369641
40,-7,80,40V2,3.830873223763741,0.6520517174345354,0.10805909180974194,0.08727592021183161,0.02078317159791032
40,-7,100,40V1,5.053842390380579,0.314832599969359,0.3420440995597005,0.27360998469623254,0.06843411486346795
40,-7,140,40V1,4.045991038611307,0.27332193127785026,0.04226168840516831,0.033505202544228396,0.008756485860939911
40,-7,WO,40V1,5.643656493075365,0.4046057667017668,0.5555792757489577,0.4309209559237175,0.12465831982524023
30,-5,38,Mar,3.8289694418575104e-10,0.6844178548750982,0.0,0.686906532526665,0.686906532526665
30,-5,60,Mar,0.37602664205640923,0.7614986490624516,0.001357751087921244,0.004112472209238938,0.005470223297160182
30,-5,200,Mar,1.7652662299748831,0.5772634979162972,0.020576871194510016,0.013619504455768094,0.007383502095648975
30,-5,WO,Mar,5.400076392990047e-05,0.8393061833944349,0.0,0.0010677054790146912,0.0010677054790146912
30,-7,38,Jan,1.073703186473332e-09,0.9396095667236597,0.0,1.7767489102522833,1.7767489102522833
30,-7,38,Mar,0.3926964108785198,0.6462154039372271,0.0012348667132684454,0.003041669039785866,0.004209116290391002
30,-7,60,Mar,1.191920133450861,0.8202987712104379,0.013142312673259937,0.00829078691165197,0.007506324613338222
30,-7,76,Jan,1.4179545666966054e-12,0.9853416415465431,0.0,1.8885953350083446,1.8885953350083446
30,-7,120,Jan,5.492508113689315e-09,0.5488748353084302,1.0658141036401503e-14,0.9674334634904138,0.9674334634904032
30,-7,200,Mar,1.709966610905455,0.5230018169203562,0.01739161649007892,0.01115046888220217,0.006623660303013423
30,-7,WO,Jan,1.8033578254428932,0.6855239887129081,0.010956678726275815,0.007537205830589588,0.003698006675083798
30,-7,WO,Mar,0.8257176726047128,0.8620540622754501,0.008668364809582663,0.001428255805273615,0.007356175442205348
