D,camp,V,C_meas_fF,C_CV_plus_CPW,C_model_fittedL,C_meas_minus_CPW,Cpd_CV,excess_pct_vs_CV,excess_pct_vs_model,ReZ_meas,ReZ_model
30,Jan,-7,190.1345250783381,180.03000000000003,180.6818826492423,143.6045250783381,133.5,5.612689595255279,5.23090836722198,-0.8733028100119007,4.904938456973952
30,Jan,-5,219.55912128652622,207.63000000000002,208.53824856798417,173.02912128652622,161.10000000000002,5.745374602189569,5.28429653607679,0.4984332830394025,5.3699628614518495
30,Jan,-3,292.34248146480775,277.33000000000004,279.0760834578514,245.81248146480775,230.80000000000004,5.413219437063319,4.752977461267358,2.16596843434772,6.177854080095317
30,Mar,-7,186.28571891978908,180.03000000000003,180.62737528179883,139.75571891978908,133.5,3.4748202631722838,3.1326733887194074,3.2053045991658013,4.904938456973952
30,Mar,-5,215.26825114650302,207.63000000000002,208.46548701861178,168.73825114650302,161.10000000000002,3.678780111979485,3.263439530653167,3.700559166240659,5.3699628614518495
30,Mar,-3,287.0109937701156,277.33000000000004,278.9434176238334,240.48099377011556,230.80000000000004,3.490784902504428,2.8923299700930665,4.515181730385832,6.177854080095315
40,40,-7,289.2626631330279,274.13,276.0705529462465,242.73266313302787,227.60000000000002,5.520250659551257,4.778945011035285,4.61953289727351,6.148811052800338
40,40,-5,338.7506263229858,321.13000000000005,323.88445762462044,292.2206263229858,274.6000000000001,5.487069511719781,4.590238019219093,4.592009785577619,6.522269840691048
40,40,-3,461.08192452739723,436.93,442.3031707418937,414.5519245273972,390.4,5.527641619343429,4.246464248906781,4.900755919430811,7.121227298425178
