group,D_um,label,bias_V,file,md5,date,time,V_header,Iph_initial_mA,Iph_in_name_mA,s2p_loss_file,lam3_nm,lam4_nm,t_sweep_s,N_rows,N_clean,rows_dropped,rows_dedup,f_min_GHz,f_max_GHz,nonmono_restart,P_at_fmin_dBm,P_dc_cubic_dBm,P_10GHz_dBm,P_15GHz_dBm,P_20GHz_dBm,dB_10GHz_rel_dc,dB_15GHz_rel_dc,dB_20GHz_rel_dc,cubic_resid_rms_dB,f3dB_cubic_GHz,f3dB_source,f3dB_over_fmax,IPD_mean_mA,IPD_min_mA,IPD_max_mA,VOA_mean_dBm,Rm_S11_10MHz_ohm,S11_file,P_ideal_at_Iph_dBm,level_minus_ideal_dB,Iph_implied_ideal_mA,R_from_IPD_ohm,Iph_implied_vs_WOoffset_mA,R_from_IPD_vs_WOoffset_ohm,R_IPD_over_R_S11,used_in_ft_userbw,exp_fT_implied_GHz,exp_f3dB_fit_le14p8_GHz,exp_f3dB_fit_le20_GHz,exp_f3dB_refmin_GHz,exp_f3dB_other_lossfile_GHz
35,35,WO,-7,data_PD0008_1/Bandwidth/35um/Bias_-7V_Iph_1mA.xlsx,5683c59a,02/04/2026,22:08:46,-7.0,-1.001,1.0,Cal.s2p,1555.7,1555.058,625.13,40,40,0,0,0.5,20.67,0,-16.38,-16.383819480232244,-17.4496,-18.0324,-22.51,-1.0657805197677561,-1.648580519767755,-6.1261805197677575,0.33020361126325354,16.477894412224543,poly3,0.7971888927055898,-1.01315,-1.026,-1.0,5.9898,inf,,-16.01191836369325,-0.36808163630674784,0.9594668972733782,,0.9981148394587854,,,False,,,16.4711201437083,16.63885255144732,16.127453191900223
35,35,WO,-7,data_PD0008_1/Bandwidth/35um/Bias_-7V_Iph_1mA_diff_powermeter.xlsx,209d4938,02/03/2026,17:29:52,-7.0,-1.046,1.0,Cal.s2p,1555.7,1555.013,625.46,40,37,0,3,0.67,16.17,1,-15.99,-15.834226566677224,-16.98,-18.19,,-1.145773433322777,-2.3557734333227778,,0.21773099471782364,15.820324324938161,poly3,0.978375035555854,-1.04315,-1.046,-1.04,6.610875,inf,,-15.629966222654515,-0.36003377734548536,1.0035291580734176,,1.0439519563927857,,,False,,,15.820324324938161,16.11890627123373,15.896107163175165
35,35,WO,-7,data_PD0008_1/Bandwidth/35um/test.xlsx,d62ed777,02/03/2026,01:47:43,-7.0,-1.045,,Cal.s2p,1555.7,1555.016,119.72,16,16,0,0,0.33,8.33,0,-16.02,-15.32235545196523,,,,,,,0.5805906455805925,3.6378619460033867,poly3,0.4367181207687139,-1.0406875,-1.046,-1.035,5.837125,inf,,-15.638274104338167,-0.3817258956618321,1.000069069953957,,1.0403524937039916,,,False,,3.6378619460033867,3.6378619460033867,4.178874246573765,3.6457627044328444
30Jan,30,WO,-7,data_PD0008_1/Bandwidth/30um/WO/Bias_-7V_Iph_1mA.xlsx,d5046f0e,01/21/2026,16:54:12,-7.0,-1.019,1.0,Cal.s2p,1555.2,1554.577,314.38,40,40,0,0,0.5,20.83,0,-16.55,-16.571435381381523,-17.967590361445783,-18.11,-19.54,-1.39615498006426,-1.5385646186184765,-2.968564618618476,0.44162067084301215,19.39331773856102,poly3,0.9310282159654835,-1.0154999999999998,-1.019,-1.013,5.81335,16549.095614389116,data_PD0008_1/S11/30um/WO/-7V.s1p,-15.883319461452505,-0.6666805385474959,0.9437134767956519,92978.12811730066,0.9817268610973262,187802.8040052691,11.348221581484987,False,,,19.40631731227493,19.7825057221099,17.214400857395134
30Jan,30,WO,-7,data_PD0008_1/Bandwidth/30um/WO/Bias_-7V_Iph_6mA.xlsx,1635e63d,01/21/2026,17:04:44,-7.0,-5.979,6.0,Cal.s2p,1555.2,1554.593,392.43,50,50,0,0,1.17,27.75,0,-1.57,-2.0044430550800567,-2.39,-2.4573134328358206,-3.448600000000001,-0.3855569449199434,-0.4528703777557639,-1.4441569449199445,0.47897424847894293,25.385522403809322,poly3,0.9147936001372728,-5.985119999999999,-6.01,-5.966,13.3379,16549.095614389116,data_PD0008_1/S11/30um/WO/-7V.s1p,-0.5142320731780308,-1.0557679268219693,5.294685361107663,10229.212707374667,5.507958684353651,14860.692188741048,0.8979760909605214,False,,,,25.501569621078893,24.16189063401897
30Jan,30,120,-7,data_PD0008_1/Bandwidth/30um/120 ohm/Bias_-7V_Iph_1.034mA.xlsx,01235a01,01/21/2026,17:34:57,-7.0,-59.745,1.034,Cal.s2p,1555.2,1554.593,392.35,50,50,0,0,1.17,27.75,0,-19.24,-19.594205741481616,-19.8918,-20.016417910447764,-20.9202,-0.2975942585183837,-0.42221216896614777,-1.325994258518385,0.31596354404015725,27.05063993643161,poly3,0.9747978355470851,-59.786660000000005,-59.82,-59.745,5.89018,115.01047892837558,data_PD0008_1/S11/30um/120 ohm/-7V.s1p,16.369949139048757,-35.60994913904875,0.9903851241660849,119.13957762795475,1.0302784723668748,119.22052626453426,1.0366057717121633,False,,,,27.181064598610895,25.750745398753814
30Jan,30,120,-7,data_PD0008_1/Bandwidth/30um/120 ohm/Bias_-7V_Iph_6mA.xlsx,792d3902,01/21/2026,17:44:22,-7.0,-64.709,6.0,Cal.s2p,1555.2,1554.593,392.41,50,50,0,0,1.5,28.08,0,-3.97,-4.5318855249994545,-4.712388059701492,-4.5184,-5.093399999999998,-0.18050253470203792,0.013485524999454768,-0.5615144750005436,0.34210528619039626,,none,,-64.71824,-64.794,-64.64,13.401439999999997,115.01047892837558,data_PD0008_1/S11/30um/120 ohm/-7V.s1p,17.063211597221116,-21.033211597221115,5.7451861985216865,118.71687987428824,5.976605984525624,119.18465298989331,1.0362938586154158,False,,,,,27.939380693824102
30Jan,30,76,-7,data_PD0008_1/Bandwidth/30um/76 ohm/Bias_-7V_Iph_1mA.xlsx,cb605b5e,01/21/2026,18:13:13,-7.0,-93.084,1.0,Cal.s2p,1555.2,1554.593,470.84,60,60,0,0,1.5,33.67,0,-20.86,-21.436629509984193,-21.33,-21.335,-22.06,0.10662950998419518,0.10162950998419262,-0.6233704900158052,0.42040042021515406,31.35848904239999,poly3,0.9313480559073356,-93.13143333333333,-93.151,-93.084,5.907766666666668,73.29008493398887,data_PD0008_1/S11/30um/71 ohm/-7V.s1p,18.839242300973048,-39.69924230097305,0.9636357919189085,75.9875415189244,1.0024516598552666,76.0195731520754,1.0372422575379048,False,,3.7379835675073023,,31.35321044542142,30.647125929355926
30Jan,30,76,-7,data_PD0008_1/Bandwidth/30um/76 ohm/Bias_-7V_Iph_6mA.xlsx,ea98c803,01/21/2026,18:26:20,-7.0,-98.202,6.0,Cal.s2p,1555.2,1554.593,549.09,70,68,0,2,1.5,34.67,1,-5.09,-5.776832930896198,-5.596,-5.4347761194029856,-5.894599999999999,0.180832930896198,0.34205681149321254,-0.11776706910380064,0.37373150270287586,34.20621538457847,poly3,0.9866228838932354,-98.16177142857144,-98.218,-98.107,13.52362857142857,73.29008493398887,data_PD0008_1/S11/30um/71 ohm/-7V.s1p,19.3041482071037,-24.3941482071037,5.921243519774264,75.85546832291071,6.159755007630994,76.05203459107666,1.0376851747351015,False,,4.06340288354609,,34.07620113011698,33.96937866286646
30Jan,30,38,-7,data_PD0008_1/Bandwidth/30um/40 ohm/Bias_-7V_Iph_1mA.xlsx,75c8923a,01/21/2026,19:56:18,-7.0,-177.359,1.0,Cal.s2p,1555.2,1554.581,626.94,80,77,0,3,0.5,37.83,1,-22.83,-23.281943895977623,-23.294626865671642,-23.2404,-23.7398,-0.012682969694019164,0.04154389597762176,-0.4578561040223761,0.3634421815373859,33.99532798691818,poly3,0.8986340995748924,-177.33520000000001,-177.359,-177.313,6.3413875,37.938294147860866,data_PD0008_1/S11/30um/32 ohm/-7V.s1p,21.654459968263062,-44.48445996826306,1.058352239277911,39.704902329686874,1.1009833464809298,39.71450565996279,1.046818433775101,False,,,,34.04854204881821,34.18057297651092
