V,lab,fmax,L1,Lm,L2,flags,rms_inband,rms_full50,rms_full_fit_inband,f_RC,f_RC_full
-7,38,50,8.822251397166588e-11,215.13242970025547,143.4978504008637,L1@0,0.22134455281675777,0.22134455281675777,0.22134455281675777,30.72004965065236,30.72004965065236
-7,38,40,5.646202544977624e-12,223.19548620820444,135.51269854155888,L1@0,0.20167496015518666,0.22351175955043076,0.20327755514288912,31.116678480777257,30.72004965065236
-7,38,30,4.936369261830057e-10,262.3415879037724,158.62587211040434,L1@0,0.15706293044886732,0.2278997185595284,0.1622881098215804,31.70374503679512,30.72004965065236
-7,38,20,1.7822860808942385e-18,312.4746698229929,216.26615872653983,L1@0,0.059832824513361534,0.3104984732346035,0.09862633952654974,31.089978936639156,30.72004965065236
-5,38,50,1.801091059302249e-18,218.45509222383163,146.07062221666504,L1@0,0.24171463928051698,0.24171463928051698,0.24171463928051698,26.963713896465237,26.963713896465237
-5,38,40,1.135947924549001e-23,225.26404233652102,139.12484901479363,L1@0,0.2264212958432901,0.2431227633397051,0.22745787229465678,27.263549226293655,26.963713896465237
-5,38,30,4.926068916144771e-13,260.6972452748659,162.62058293450377,L1@0,0.18431983255584192,0.2480880342110278,0.18854299681638614,27.904916590896523,26.963713896465237
-5,38,20,0.0,318.18391434410444,227.46713469580428,L1@0,0.08220263490364098,0.3374480429519486,0.12166340964598663,27.65493445638706,26.963713896465237
-7,80,50,175.67014106893149,7.005222891782012e-20,86.26167072605317,Lm@0,0.1319312007272389,0.1319312007272389,0.1319312007272389,21.816074224547446,21.816074224547446
-7,80,40,168.647238673233,9.260021224607927e-12,74.90623409253112,Lm@0,0.06983011709572516,0.14490536006695448,0.0906586232867611,21.913624537800253,21.816074224547446
-7,80,30,90.28801968249732,4.2671115226799683e-32,129.29219783219696,Lm@0,0.0423242655063462,0.18712779627290113,0.09696630865218936,20.775200375535814,21.816074224547446
-7,80,20,116.09511960083745,1.2755045636228882e-16,109.29223228771131,Lm@0,0.025751720892632734,0.17424296295346275,0.0594545331884092,21.35919010175372,21.816074224547446
-5,80,50,175.3190827014556,9.44018645901755e-19,93.17560077824625,Lm@0,0.13562075675423627,0.13562075675423627,0.13562075675423627,18.70322541668276,18.70322541668276
-5,80,40,167.67317259901893,2.962514204377032e-17,81.2748992075051,Lm@0,0.0667381840161975,0.1485321302856174,0.08905820885180823,18.706908916606878,18.70322541668276
-5,80,30,116.96382131429705,5.7075690848887427e-42,110.99478969426352,Lm@0,0.039225934495126735,0.18169794223935246,0.09656313410112333,18.034393949133687,18.70322541668276
-5,80,20,118.04108220593181,2.9196181602514583e-19,106.89092913724393,Lm@0,0.020460093038359935,0.18804579663323398,0.06810302091846102,18.055925676262422,18.70322541668276
-7,100,50,178.8310577285747,1.4700051755148474e-19,82.2034160164321,Lm@0,0.11940016129357416,0.11940016129357416,0.11940016129357416,20.125830168206726,20.125830168206726
-7,100,40,174.34915349793272,6.699771405078746e-19,70.53922115270915,Lm@0,0.05502421488397159,0.1316010677871166,0.07659253360447356,20.145280098530343,20.125830168206726
-7,100,30,128.13512295906452,3.949950339886585e-37,103.38597738392014,Lm@0,0.04178581570895551,0.15332526672147878,0.08146993312924958,19.66216458064582,20.125830168206726
-7,100,20,143.6807050037242,5.368126239649029e-18,96.78392111636764,Lm@0,0.036279540353244516,0.1365660661074678,0.04860711562307293,19.86067578796913,20.125830168206726
-5,100,50,177.03950596783335,4.2842142742031727e-20,89.5452647070815,Lm@0,0.12431157389057944,0.12431157389057944,0.12431157389057944,17.032101284770654,17.032101284770654
-5,100,40,170.22475578379644,8.049073738072182e-16,78.68945035038568,Lm@0,0.053457167042149464,0.13681096999694972,0.07697626483623589,16.96673695859272,17.032101284770654
-5,100,30,161.8008861898346,1.0092448403727968e-26,76.38934791991113,Lm@0,0.03023134950668709,0.15439723794137825,0.08334112194551355,16.86951636031879,17.032101284770654
-5,100,20,151.09280917863893,3.5415250148390415e-17,87.49884840569239,Lm@0,0.029244961544860972,0.15202519723317376,0.05572962332265833,16.75587951559672,17.032101284770654
-7,140,50,187.0842933604612,4.542456167336856e-27,58.141668535923394,Lm@0,0.12909918926145297,0.12909918926145297,0.12909918926145297,18.774954904461094,18.774954904461094
-7,140,40,180.96250396771237,5.902586160259862e-27,46.68322755585825,Lm@0,0.05417579412251743,0.14403632360992608,0.08148745316751928,18.69719311499255,18.774954904461094
-7,140,30,164.99120891186743,2.7425530358374122e-24,50.562705232496405,Lm@0,0.0227839112918169,0.16772095454816172,0.0881102734881516,18.5259678217336,18.774954904461094
-7,140,20,155.20131668400327,3.9481128953720564e-17,56.52686440468053,Lm@0,0.014803943179063542,0.1768345765578333,0.058740122130667094,18.41708574861093,18.774954904461094
-5,140,50,186.64269350333606,1.630135372592381e-19,66.26729122358688,Lm@0,0.13255147708039036,0.13255147708039036,0.13255147708039036,15.658197976315325,15.658197976315325
-5,140,40,177.99041460358754,1.0489700609002151e-17,56.32157773998945,Lm@0,0.05745432682489337,0.14703197690031025,0.08386589509337444,15.516150728210272,15.658197976315325
-5,140,30,179.99564150010877,5.3136984172036504e-21,42.751356845819174,Lm@0,0.019011745046983813,0.1704110820607465,0.09158179490571039,15.467771391479019,15.658197976315325
-5,140,20,180.19684948917086,3.12981365578629e-18,37.849633113315015,Lm@0,0.01179005484958203,0.18214739185882284,0.06899337441718352,15.440597527891137,15.658197976315325
-7,WO,50,139.96409261410298,0.0,121.30199438104334,,0.16731744196665235,0.16731744196665235,0.16731744196665235,13.776150578400145,13.776150578400145
-7,WO,40,195.56870813112985,0.0,46.92692903501255,,0.08921033950455555,0.18073301197002206,0.11064700277261962,13.570795372212318,13.776150578400145
-7,WO,30,53.23063143567204,0.0,177.80935439141876,,0.04397055330189791,0.20116958479900546,0.10300570900031912,13.435285653378012,13.776150578400145
-7,WO,20,53.000068825428365,0.0,174.92829650710053,,0.03925437093640755,0.20806465134861538,0.07888289663634437,13.397251513950385,13.776150578400145
-5,WO,50,102.58304509071287,0.0,167.23591095469465,,0.17007112644299635,0.17007112644299635,0.17007112644299635,11.35764488114961,11.35764488114961
