D,V,lab,camp,Rm,rms_base,f_RC_base,rms_RpCp,f_RC_RpCp,Rp,Cp_fF,tau_ps,f_p_GHz,Rp_x_area,Cp_per_area,L1,Lm,L2,flags
40,-7,38,40,42.52385943293988,0.22134455281675777,30.72004965065236,0.06487662164914342,23.083710517929134,18.6562798066045,0.10000000000029331,0.0018656279806659219,85309.04593052156,23444.17263349772,7.957747154618108e-05,1.218885733489192e-16,409.2634715883549,140.50275709039653,"L1@0,Cp@lo"
40,-5,38,40,39.10732519408157,0.24171463928051698,26.963713896465237,0.06561246418073909,19.509716369270524,19.121049861526423,0.10000000000000032,0.0019121049861526484,83235.46261553944,24028.21990955822,7.957747154594792e-05,7.865670952141562e-19,422.5496106265337,141.77539634348707,"L1@0,Cp@lo"
40,-7,80,40,80.34907342646851,0.1319312007272389,21.816074224547446,0.10745409479735044,17.64911586598362,23.915698493696127,525.2232073316537,12.561079868435879,12.670482534851796,30053.353077305695,0.41795934836706045,209.6319901363407,8.414395551945408e-30,85.23377144937697,Lm@0
40,-5,80,40,77.17008451359483,0.13562075675423627,18.70322541668276,0.11410343903485967,14.048740149293339,25.136156619474534,663.0931430393762,16.66761309673739,9.548754351818332,31587.02599008946,0.5276727572252896,207.27407289439682,1.202174520567125e-18,93.22713571533154,Lm@0
40,-7,100,40,107.54213960347053,0.11940016129357416,20.125830168206726,0.10609149205734376,17.69937059905762,14.063548673511551,854.4281534980288,12.016291924738129,13.244929807692218,17672.77647844255,0.67993232073046,201.21900872280165,3.1721173034067954e-34,80.47533894992947,Lm@0
40,-5,100,40,103.95428604380513,0.12431157389057944,17.032101284770654,0.11249893533705031,14.53481304377555,15.657990711892793,1089.4872908888374,17.059181881462656,9.329576541114253,19676.411436183847,0.8669864389037807,198.31987045237415,5.310756994951421e-26,88.5182410202999,Lm@0
40,-7,140,40,142.52653410946385,0.12909918926145297,18.774954904461094,0.11109894589285992,16.081101305170186,26.45971736344654,861.820744359006,22.80353331369441,6.979398363512227,33250.261474026374,0.6858151576193624,211.79037527252785,1.9957050323436345e-25,56.75781629575646,Lm@0
40,-5,140,40,140.73580789173042,0.13255147708039036,15.658197976315325,0.11672932381184961,13.193591388909807,33.791424371118204,1140.7691598336835,38.548214789423966,4.1287240916682055,42463.55622345602,0.9077952535715957,208.05938822633124,5.631704839730239e-51,66.08597184665328,Lm@0
40,-7,WO,40,13943.63029034255,0.16731744196665235,13.776150578400145,0.15801433973862486,11.949446401726096,18.77215164890345,1411.3310745623955,26.493720958495153,6.00727030156414,23589.78148490744,1.1231015842790077,183.64959819859797,0.0,94.05134207657807,
40,-5,WO,40,58279.610725825885,0.17007112644299635,11.35764488114961,0.1613000545877814,10.319293484632393,299.99999999999994,2014.9271607994574,604.4781482398371,0.26329312904913793,376991.1184307751,1.6034280880567595,188.4437381497357,0.0,95.63324745306072,",Rp@300"
30,-7,38,Mar,38.1533546432172,0.05578986073278541,41.38099554888399,0.034224981650200256,7.578152494561921,127.21581157044307,36.83869622802111,4.686464637844725,33.960555640741944,89923.55828628765,0.05211609423778061,292.19946262719947,1.5522859222003663e-20,73.81134757223019,Lm@0
30,-5,38,Mar,35.6820204098825,0.06341210075849979,37.78499636498908,0.03756891434722318,7.6168796946466655,97.31329972824052,69.36192534212135,6.7498378305456965,23.57907657746324,68786.71819263496,0.09812705138284104,257.60120395077666,1.6079453817581258e-14,87.59506977329417,Lm@0
30,-7,60,Mar,60.34761941247577,0.05915893420754924,34.91455567190063,0.03113638652403463,16.60925362902324,60.56996319075373,91.90597069817326,5.566741262198845,28.590325218210275,42814.38406236212,0.13002035143353927,244.70469555416477,9.190306591534372e-19,49.18956182932259,Lm@0
30,-5,60,Mar,57.513546476748324,0.0656421450569862,31.350217549344876,0.03382282657472489,16.402470014536142,48.46529313157499,144.63991220883815,7.010015743726614,22.70393518507086,34258.096992652165,0.20462361774590557,226.78643727047412,1.2711381162761165e-14,63.14814787662631,Lm@0
30,-7,200,Mar,205.54287676184447,0.06173420201345352,24.628981260503316,0.041232095379368984,24.108885492330742,11.505535773298913,214.62895520244206,2.469421122067467,64.45030443355343,8132.7839987273455,0.3036378591210455,213.77656692820452,1.6822170382873675e-15,12.324337511078022,Lm@0
30,-5,200,Mar,202.2638390681768,0.06502231598104047,21.043604569983927,0.03980827233153071,21.024436202790383,9.60325392785242,412.8201238612619,3.964416475967186,40.14586864339646,6788.140197817159,0.5840210072918073,223.97747004176648,1.3270291199708602e-52,10.662194834131187,Lm@0
30,-7,WO,Mar,26901.931935539636,0.06999549770534472,21.96423308948995,0.06290886375419083,21.280593072584267,2.3328717719204923,0.1000000000004147,0.0002332871771930167,682227.5660706976,1649.009884597295,0.00014147106052671588,61.51137205934032,0.0,126.67428321372529,",Cp@lo"
