Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
10.8073	-11.600778	-164.1151	-12.179948	-166.27341	-0.25296006	-0.071985499	-0.23901116	-0.058382171
11.00725	-11.485544	-164.43439	-12.057397	-166.51877	-0.25674092	-0.071517267	-0.24265865	-0.058173114
11.2072	-11.396329	-164.64665	-11.935286	-166.77611	-0.25965746	-0.07129418	-0.24635668	-0.057890839
11.40715	-11.272778	-164.76076	-11.813637	-167.04507	-0.26352081	-0.071790855	-0.2501041	-0.057533905
11.6071	-11.137803	-164.95711	-11.692473	-167.32532	-0.2678961	-0.071997524	-0.2538997	-0.05710088
11.80705	-11.090216	-164.82851	-11.571815	-167.61653	-0.26920467	-0.072997467	-0.25774226	-0.056590341
12.007	-10.913666	-165.29341	-11.451682	-167.91839	-0.27532795	-0.072264784	-0.26163048	-0.056000874
12.20695	-10.892953	-165.19078	-11.332091	-168.23059	-0.27585511	-0.072931554	-0.26556306	-0.055331074
12.4069	-10.700225	-165.5891	-11.21306	-168.55282	-0.28255594	-0.072605335	-0.26953861	-0.054579552
12.60685	-10.716803	-165.56142	-11.094602	-168.88479	-0.28198212	-0.072603128	-0.27355573	-0.05374493
12.8068	-10.52177	-166.255	-10.976733	-169.22622	-0.28926306	-0.070755466	-0.27761296	-0.052825846
13.00675	-10.458513	-166.28777	-10.859465	-169.57684	-0.29141809	-0.071105976	-0.28170879	-0.051820955
13.2067	-10.332072	-166.69156	-10.742812	-169.93638	-0.29619242	-0.070062992	-0.28584169	-0.050728932
13.40665	-10.240431	-166.90546	-10.626783	-170.30458	-0.29959621	-0.069688127	-0.29001005	-0.049548471
13.6066	-10.175101	-167.243	-10.511391	-170.68119	-0.30226649	-0.068434746	-0.29421223	-0.048278288
13.80655	-10.035923	-167.53354	-10.396645	-171.06597	-0.30749754	-0.067981737	-0.29844656	-0.046917123
14.0065	-9.9847336	-168.00104	-10.282554	-171.45867	-0.30986276	-0.065857485	-0.30271129	-0.045463741
14.20645	-9.8183708	-168.11333	-10.169128	-171.85908	-0.31598579	-0.066511875	-0.30700464	-0.043916935
14.4064	-9.78722	-168.54237	-10.056373	-172.26697	-0.31761202	-0.064374337	-0.31132479	-0.042275529
14.60635	-9.6574774	-168.79462	-9.9442987	-172.68212	-0.3226764	-0.063923136	-0.31566987	-0.040538375
14.8063	-9.5848083	-169.41115	-9.8329115	-173.10432	-0.32606212	-0.060955194	-0.32003796	-0.03870436
15.00625	-9.4549475	-169.55991	-9.7222182	-173.53337	-0.33113315	-0.061013837	-0.32442709	-0.036772406
15.2062	-9.3509617	-170.05829	-9.6122254	-173.96907	-0.33564567	-0.058831364	-0.32883526	-0.034741472
15.40615	-9.2716656	-170.34047	-9.502939	-174.41122	-0.3390122	-0.057701994	-0.3332604	-0.032610557
15.6061	-9.1749449	-170.84338	-9.3943648	-174.85965	-0.34330726	-0.055336931	-0.33770042	-0.0303787
15.80605	-9.0931549	-171.28514	-9.2865083	-175.31416	-0.34697565	-0.053186836	-0.34215317	-0.028044985
16.006	-8.9782333	-171.59508	-9.1793746	-175.77458	-0.35188333	-0.051992485	-0.34661647	-0.025608539
16.20595	-8.9119091	-172.16478	-9.0729687	-176.24074	-0.35508394	-0.048862835	-0.3510881	-0.023068538
16.4059	-8.7748594	-172.47041	-8.9672952	-176.71246	-0.3609907	-0.047715002	-0.35556577	-0.020424208
16.60585	-8.7181768	-172.91864	-8.8623586	-177.18959	-0.36371876	-0.045183407	-0.36004717	-0.017674826
16.8058	-8.6182194	-173.39394	-8.7581632	-177.67196	-0.36829512	-0.042652674	-0.36452997	-0.014819722
17.00575	-8.5100679	-173.98018	-8.6547132	-178.15942	-0.37333193	-0.039369343	-0.36901176	-0.011858283
17.2057	-8.4245329	-174.30501	-8.5520125	-178.65181	-0.37724586	-0.037620827	-0.37349014	-0.008789952
17.40565	-8.3337603	-174.6266	-8.4500648	-179.14899	-0.38141634	-0.035875809	-0.37796262	-0.0056142336
17.6056	-8.2684517	-175.36983	-8.3488737	-179.65082	-0.38473153	-0.031158671	-0.38242674	-0.0023306931
17.80555	-8.1586094	-175.69492	-8.2484429	179.84286	-0.38980053	-0.029344006	-0.38687995	0.0010610406
18.0055	-8.0715933	-176.25552	-8.1487757	179.33218	-0.39399637	-0.025785765	-0.3913197	0.004561273
18.20545	-7.9934435	-176.58597	-8.0498753	178.81728	-0.39770073	-0.023725507	-0.39574342	0.0081702421
18.4054	-7.8979082	-177.2921	-7.9517448	178.29829	-0.40236424	-0.019030618	-0.40014849	0.011888117
18.60535	-7.8019495	-177.65359	-7.8543873	177.77533	-0.40694737	-0.016674868	-0.40453228	0.015714996
18.8053	-7.6992087	-178.16838	-7.7578058	177.24854	-0.41192449	-0.013172807	-0.40889213	0.019650906
19.00525	-7.6438985	-178.73795	-7.6620029	176.71805	-0.41466722	-0.0091353225	-0.41322538	0.023695797
19.2052	-7.5376263	-179.19841	-7.5669815	176.18398	-0.41983262	-0.0058740032	-0.41752932	0.027849547
19.40515	-7.4450502	-179.89189	-7.4727442	175.64644	-0.424372	-0.00080073805	-0.42180126	0.032111955
19.6051	-7.373095	179.83235	-7.3792934	175.10556	-0.42790109	0.0012520612	-0.42603847	0.036482742
19.80505	-7.2578855	178.9332	-7.2866316	174.56145	-0.43354127	0.0080731125	-0.43023823	0.040961551
20.005	-7.2035637	178.87625	-7.1947611	174.01423	-0.43625285	0.0085573844	-0.4343978	0.045547943
20.20495	-7.1056056	177.87192	-7.1036841	173.46402	-0.44098122	0.016386461	-0.43851446	0.050241399
20.4049	-7.028532	177.50581	-7.0134028	172.91091	-0.44479692	0.019375063	-0.44258545	0.055041316
20.60485	-6.9429846	176.80319	-6.9239191	172.35503	-0.44892566	0.025073768	-0.44660804	0.05994701
20.8048	-6.8588109	176.36076	-6.8352349	171.79649	-0.45308826	0.028817444	-0.45057951	0.064957711
21.00475	-6.8270993	175.64291	-6.7473522	171.23537	-0.45434743	0.034617864	-0.45449712	0.070072567
21.2047	-6.6885252	174.85432	-6.6602726	170.67181	-0.46112635	0.041525026	-0.45835818	0.075290641
21.40465	-6.6397166	174.34224	-6.5739976	170.10589	-0.46333312	0.045901834	-0.46215998	0.08061091
21.6046	-6.5041723	173.9967	-6.4885288	169.53771	-0.47033046	0.049461112	-0.46589985	0.086032269
21.80455	-6.5333233	172.93027	-6.4038676	168.96739	-0.46775595	0.058011145	-0.46957512	0.091553525
22.0045	-6.3672361	172.57382	-6.3200152	168.39502	-0.47640911	0.06209611	-0.47318318	0.097173403
22.20445	-6.3550253	171.61133	-6.2369727	167.8207	-0.47596747	0.070188591	-0.47672141	0.10289054
22.4044	-6.219552	171.48851	-6.1547412	167.24453	-0.48329537	0.072328064	-0.48018724	0.1087035
22.60435	-6.1949792	170.31183	-6.0733216	166.6666	-0.48307286	0.082470505	-0.48357814	0.11461076
22.8043	-6.0944114	170.14778	-5.9927146	166.087	-0.48845765	0.084829826	-0.4868916	0.1206107
23.00425	-5.9973369	169.13759	-5.9129209	165.50585	-0.49235818	0.094478283	-0.49012517	0.12670164
23.2042	-5.9507637	168.55287	-5.833941	164.92321	-0.49401014	0.10003287	-0.49327642	0.1328818
23.40415	-5.8617916	168.15044	-5.7557751	164.3392	-0.49837429	0.1045658	-0.49634301	0.13914935
23.6041	-5.8383341	167.20865	-5.6784237	163.7539	-0.49793118	0.11304814	-0.4993226	0.14550237
23.80405	-5.7408214	166.69572	-5.6018867	163.1674	-0.5025091	0.11882775	-0.50221294	0.15193884
24.004	-5.6753278	165.82028	-5.5261641	162.5798	-0.50442408	0.12744896	-0.50501182	0.1584567
24.20395	-5.614975	165.34167	-5.4512556	161.99117	-0.50685146	0.13257607	-0.5077171	0.16505381
24.4039	-5.5275002	164.54843	-5.377161	161.40161	-0.51007865	0.14099313	-0.51032669	0.17172795
24.60385	-5.4893351	163.80072	-5.3038797	160.8112	-0.51043319	0.14828759	-0.51283858	0.17847685
