Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
20.4049	-3.3003571	-156.74811	-3.9260334	-157.10906
20.60485	-3.287004	-158.07756	-3.9004126	-158.45122
20.8048	-3.2751663	-159.22778	-3.87453	-159.78369
21.00475	-3.2971835	-160.4296	-3.8484019	-161.10638
21.2047	-3.2563961	-161.89935	-3.8220449	-162.41922
21.40465	-3.2652586	-162.9603	-3.7954753	-163.72215
21.6046	-3.1921222	-163.98	-3.768709	-165.0151
21.80455	-3.2892096	-165.3501	-3.7417622	-166.29803
22.0045	-3.1937587	-166.58733	-3.7146505	-167.5709
22.20445	-3.2562556	-167.87231	-3.6873895	-168.83365
22.4044	-3.1813536	-168.7317	-3.6599944	-170.08626
22.60435	-3.2394023	-170.35033	-3.6324802	-171.3287
22.8043	-3.1895962	-170.99226	-3.6048616	-172.56095
23.00425	-3.1623745	-172.48811	-3.5771531	-173.783
23.2042	-3.1804001	-173.54959	-3.5493687	-174.99483
23.40415	-3.1381905	-174.58875	-3.5215223	-176.19643
23.6041	-3.1731951	-175.83873	-3.4936271	-177.38782
23.80405	-3.1403816	-176.81229	-3.4656964	-178.56899
24.004	-3.146714	-178.14578	-3.4377428	-179.73995
24.20395	-3.1406262	-179.08879	-3.4097786	179.09929
24.4039	-3.1226103	179.63104	-3.3818159	177.94869
24.60385	-3.1320636	178.42899	-3.3538662	176.80825
24.8038	-3.0716848	177.46999	-3.3259408	175.67794
25.00375	-3.117013	176.29779	-3.2980504	174.55772
25.2037	-3.1022544	175.32062	-3.2702056	173.44756
25.40365	-3.101233	173.73514	-3.2424163	172.34742
25.6036	-3.0932658	173.09309	-3.2146924	171.25727
25.80355	-3.0405917	171.53252	-3.187043	170.17705
26.0035	-3.0821662	171.05	-3.1594771	169.10673
26.20345	-3.0419374	169.42299	-3.1320033	168.04625
26.4034	-3.0720203	168.51291	-3.1046298	166.99556
26.60335	-3.0184777	167.32314	-3.0773643	165.9546
26.8033	-3.0533106	166.32207	-3.0502144	164.92332
27.00325	-3.0255687	165.61534	-3.023187	163.90165
27.2032	-3.0386207	163.98642	-2.996289	162.88955
27.40315	-3.0118258	163.26613	-2.9695268	161.88693
27.6031	-2.9881449	162.3678	-2.9429065	160.89375
27.80305	-3.0369883	161.22073	-2.9164338	159.90992
28.003	-3.0070069	160.45377	-2.8901141	158.93539
28.20295	-3.009254	158.90538	-2.8639526	157.97008
28.4029	-2.996448	158.44553	-2.837954	157.01393
28.60285	-2.9782569	156.7749	-2.8121228	156.06685
28.8028	-3.0285075	155.90143	-2.7864634	155.12878
29.00275	-2.9013736	154.75035	-2.7609797	154.19964
29.2027	-3.0570176	153.77351	-2.7356752	153.27936
29.40265	-2.9183357	152.97946	-2.7105535	152.36786
29.6026	-3.0631378	151.44574	-2.6856176	151.46507
29.80255	-2.9532301	150.80586	-2.6608706	150.5709
30.0025	-2.9711528	149.36449	-2.636315	149.68528
30.20245	-2.9106612	149.20634	-2.6119534	148.80813
30.4024	-2.9501703	148.21223	-2.5877879	147.93938
30.60235	-2.9933436	146.40585	-2.5638205	147.07894
30.8023	-2.8693817	146.29094	-2.5400531	146.22673
31.00225	-2.872694	145.08105	-2.5164873	145.38268
31.2022	-2.9532766	145.77087	-2.4931244	144.5467
31.40215	-2.9941795	142.63724	-2.4699657	143.71872
31.6021	-3.0069344	142.78923	-2.4470123	142.89865
31.80205	-2.8106527	140.8524	-2.4242651	142.08642
32.002	-2.9967251	141.81705	-2.4017248	141.28195
32.20195	-2.956635	138.94383	-2.379392	140.48515
32.4019	-2.9254549	138.4361	-2.357267	139.69595
32.60185	-2.9242849	137.69968	-2.3353503	138.91428
32.8018	-2.9191003	136.37376	-2.313642	138.14004
33.00175	-3.0225372	135.63475	-2.2921421	137.37316
33.2017	-2.8125815	134.16914	-2.2708505	136.61357
33.40165	-2.9863439	133.56577	-2.2497671	135.86119
33.6016	-2.7807846	132.9362	-2.2288915	135.11593
33.80155	-2.9906895	131.54904	-2.2082233	134.37773
34.0015	-2.7723703	131.62173	-2.187762	133.64651
34.20145	-2.840224	129.295	-2.167507	132.92218
34.4014	-2.7184567	130.23427	-2.1474576	132.20468
34.60135	-2.8043711	128.7755	-2.1276131	131.49392
34.8013	-2.9488053	127.97917	-2.1079726	130.78984
35.00125	-2.6984305	126.49968	-2.0885352	130.09237
35.2012	-2.7887528	125.45197	-2.0692998	129.40142
35.40115	-2.5197132	127.07697	-2.0502655	128.71692
35.6011	-2.9849713	124.54059	-2.0314311	128.03881
35.80105	-2.7117465	124.06043	-2.0127955	127.36701
36.001	-2.760885	121.1467	-1.9943574	126.70144
36.20095	-2.7382529	121.72875	-1.9761155	126.04205
36.4009	-2.7040184	120.00528	-1.9580686	125.38876
36.60085	-2.8625119	119.038	-1.9402152	124.7415
36.8008	-2.6811869	117.91068	-1.9225539	124.1002
37.00075	-2.7770796	116.70969	-1.9050834	123.46479
37.2007	-2.6834731	116.53842	-1.8878021	122.83521
37.40065	-2.6814132	115.10036	-1.8707085	122.2114
37.6006	-2.8301666	114.64885	-1.8538012	121.59327
37.80055	-2.5661712	113.34243	-1.8370784	120.98078
38.0005	-2.7396355	112.67268	-1.8205388	120.37385
38.20045	-2.5574098	112.31694	-1.8041805	119.77243
38.4004	-2.6468167	111.00915	-1.7880021	119.17644
38.60035	-2.6247468	111.56035	-1.7720019	118.58583
38.8003	-2.5665777	108.59563	-1.7561782	118.00054
39.00025	-2.660012	109.97606	-1.7405294	117.4205
39.2002	-2.5705469	106.22281	-1.7250538	116.84565
39.40015	-2.6560185	106.99606	-1.7097496	116.27593
39.6001	-2.620518	105.10307	-1.6946153	115.71129
39.80005	-2.6587222	104.69469	-1.6796491	115.15167
40	-2.6660707	103.7004	-1.6648492	114.597
