Freq_GHz	Meas_CalRF_dBm
0.33	-9.57
1	-9.79
1.5	-9.68
1.83	-9.64
2.33	-9.77
2.92	-9.85
3.42	-9.82
4.08	-9.86
4.58	-9.96
5.08	-9.9
5.42	-9.99
6.08	-9.85
6.83	-9.85
7.33	-9.85
7.67	-9.9
8.33	-10.03
8.83	-10.17
9.33	-10.43
9.83	-10.14
10.33	-10.18
10.83	-10.37
11.17	29.03
11.83	-10.63
12.17	-10.68
12.83	-10.65
13.33	-10.63
13.83	-10.07
14.33	-10.32
15	-10.05
15.5	-10.12
16	-10.08
16.5	-10.97
17	-10.82
17.5	-10.7
18	-10.43
18.5	-10.19
19.17	-9.83
19.5	-9.94
20.17	-9.81
20.67	-9.83
21.17	-8.92
21.67	-9.34
22.17	-9.25
22.83	-9.89
23.33	-10.17
23.83	-10.53
24.33	-10.57
24.83	-10.63
25.33	-10.5
25.83	-10.28
26.33	-10.28
27.08	-11.38
27.58	-11.1
27.92	-11.44
28.42	-11.26
29.08	-10.86
29.42	-10.72
30.25	-11.19
30.75	-11.47
31.33	-13.49
31.83	-12.23
32.33	-12.38
33	-11.34
33.5	-11.89
34.17	-11.89
34.67	-13.16
35.17	-13.1
35.67	-13.9
36.33	-12.7
36.83	-12.59
