Freq_GHz	Model_dBm
2.5750389	-9.3582726
2.5850189	-9.3584526
2.5949989	-9.3586333
2.6049789	-9.3588146
2.6149589	-9.3589967
2.6249389	-9.3591795
2.6349189	-9.359363
2.6448989	-9.3595472
2.6548789	-9.3597322
2.6648589	-9.3599178
2.6748389	-9.3601041
2.6848188	-9.3602911
2.6947988	-9.3604789
2.7047788	-9.3606673
2.7147588	-9.3608565
2.7247388	-9.3610464
2.7347188	-9.3612369
2.7446988	-9.3614282
2.7546788	-9.3616202
2.7646588	-9.3618129
2.7746388	-9.3620063
2.7846188	-9.3622004
2.7945988	-9.3623952
2.8045788	-9.3625908
2.8145588	-9.362787
2.8245388	-9.362984
2.8345188	-9.3631816
2.8444988	-9.36338
2.8544788	-9.3635791
2.8644588	-9.3637788
2.8744388	-9.3639793
2.8844188	-9.3641805
2.8943988	-9.3643824
2.9043788	-9.3645851
2.9143587	-9.3647884
2.9243387	-9.3649924
2.9343187	-9.3651972
2.9442987	-9.3654027
2.9542787	-9.3656088
2.9642587	-9.3658157
2.9742387	-9.3660233
2.9842187	-9.3662316
2.9941987	-9.3664406
3.0041787	-9.3666504
3.0141587	-9.3668608
3.0241387	-9.3670719
3.0341187	-9.3672838
3.0440987	-9.3674964
3.0540787	-9.3677097
3.0640587	-9.3679237
3.0740387	-9.3681384
3.0840187	-9.3683538
3.0939987	-9.3685699
3.1039787	-9.3687868
3.1139587	-9.3690043
3.1239387	-9.3692226
3.1339186	-9.3694416
3.1438986	-9.3696613
3.1538786	-9.3698817
3.1638586	-9.3701028
3.1738386	-9.3703246
3.1838186	-9.3705472
3.1937986	-9.3707705
3.2037786	-9.3709944
3.2137586	-9.3712191
3.2237386	-9.3714445
3.2337186	-9.3716706
3.2436986	-9.3718975
3.2536786	-9.372125
3.2636586	-9.3723533
3.2736386	-9.3725823
3.2836186	-9.372812
3.2935986	-9.3730424
3.3035786	-9.3732735
3.3135586	-9.3735053
3.3235386	-9.3737379
3.3335186	-9.3739712
3.3434986	-9.3742051
3.3534786	-9.3744398
3.3634585	-9.3746753
3.3734385	-9.3749114
3.3834185	-9.3751482
3.3933985	-9.3753858
3.4033785	-9.3756241
3.4133585	-9.3758631
3.4233385	-9.3761028
3.4333185	-9.3763432
3.4432985	-9.3765844
3.4532785	-9.3768263
3.4632585	-9.3770689
3.4732385	-9.3773122
3.4832185	-9.3775562
3.4931985	-9.3778009
3.5031785	-9.3780464
3.5131585	-9.3782926
3.5231385	-9.3785395
3.5331185	-9.3787871
3.5430985	-9.3790354
3.5530785	-9.3792845
3.5630585	-9.3795342
3.5730385	-9.3797847
3.5830184	-9.3800359
3.5929984	-9.3802879
3.6029784	-9.3805405
3.6129584	-9.3807939
3.6229384	-9.381048
3.6329184	-9.3813028
3.6428984	-9.3815583
3.6528784	-9.3818146
3.6628584	-9.3820716
3.6728384	-9.3823292
3.6828184	-9.3825877
3.6927984	-9.3828468
3.7027784	-9.3831067
3.7127584	-9.3833672
3.7227384	-9.3836285
3.7327184	-9.3838906
3.7426984	-9.3841533
3.7526784	-9.3844168
3.7626584	-9.384681
3.7726384	-9.3849459
3.7826184	-9.3852115
3.7925984	-9.3854779
3.8025784	-9.3857449
3.8125583	-9.3860128
3.8225383	-9.3862813
3.8325183	-9.3865505
3.8424983	-9.3868205
3.8524783	-9.3870912
3.8624583	-9.3873626
3.8724383	-9.3876348
3.8824183	-9.3879077
3.8923983	-9.3881812
3.9023783	-9.3884556
3.9123583	-9.3887306
3.9223383	-9.3890064
3.9323183	-9.3892829
3.9422983	-9.3895601
