Freq_GHz	Model_dBm
2.255679	-2.0972566
2.265659	-2.0977538
2.275639	-2.0982532
2.285619	-2.0987549
2.295599	-2.0992587
2.305579	-2.0997647
2.315559	-2.1002729
2.325539	-2.1007832
2.335519	-2.1012958
2.345499	-2.1018106
2.355479	-2.1023276
2.365459	-2.1028468
2.375439	-2.1033682
2.385419	-2.1038917
2.395399	-2.1044175
2.405379	-2.1049455
2.415359	-2.1054756
2.425339	-2.106008
2.435319	-2.1065425
2.445299	-2.1070793
2.455279	-2.1076182
2.4652589	-2.1081594
2.4752389	-2.1087027
2.4852189	-2.1092483
2.4951989	-2.109796
2.5051789	-2.1103459
2.5151589	-2.110898
2.5251389	-2.1114524
2.5351189	-2.1120089
2.5450989	-2.1125676
2.5550789	-2.1131285
2.5650589	-2.1136916
2.5750389	-2.1142569
2.5850189	-2.1148244
2.5949989	-2.1153941
2.6049789	-2.115966
2.6149589	-2.1165401
2.6249389	-2.1171164
2.6349189	-2.1176949
2.6448989	-2.1182756
2.6548789	-2.1188585
2.6648589	-2.1194436
2.6748389	-2.1200308
2.6848188	-2.1206203
2.6947988	-2.121212
2.7047788	-2.1218058
2.7147588	-2.1224019
2.7247388	-2.1230002
2.7347188	-2.1236006
2.7446988	-2.1242033
2.7546788	-2.1248081
2.7646588	-2.1254152
2.7746388	-2.1260244
2.7846188	-2.1266358
2.7945988	-2.1272495
2.8045788	-2.1278653
2.8145588	-2.1284833
2.8245388	-2.1291036
2.8345188	-2.129726
2.8444988	-2.1303506
2.8544788	-2.1309774
2.8644588	-2.1316065
2.8744388	-2.1322377
2.8844188	-2.1328711
2.8943988	-2.1335067
2.9043788	-2.1341445
2.9143587	-2.1347845
2.9243387	-2.1354267
2.9343187	-2.1360711
2.9442987	-2.1367177
2.9542787	-2.1373665
2.9642587	-2.1380174
2.9742387	-2.1386706
2.9842187	-2.139326
2.9941987	-2.1399836
3.0041787	-2.1406434
3.0141587	-2.1413053
3.0241387	-2.1419695
3.0341187	-2.1426359
3.0440987	-2.1433044
3.0540787	-2.1439752
3.0640587	-2.1446482
3.0740387	-2.1453233
3.0840187	-2.1460007
3.0939987	-2.1466802
3.1039787	-2.147362
3.1139587	-2.1480459
3.1239387	-2.148732
3.1339186	-2.1494204
3.1438986	-2.1501109
3.1538786	-2.1508036
3.1638586	-2.1514986
3.1738386	-2.1521957
3.1838186	-2.152895
3.1937986	-2.1535965
3.2037786	-2.1543003
3.2137586	-2.1550062
3.2237386	-2.1557143
3.2337186	-2.1564246
3.2436986	-2.1571371
3.2536786	-2.1578518
3.2636586	-2.1585687
3.2736386	-2.1592878
3.2836186	-2.1600091
3.2935986	-2.1607326
3.3035786	-2.1614583
3.3135586	-2.1621862
3.3235386	-2.1629163
3.3335186	-2.1636485
3.3434986	-2.164383
3.3534786	-2.1651197
3.3634585	-2.1658586
3.3734385	-2.1665996
3.3834185	-2.1673429
3.3933985	-2.1680884
3.4033785	-2.168836
3.4133585	-2.1695859
3.4233385	-2.170338
3.4333185	-2.1710922
3.4432985	-2.1718487
3.4532785	-2.1726073
3.4632585	-2.1733682
3.4732385	-2.1741312
3.4832185	-2.1748964
3.4931985	-2.1756639
3.5031785	-2.1764335
3.5131585	-2.1772053
3.5231385	-2.1779794
3.5331185	-2.1787556
3.5430985	-2.179534
3.5530785	-2.1803146
3.5630585	-2.1810975
3.5730385	-2.1818825
3.5830184	-2.1826697
3.5929984	-2.1834591
3.6029784	-2.1842507
3.6129584	-2.1850445
3.6229384	-2.1858405
3.6329184	-2.1866387
3.6428984	-2.1874391
3.6528784	-2.1882417
3.6628584	-2.1890465
3.6728384	-2.1898535
3.6828184	-2.1906627
3.6927984	-2.1914741
3.7027784	-2.1922876
3.7127584	-2.1931034
3.7227384	-2.1939214
3.7327184	-2.1947416
3.7426984	-2.1955639
3.7526784	-2.1963885
3.7626584	-2.1972153
3.7726384	-2.1980442
3.7826184	-2.1988754
3.7925984	-2.1997087
3.8025784	-2.2005443
3.8125583	-2.201382
3.8225383	-2.202222
3.8325183	-2.2030641
3.8424983	-2.2039085
3.8524783	-2.204755
3.8624583	-2.2056037
3.8724383	-2.2064547
