Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
20.20495	-1.5565363	-146.07565	-1.8018432	-150.71381
20.4049	-1.575534	-147.32875	-1.8119414	-151.97896
20.60485	-1.5903412	-148.64561	-1.8215654	-153.23632
20.8048	-1.6108851	-149.91647	-1.8307179	-154.48582
21.00475	-1.64614	-151.18454	-1.8394021	-155.7274
21.2047	-1.6686957	-152.60123	-1.8476213	-156.96101
21.40465	-1.6910456	-153.81703	-1.8553797	-158.18658
21.6046	-1.6961155	-155.12013	-1.8626812	-159.40408
21.80455	-1.754588	-156.31454	-1.8695307	-160.61344
22.0045	-1.7517076	-157.73322	-1.8759329	-161.81464
22.20445	-1.7948784	-158.93579	-1.8818932	-163.00762
22.4044	-1.7909769	-160.18492	-1.8874171	-164.19235
22.60435	-1.8382339	-161.47411	-1.8925103	-165.36879
22.8043	-1.8442315	-162.64163	-1.897179	-166.53692
23.00425	-1.8682233	-163.96533	-1.9014294	-167.69671
23.2042	-1.8959193	-165.18019	-1.9052681	-168.84813
23.40415	-1.9047034	-166.36459	-1.9087017	-169.99117
23.6041	-1.9464947	-167.64616	-1.9117372	-171.1258
23.80405	-1.9586987	-168.77527	-1.9143816	-172.25202
24.004	-1.9793679	-170.08514	-1.9166422	-173.3698
24.20395	-1.9974532	-171.27342	-1.9185264	-174.47915
24.4039	-2.0212231	-172.53751	-1.9200415	-175.58005
24.60385	-2.0417855	-173.72708	-1.9211952	-176.67252
24.8038	-2.0516913	-174.90022	-1.9219951	-177.75654
25.00375	-2.0819006	-176.12105	-1.9224489	-178.83212
25.2037	-2.0945988	-177.28781	-1.9225646	-179.89927
25.40365	-2.1216974	-178.6212	-1.9223498	179.042
25.6036	-2.1411228	-179.7079	-1.9218126	177.99168
25.80355	-2.1561382	178.95996	-1.9209607	176.94976
26.0035	-2.1778657	177.94794	-1.9198022	175.91621
26.20345	-2.1841919	176.62085	-1.9183448	174.89103
26.4034	-2.2146056	175.47586	-1.9165965	173.87418
26.60335	-2.2177038	174.27344	-1.9145652	172.86564
26.8033	-2.2510562	173.12782	-1.9122588	171.86539
27.00325	-2.255543	172.12027	-1.9096849	170.87339
27.2032	-2.2920315	170.75578	-1.9068514	169.88962
27.40315	-2.3014789	169.71193	-1.903766	168.91404
27.6031	-2.3068881	168.58607	-1.9004363	167.94663
27.80305	-2.3565352	167.50349	-1.8968698	166.98733
28.003	-2.3655958	166.48407	-1.8930741	166.03612
28.20295	-2.375397	165.15251	-1.8890565	165.09295
28.4029	-2.3805945	164.20938	-1.8848244	164.15779
28.60285	-2.3973832	162.82799	-1.8803848	163.23059
28.8028	-2.4415438	161.67166	-1.8757451	162.31131
29.00275	-2.4153826	160.5083	-1.8709121	161.39989
29.2027	-2.4964068	159.44725	-1.8658928	160.4963
29.40265	-2.45681	158.4128	-1.860694	159.60049
29.6026	-2.5363822	157.18167	-1.8553223	158.7124
29.80255	-2.5157793	156.11563	-1.8497843	157.83199
30.0025	-2.5379064	155.00363	-1.8440864	156.9592
30.20245	-2.5288663	154.09016	-1.838235	156.09398
30.4024	-2.5447953	153.20493	-1.8322363	155.23629
30.60235	-2.5909936	151.78491	-1.8260963	154.38606
30.8023	-2.5399811	151.0995	-1.819821	153.54324
31.00225	-2.5738764	149.94328	-1.8134162	152.70778
31.2022	-2.5906188	149.53882	-1.8068877	151.87962
31.40215	-2.6391015	147.7919	-1.8002409	151.0587
31.6021	-2.655297	147.09644	-1.7934814	150.24497
31.80205	-2.6065688	145.64983	-1.7866144	149.43836
32.002	-2.6651869	145.39731	-1.7796451	148.63882
32.20195	-2.6737041	143.64565	-1.7725786	147.8463
32.4019	-2.6580369	142.71484	-1.7654199	147.06073
32.60185	-2.6695366	141.73499	-1.7581738	146.28205
32.8018	-2.6727047	140.66971	-1.7508448	145.51021
33.00175	-2.7477229	139.69923	-1.7434377	144.74514
33.2017	-2.6645393	138.53725	-1.7359569	143.98679
33.40165	-2.7185245	137.68327	-1.7284066	143.23509
33.6016	-2.652617	136.84683	-1.7207912	142.48999
33.80155	-2.752214	135.666	-1.7131146	141.75143
34.0015	-2.6396024	135.0188	-1.7053809	141.01934
34.20145	-2.6702008	133.44643	-1.6975939	140.29366
34.4014	-2.637661	133.17697	-1.6897573	139.57435
34.60135	-2.6868932	131.95995	-1.6818748	138.86133
34.8013	-2.7127728	130.97047	-1.67395	138.15454
35.00125	-2.6464975	129.71529	-1.6659862	137.45393
35.2012	-2.6315341	128.69057	-1.6579868	136.75944
35.40115	-2.5710833	128.6503	-1.6499549	136.07101
35.6011	-2.7469704	127.0785	-1.6418937	135.38858
35.80105	-2.6314907	126.29935	-1.6338062	134.71208
36.001	-2.6660674	124.37896	-1.6256952	134.04147
36.20095	-2.6447341	124.00894	-1.6175637	133.37668
36.4009	-2.6378534	122.58994	-1.6094144	132.71766
36.60085	-2.7044742	121.57317	-1.6012498	132.06434
36.8008	-2.6527553	120.45391	-1.5930725	131.41668
37.00075	-2.6948562	119.22392	-1.584885	130.7746
37.2007	-2.6612928	118.7378	-1.5766896	130.13806
37.40065	-2.682255	117.39429	-1.5684887	129.50701
37.6006	-2.7386172	116.73929	-1.5602844	128.88137
37.80055	-2.6231999	115.60545	-1.5520789	128.26111
38.0005	-2.6926582	114.82162	-1.5438742	127.64615
38.20045	-2.6069691	114.01574	-1.5356722	127.03646
38.4004	-2.6571038	113.11148	-1.527475	126.43196
38.60035	-2.6627061	112.48954	-1.5192843	125.83262
38.8003	-2.6338284	110.78815	-1.5111019	125.23837
39.00025	-2.6588042	110.82826	-1.5029295	124.64917
39.2002	-2.6120052	108.62153	-1.4947687	124.06495
39.40015	-2.6649516	108.40105	-1.486621	123.48567
39.6001	-2.6733053	106.94986	-1.478488	122.91128
39.80005	-2.6506648	106.29691	-1.4703712	122.34172
40	-2.6866188	105.34123	-1.4622718	121.77694
