Freq_GHz	Meas_CalRF_dBm
0.33	-3.75
0.83	-3.88
1.33	-3.95
2	-4.01
2.5	-4.41
3.08	-4.4
3.58	-4.17
4.08	-4.34
4.58	-4.24
5.08	-4.83
5.58	-4.61
6.25	-4.71
6.83	-4.76
7.5	-4.92
7.83	-4.72
8.33	-4.94
8.83	-5.01
9.33	-5.53
10	-5.53
10.5	-5.15
11	-5.09
11.5	-5.22
12	-5.85
12.67	-5.74
13.33	-6.05
13.83	-6.31
14.33	-6.3
14.83	-5.79
15.33	-5.78
15.83	-6.5
16.33	-6.87
16.83	-6.64
17.5	-7.14
18	-6.93
18.33	-6.72
19	-6.62
19.5	-6.83
19.83	-8.05
20.5	-7.73
16.33	-6.29
16.67	-7.23
17.17	-7.16
17.67	-7.07
18.17	-6.63
18.67	-6.7
19	-6.75
19.67	-7.09
20.17	-7.89
20.67	-8.38
21.33	-7.57
21.83	-7.88
22.33	-7.24
22.67	-8.05
23.33	-8.17
23.83	-8.84
24.33	-9.08
24.83	-9.2
25.33	-9.15
25.83	27.18
26.33	-9.17
