
Vi = 0.000000	  Vf = 7.000000	  Incr = 0.200000	Osc Freq = 1 MHz
Voltage (V)	Capacitance (F)	Display B (see HP4275A)
0.0000E+0	1.0853E-13	6.6667E-2
2.0000E-1	9.7933E-14	2.0000E-2
4.0000E-1	9.0300E-14	2.0000E-2
6.0000E-1	8.4533E-14	2.0000E-2
8.0000E-1	8.0100E-14	2.0000E-2
1.0000E+0	7.7067E-14	2.0000E-2
1.2000E+0	7.4667E-14	2.0000E-2
1.4000E+0	7.2733E-14	2.0000E-2
1.6000E+0	7.0767E-14	2.0000E-2
1.8000E+0	6.9600E-14	2.0000E-2
2.0000E+0	6.8033E-14	2.3333E-2
2.2000E+0	6.6600E-14	2.6667E-2
2.4000E+0	6.5033E-14	2.6667E-2
2.6000E+0	6.3600E-14	2.6667E-2
2.8000E+0	6.2233E-14	3.0000E-2
3.0000E+0	6.0600E-14	3.0000E-2
3.2000E+0	5.8633E-14	3.0000E-2
3.4000E+0	5.6733E-14	3.0000E-2
3.6000E+0	5.5100E-14	3.0000E-2
3.8000E+0	5.3367E-14	3.3333E-2
4.0000E+0	5.1867E-14	4.0000E-2
4.2000E+0	5.0100E-14	4.0000E-2
4.4000E+0	4.9100E-14	4.0000E-2
4.6000E+0	4.7900E-14	4.3333E-2
4.8000E+0	4.6867E-14	4.3333E-2
5.0000E+0	4.5967E-14	4.3333E-2
5.2000E+0	4.4933E-14	5.0000E-2
5.4000E+0	4.4067E-14	5.0000E-2
5.6000E+0	4.3367E-14	6.0000E-2
5.8000E+0	4.2533E-14	6.0000E-2
6.0000E+0	4.1967E-14	6.3333E-2
6.2000E+0	4.1433E-14	6.6667E-2
6.4000E+0	4.1033E-14	7.3333E-2
6.6000E+0	4.0400E-14	8.3333E-2
6.8000E+0	3.9833E-14	9.3333E-2
7.0000E+0	3.9300E-14	1.0667E-1
7.2000E+0	3.8767E-14	1.2000E-1
