
Vi = 0.000000	  Vf = 7.000000	  Incr = 0.200000	Osc Freq = 1 MHz
Voltage (V)	Capacitance (F)	Display B (see HP4275A)
0.0000E+0	6.3167E-13	1.0000E+2
2.0000E-1	5.6250E-13	4.0000E+2
4.0000E-1	5.1200E-13	4.3333E+2
6.0000E-1	4.7640E-13	5.0000E+2
8.0000E-1	4.5300E-13	5.0000E+2
1.0000E+0	4.3613E-13	4.3333E+2
1.2000E+0	4.2293E-13	5.0000E+2
1.4000E+0	4.1130E-13	5.0000E+2
1.6000E+0	4.0037E-13	5.0000E+2
1.8000E+0	3.8977E-13	4.3333E+2
2.0000E+0	3.7910E-13	4.3333E+2
2.2000E+0	3.6790E-13	4.3333E+2
2.4000E+0	3.5573E-13	4.0000E+2
2.6000E+0	3.4230E-13	3.0000E+2
2.8000E+0	3.2763E-13	4.0000E+2
3.0000E+0	3.1227E-13	2.6667E+2
3.2000E+0	2.9730E-13	2.0000E+2
3.4000E+0	2.8420E-13	2.0000E+2
3.6000E+0	2.7270E-13	1.3333E+2
3.8000E+0	2.6303E-13	1.1667E+2
4.0000E+0	2.5420E-13	1.0333E+2
4.2000E+0	2.4640E-13	9.3333E+1
4.4000E+0	2.3917E-13	8.3333E+1
4.6000E+0	2.3263E-13	7.3333E+1
4.8000E+0	2.2673E-13	6.6667E+1
5.0000E+0	2.2160E-13	6.3333E+1
5.2000E+0	2.1653E-13	5.3333E+1
5.4000E+0	2.1210E-13	5.3333E+1
5.6000E+0	2.0767E-13	4.6667E+1
5.8000E+0	2.0387E-13	4.3333E+1
6.0000E+0	2.0000E-13	4.0000E+1
6.2000E+0	1.9673E-13	3.8000E+1
6.4000E+0	1.9347E-13	3.4000E+1
6.6000E+0	1.9023E-13	3.0333E+1
6.8000E+0	1.8757E-13	2.8333E+1
7.0000E+0	1.8477E-13	2.4333E+1
7.2000E+0	1.8193E-13	2.1000E+1
