
Vi = 0.000000	  Vf = 7.000000	  Incr = 0.200000	Osc Freq = 1 MHz
Voltage (V)	Capacitance (F)	Display B (see HP4275A)
0.0000E+0	2.1683E-13	9.5333E-2
2.0000E-1	1.9363E-13	2.6000E-2
4.0000E-1	1.7703E-13	2.0667E-2
6.0000E-1	1.6530E-13	1.9333E-2
8.0000E-1	1.5730E-13	2.0000E-2
1.0000E+0	1.5127E-13	2.0000E-2
1.2000E+0	1.4673E-13	2.0000E-2
1.4000E+0	1.4290E-13	2.0000E-2
1.6000E+0	1.3923E-13	2.3333E-2
1.8000E+0	1.3567E-13	2.6667E-2
2.0000E+0	1.3263E-13	2.6667E-2
2.2000E+0	1.2917E-13	3.0000E-2
2.4000E+0	1.2543E-13	3.0000E-2
2.6000E+0	1.2163E-13	3.0000E-2
2.8000E+0	1.1760E-13	3.0000E-2
3.0000E+0	1.1300E-13	3.3333E-2
3.2000E+0	1.0837E-13	3.6667E-2
3.4000E+0	1.0400E-13	4.0000E-2
3.6000E+0	9.9700E-14	4.0000E-2
3.8000E+0	9.6000E-14	4.3333E-2
4.0000E+0	9.2933E-14	5.0000E-2
4.2000E+0	9.0000E-14	5.0000E-2
4.4000E+0	8.7500E-14	5.3333E-2
4.6000E+0	8.5200E-14	5.6667E-2
4.8000E+0	8.3267E-14	6.0000E-2
5.0000E+0	8.1167E-14	6.0000E-2
5.2000E+0	7.9333E-14	6.3333E-2
5.4000E+0	7.7733E-14	7.0000E-2
5.6000E+0	7.6433E-14	7.0000E-2
5.8000E+0	7.4900E-14	7.3333E-2
6.0000E+0	7.3733E-14	8.0000E-2
6.2000E+0	7.2567E-14	8.0000E-2
6.4000E+0	7.1400E-14	8.3333E-2
6.6000E+0	7.0333E-14	9.3333E-2
6.8000E+0	6.9200E-14	1.0000E-1
7.0000E+0	6.8267E-14	1.1000E-1
7.2000E+0	6.7533E-14	1.1667E-1
