
Vi = 0.000000	  Vf = 7.000000	  Incr = 0.200000	Osc Freq = 1 MHz
Voltage (V)	Capacitance (F)	Display B (see HP4275A)
0.0000E+0	4.6313E-13	4.6667E-3
2.0000E-1	4.1047E-13	3.6667E-3
4.0000E-1	3.7413E-13	3.0000E-3
6.0000E-1	3.4993E-13	2.3333E-3
8.0000E-1	3.3370E-13	3.0000E-3
1.0000E+0	3.2220E-13	2.3333E-3
1.2000E+0	3.1260E-13	2.6667E-3
1.4000E+0	3.0423E-13	2.3333E-3
1.6000E+0	2.9630E-13	2.3333E-3
1.8000E+0	2.8827E-13	2.6667E-3
2.0000E+0	2.8077E-13	2.3333E-3
2.2000E+0	2.7243E-13	2.6667E-3
2.4000E+0	2.6343E-13	3.0000E-3
2.6000E+0	2.5350E-13	2.3333E-3
2.8000E+0	2.4253E-13	3.0000E-3
3.0000E+0	2.3083E-13	3.3333E-3
3.2000E+0	2.1957E-13	3.0000E-3
3.4000E+0	2.0927E-13	3.3333E-3
3.6000E+0	2.0043E-13	4.3333E-3
3.8000E+0	1.9263E-13	3.3333E-3
4.0000E+0	1.8590E-13	4.0000E-3
4.2000E+0	1.7983E-13	4.0000E-3
4.4000E+0	1.7437E-13	3.0000E-3
4.6000E+0	1.6953E-13	4.0000E-3
4.8000E+0	1.6527E-13	4.0000E-3
5.0000E+0	1.6110E-13	4.0000E-3
5.2000E+0	1.5737E-13	0.0000E+0
5.4000E+0	1.5387E-13	6.6667E-3
5.6000E+0	1.5067E-13	3.3333E-3
5.8000E+0	1.4797E-13	6.6667E-3
6.0000E+0	1.4500E-13	1.0000E-2
6.2000E+0	1.4253E-13	1.0000E-2
6.4000E+0	1.4013E-13	1.0000E-2
6.6000E+0	1.3770E-13	1.0000E-2
6.8000E+0	1.3587E-13	1.0000E-2
7.0000E+0	1.3353E-13	1.0000E-2
7.2000E+0	1.3150E-13	2.0000E-2
