
Vi = 0.000000	  Vf = 7.000000	  Incr = 0.200000	Osc Freq = 1 MHz
Voltage (V)	Capacitance (F)	Display B (see HP4275A)
0.0000E+0	8.1663E-13	5.3333E-3
2.0000E-1	7.2323E-13	2.0000E-3
4.0000E-1	6.5773E-13	2.0000E-3
6.0000E-1	6.1440E-13	1.6667E-3
8.0000E-1	5.8600E-13	1.6667E-3
1.0000E+0	5.6547E-13	2.0000E-3
1.2000E+0	5.4840E-13	1.6667E-3
1.4000E+0	5.3293E-13	1.6667E-3
1.6000E+0	5.1840E-13	1.3333E-3
1.8000E+0	5.0373E-13	2.0000E-3
2.0000E+0	4.8850E-13	1.6667E-3
2.2000E+0	4.7240E-13	1.0000E-3
2.4000E+0	4.5400E-13	2.3333E-3
2.6000E+0	4.3363E-13	2.0000E-3
2.8000E+0	4.1170E-13	2.0000E-3
3.0000E+0	3.9043E-13	2.3333E-3
3.2000E+0	3.7087E-13	2.6667E-3
3.4000E+0	3.5420E-13	2.3333E-3
3.6000E+0	3.3957E-13	2.6667E-3
3.8000E+0	3.2683E-13	3.0000E-3
4.0000E+0	3.1563E-13	3.3333E-3
4.2000E+0	3.0560E-13	3.3333E-3
4.4000E+0	2.9670E-13	3.6667E-3
4.6000E+0	2.8883E-13	2.6667E-3
4.8000E+0	2.8123E-13	3.0000E-3
5.0000E+0	2.7463E-13	3.0000E-3
5.2000E+0	2.6827E-13	3.3333E-3
5.4000E+0	2.6250E-13	3.3333E-3
5.6000E+0	2.5707E-13	3.6667E-3
5.8000E+0	2.5207E-13	3.6667E-3
6.0000E+0	2.4750E-13	4.0000E-3
6.2000E+0	2.4297E-13	5.0000E-3
6.4000E+0	2.3900E-13	5.6667E-3
6.6000E+0	2.3497E-13	7.0000E-3
6.8000E+0	2.3120E-13	8.3333E-3
7.0000E+0	2.2757E-13	1.0333E-2
7.2000E+0	2.2403E-13	1.3000E-2
