Freq_GHz	Model_dBohm
3.0041787	28.686483
3.0141587	28.686296
3.0241387	28.686107
3.0341187	28.685919
3.0440987	28.685729
3.0540787	28.685539
3.0640587	28.685348
3.0740387	28.685156
3.0840187	28.684964
3.0939987	28.684771
3.1039787	28.684578
3.1139587	28.684384
3.1239387	28.684189
3.1339186	28.683994
3.1438986	28.683798
3.1538786	28.683602
3.1638586	28.683404
3.1738386	28.683207
3.1838186	28.683008
3.1937986	28.682809
3.2037786	28.682609
3.2137586	28.682409
3.2237386	28.682208
3.2337186	28.682006
3.2436986	28.681804
3.2536786	28.681601
3.2636586	28.681398
3.2736386	28.681193
3.2836186	28.680989
3.2935986	28.680783
3.3035786	28.680577
3.3135586	28.68037
3.3235386	28.680163
3.3335186	28.679955
3.3434986	28.679746
3.3534786	28.679537
3.3634585	28.679327
3.3734385	28.679117
3.3834185	28.678905
3.3933985	28.678694
3.4033785	28.678481
3.4133585	28.678268
3.4233385	28.678054
3.4333185	28.67784
3.4432985	28.677625
3.4532785	28.677409
3.4632585	28.677193
3.4732385	28.676976
3.4832185	28.676759
3.4931985	28.67654
3.5031785	28.676322
3.5131585	28.676102
3.5231385	28.675882
3.5331185	28.675661
3.5430985	28.67544
3.5530785	28.675218
3.5630585	28.674995
3.5730385	28.674772
3.5830184	28.674548
3.5929984	28.674323
3.6029784	28.674098
3.6129584	28.673872
3.6229384	28.673646
3.6329184	28.673419
3.6428984	28.673191
3.6528784	28.672963
3.6628584	28.672734
3.6728384	28.672504
3.6828184	28.672274
3.6927984	28.672043
3.7027784	28.671811
3.7127584	28.671579
3.7227384	28.671346
3.7327184	28.671112
3.7426984	28.670878
3.7526784	28.670643
3.7626584	28.670408
3.7726384	28.670172
3.7826184	28.669935
3.7925984	28.669698
3.8025784	28.66946
3.8125583	28.669221
3.8225383	28.668982
3.8325183	28.668742
3.8424983	28.668501
3.8524783	28.66826
3.8624583	28.668018
3.8724383	28.667776
3.8824183	28.667532
3.8923983	28.667289
3.9023783	28.667044
3.9123583	28.666799
3.9223383	28.666553
3.9323183	28.666307
3.9422983	28.66606
3.9522783	28.665812
3.9622583	28.665564
3.9722383	28.665315
3.9822183	28.665066
3.9921983	28.664815
4.0021783	28.664564
4.0121583	28.664313
4.0221383	28.664061
4.0321182	28.663808
4.0420982	28.663554
4.0520782	28.6633
4.0620582	28.663046
4.0720382	28.66279
4.0820182	28.662534
4.0919982	28.662278
4.1019782	28.66202
4.1119582	28.661762
4.1219382	28.661504
4.1319182	28.661244
4.1418982	28.660984
4.1518782	28.660724
4.1618582	28.660463
4.1718382	28.660201
4.1818182	28.659938
4.1917982	28.659675
4.2017782	28.659411
4.2117582	28.659147
4.2217382	28.658882
4.2317182	28.658616
4.2416982	28.65835
4.2516782	28.658083
4.2616581	28.657815
4.2716381	28.657547
4.2816181	28.657278
4.2915981	28.657008
4.3015781	28.656738
4.3115581	28.656467
4.3215381	28.656195
4.3315181	28.655923
4.3414981	28.65565
4.3514781	28.655377
4.3614581	28.655103
4.3714381	28.654828
4.3814181	28.654552
4.3913981	28.654276
4.4013781	28.654
4.4113581	28.653722
4.4213381	28.653444
4.4313181	28.653165
4.4412981	28.652886
4.4512781	28.652606
4.4612581	28.652325
4.4712381	28.652044
4.481218	28.651762
4.491198	28.65148
4.501178	28.651196
4.511158	28.650912
4.521138	28.650628
4.531118	28.650343
4.541098	28.650057
4.551078	28.64977
4.561058	28.649483
4.571038	28.649195
4.581018	28.648907
4.590998	28.648618
4.600978	28.648328
4.610958	28.648037
4.620938	28.647746
4.630918	28.647455
4.640898	28.647162
4.650878	28.646869
4.660858	28.646575
4.670838	28.646281
4.680818	28.645986
4.690798	28.64569
4.700778	28.645394
4.7107579	28.645097
4.7207379	28.644799
4.7307179	28.644501
4.7406979	28.644202
4.7506779	28.643903
4.7606579	28.643602
4.7706379	28.643302
4.7806179	28.643
4.7905979	28.642698
4.8005779	28.642395
4.8105579	28.642091
4.8205379	28.641787
4.8305179	28.641482
4.8404979	28.641177
4.8504779	28.640871
4.8604579	28.640564
4.8704379	28.640256
4.8804179	28.639948
4.8903979	28.63964
4.9003779	28.63933
4.9103579	28.63902
4.9203379	28.638709
4.9303178	28.638398
4.9402978	28.638086
4.9502778	28.637773
4.9602578	28.63746
4.9702378	28.637146
4.9802178	28.636831
4.9901978	28.636516
5.0001778	28.6362
5.0101578	28.635883
5.0201378	28.635565
5.0301178	28.635247
5.0400978	28.634929
5.0500778	28.63461
5.0600578	28.63429
5.0700378	28.633969
5.0800178	28.633648
5.0899978	28.633326
5.0999778	28.633003
5.1099578	28.63268
5.1199378	28.632356
5.1299178	28.632031
5.1398978	28.631706
5.1498778	28.63138
5.1598577	28.631053
5.1698377	28.630726
5.1798177	28.630398
5.1897977	28.63007
5.1997777	28.62974
5.2097577	28.62941
5.2197377	28.62908
5.2297177	28.628749
5.2396977	28.628417
5.2496777	28.628084
5.2596577	28.627751
5.2696377	28.627417
5.2796177	28.627083
5.2895977	28.626747
5.2995777	28.626412
5.3095577	28.626075
5.3195377	28.625738
5.3295177	28.6254
5.3394977	28.625061
5.3494777	28.624722
5.3594577	28.624382
5.3694377	28.624042
5.3794176	28.623701
5.3893976	28.623359
5.3993776	28.623016
5.4093576	28.622673
5.4193376	28.622329
5.4293176	28.621985
5.4392976	28.621639
5.4492776	28.621294
5.4592576	28.620947
5.4692376	28.6206
5.4792176	28.620252
5.4891976	28.619903
5.4991776	28.619554
5.5091576	28.619204
5.5191376	28.618854
5.5291176	28.618503
5.5390976	28.618151
5.5490776	28.617798
5.5590576	28.617445
5.5690376	28.617091
5.5790176	28.616737
5.5889976	28.616381
5.5989776	28.616026
5.6089575	28.615669
5.6189375	28.615312
5.6289175	28.614954
5.6388975	28.614595
5.6488775	28.614236
5.6588575	28.613876
5.6688375	28.613516
5.6788175	28.613154
5.6887975	28.612792
5.6987775	28.61243
5.7087575	28.612067
5.7187375	28.611703
5.7287175	28.611338
5.7386975	28.610973
5.7486775	28.610607
5.7586575	28.61024
5.7686375	28.609873
5.7786175	28.609505
5.7885975	28.609136
5.7985775	28.608767
5.8085575	28.608397
5.8185375	28.608026
5.8285174	28.607655
5.8384974	28.607283
5.8484774	28.60691
5.8584574	28.606537
5.8684374	28.606163
5.8784174	28.605788
5.8883974	28.605413
5.8983774	28.605037
5.9083574	28.60466
5.9183374	28.604282
5.9283174	28.603904
5.9382974	28.603526
5.9482774	28.603146
5.9582574	28.602766
5.9682374	28.602385
5.9782174	28.602004
5.9881974	28.601622
5.9981774	28.601239
6.0081574	28.600855
6.0181374	28.600471
6.0281174	28.600086
6.0380974	28.599701
6.0480774	28.599315
6.0580573	28.598928
6.0680373	28.59854
6.0780173	28.598152
6.0879973	28.597763
6.0979773	28.597373
6.1079573	28.596983
6.1179373	28.596592
6.1279173	28.5962
6.1378973	28.595808
6.1478773	28.595415
6.1578573	28.595021
6.1678373	28.594627
6.1778173	28.594232
6.1877973	28.593836
6.1977773	28.59344
6.2077573	28.593043
6.2177373	28.592645
6.2277173	28.592246
6.2376973	28.591847
6.2476773	28.591447
6.2576573	28.591047
6.2676373	28.590646
6.2776172	28.590244
6.2875972	28.589841
6.2975772	28.589438
6.3075572	28.589034
6.3175372	28.58863
6.3275172	28.588224
6.3374972	28.587818
6.3474772	28.587412
6.3574572	28.587004
6.3674372	28.586596
6.3774172	28.586187
6.3873972	28.585778
6.3973772	28.585368
6.4073572	28.584957
6.4173372	28.584546
6.4273172	28.584134
6.4372972	28.583721
6.4472772	28.583307
6.4572572	28.582893
6.4672372	28.582478
6.4772172	28.582063
6.4871972	28.581646
6.4971772	28.581229
6.5071571	28.580812
6.5171371	28.580393
6.5271171	28.579974
6.5370971	28.579555
6.5470771	28.579134
6.5570571	28.578713
6.5670371	28.578291
6.5770171	28.577869
6.5869971	28.577446
6.5969771	28.577022
6.6069571	28.576597
6.6169371	28.576172
6.6269171	28.575746
6.6368971	28.57532
6.6468771	28.574892
6.6568571	28.574464
6.6668371	28.574036
6.6768171	28.573606
6.6867971	28.573176
6.6967771	28.572746
6.7067571	28.572314
6.7167371	28.571882
6.726717	28.571449
6.736697	28.571016
6.746677	28.570581
6.756657	28.570147
6.766637	28.569711
6.776617	28.569275
6.786597	28.568838
6.796577	28.5684
6.806557	28.567962
6.816537	28.567523
6.826517	28.567083
6.836497	28.566642
6.846477	28.566201
6.856457	28.565759
6.866437	28.565317
6.876417	28.564874
6.886397	28.56443
6.896377	28.563985
6.906357	28.56354
6.916337	28.563094
6.926317	28.562647
6.936297	28.562199
6.946277	28.561751
6.9562569	28.561302
6.9662369	28.560853
6.9762169	28.560403
6.9861969	28.559952
6.9961769	28.5595
7.0061569	28.559048
7.0161369	28.558595
7.0261169	28.558141
7.0360969	28.557687
7.0460769	28.557232
7.0560569	28.556776
7.0660369	28.556319
7.0760169	28.555862
7.0859969	28.555404
7.0959769	28.554946
7.1059569	28.554486
7.1159369	28.554026
7.1259169	28.553566
7.1358969	28.553104
7.1458769	28.552642
7.1558569	28.552179
7.1658369	28.551716
7.1758168	28.551251
7.1857968	28.550787
7.1957768	28.550321
7.2057568	28.549855
7.2157368	28.549388
7.2257168	28.54892
7.2356968	28.548451
7.2456768	28.547982
7.2556568	28.547512
7.2656368	28.547042
7.2756168	28.546571
7.2855968	28.546099
7.2955768	28.545626
7.3055568	28.545152
7.3155368	28.544678
7.3255168	28.544204
7.3354968	28.543728
7.3454768	28.543252
7.3554568	28.542775
7.3654368	28.542297
7.3754168	28.541819
7.3853968	28.54134
7.3953768	28.54086
7.4053567	28.54038
7.4153367	28.539899
7.4253167	28.539417
7.4352967	28.538934
7.4452767	28.538451
7.4552567	28.537967
7.4652367	28.537482
7.4752167	28.536997
7.4851967	28.536511
7.4951767	28.536024
7.5051567	28.535536
7.5151367	28.535048
7.5251167	28.534559
7.5350967	28.534069
7.5450767	28.533579
7.5550567	28.533088
7.5650367	28.532596
7.5750167	28.532103
7.5849967	28.53161
7.5949767	28.531116
7.6049567	28.530622
7.6149367	28.530126
7.6249166	28.52963
7.6348966	28.529133
7.6448766	28.528636
7.6548566	28.528137
7.6648366	28.527638
7.6748166	28.527139
7.6847966	28.526638
7.6947766	28.526137
7.7047566	28.525635
7.7147366	28.525133
7.7247166	28.52463
7.7346966	28.524126
7.7446766	28.523621
7.7546566	28.523116
7.7646366	28.52261
7.7746166	28.522103
7.7845966	28.521595
7.7945766	28.521087
7.8045566	28.520578
7.8145366	28.520068
7.8245166	28.519558
7.8344966	28.519047
7.8444766	28.518535
7.8544565	28.518022
7.8644365	28.517509
7.8744165	28.516995
7.8843965	28.51648
7.8943765	28.515965
7.9043565	28.515448
7.9143365	28.514932
7.9243165	28.514414
7.9342965	28.513896
7.9442765	28.513377
7.9542565	28.512857
7.9642365	28.512336
7.9742165	28.511815
7.9841965	28.511293
7.9941765	28.51077
8.0041565	28.510247
8.0141365	28.509723
8.0241165	28.509198
8.0340965	28.508672
8.0440765	28.508146
8.0540565	28.507619
8.0640365	28.507091
8.0740164	28.506563
8.0839964	28.506034
8.0939764	28.505504
8.1039564	28.504973
8.1139364	28.504442
8.1239164	28.50391
8.1338964	28.503377
8.1438764	28.502843
8.1538564	28.502309
8.1638364	28.501774
8.1738164	28.501238
8.1837964	28.500702
8.1937764	28.500164
8.2037564	28.499627
8.2137364	28.499088
8.2237164	28.498549
8.2336964	28.498008
8.2436764	28.497468
8.2536564	28.496926
8.2636364	28.496384
8.2736164	28.495841
8.2835964	28.495297
8.2935764	28.494752
8.3035563	28.494207
8.3135363	28.493661
8.3235163	28.493115
8.3334963	28.492567
8.3434763	28.492019
8.3534563	28.49147
8.3634363	28.49092
8.3734163	28.49037
8.3833963	28.489819
8.3933763	28.489267
8.4033563	28.488715
8.4133363	28.488161
8.4233163	28.487607
8.4332963	28.487053
8.4432763	28.486497
8.4532563	28.485941
8.4632363	28.485384
8.4732163	28.484826
8.4831963	28.484268
8.4931763	28.483709
8.5031563	28.483149
8.5131363	28.482588
8.5231162	28.482027
8.5330962	28.481465
8.5430762	28.480902
8.5530562	28.480338
8.5630362	28.479774
8.5730162	28.479209
8.5829962	28.478643
8.5929762	28.478076
8.6029562	28.477509
8.6129362	28.476941
8.6229162	28.476372
8.6328962	28.475803
8.6428762	28.475233
8.6528562	28.474662
8.6628362	28.47409
8.6728162	28.473517
8.6827962	28.472944
8.6927762	28.47237
8.7027562	28.471796
8.7127362	28.47122
8.7227162	28.470644
8.7326962	28.470067
8.7426762	28.469489
8.7526561	28.468911
8.7626361	28.468332
8.7726161	28.467752
8.7825961	28.467171
8.7925761	28.46659
8.8025561	28.466008
8.8125361	28.465425
8.8225161	28.464841
8.8324961	28.464257
8.8424761	28.463672
8.8524561	28.463086
8.8624361	28.462499
8.8724161	28.461912
8.8823961	28.461324
8.8923761	28.460735
8.9023561	28.460146
8.9123361	28.459555
8.9223161	28.458964
8.9322961	28.458372
8.9422761	28.45778
8.9522561	28.457186
8.9622361	28.456592
8.972216	28.455998
8.982196	28.455402
8.992176	28.454806
9.002156	28.454209
9.012136	28.453611
9.022116	28.453012
9.032096	28.452413
9.042076	28.451813
9.052056	28.451212
9.062036	28.45061
9.072016	28.450008
9.081996	28.449405
9.091976	28.448801
9.101956	28.448196
9.111936	28.447591
9.121916	28.446985
9.131896	28.446378
9.141876	28.44577
9.151856	28.445162
9.161836	28.444553
9.171816	28.443943
9.181796	28.443332
9.191776	28.442721
9.2017559	28.442109
9.2117359	28.441496
9.2217159	28.440882
9.2316959	28.440268
9.2416759	28.439653
9.2516559	28.439037
9.2616359	28.43842
9.2716159	28.437803
9.2815959	28.437184
9.2915759	28.436565
9.3015559	28.435946
9.3115359	28.435325
9.3215159	28.434704
9.3314959	28.434082
9.3414759	28.433459
9.3514559	28.432836
9.3614359	28.432211
9.3714159	28.431586
9.3813959	28.430961
9.3913759	28.430334
9.4013559	28.429707
9.4113359	28.429079
9.4213158	28.42845
9.4312958	28.42782
9.4412758	28.42719
9.4512558	28.426559
9.4612358	28.425927
9.4712158	28.425294
9.4811958	28.424661
9.4911758	28.424026
9.5011558	28.423391
9.5111358	28.422756
9.5211158	28.422119
9.5310958	28.421482
9.5410758	28.420844
9.5510558	28.420205
9.5610358	28.419565
9.5710158	28.418925
9.5809958	28.418284
9.5909758	28.417642
9.6009558	28.417
9.6109358	28.416356
9.6209158	28.415712
9.6308958	28.415067
9.6408758	28.414421
9.6508557	28.413775
9.6608357	28.413128
9.6708157	28.41248
9.6807957	28.411831
9.6907757	28.411181
9.7007557	28.410531
9.7107357	28.40988
9.7207157	28.409228
9.7306957	28.408575
9.7406757	28.407922
9.7506557	28.407268
9.7606357	28.406613
9.7706157	28.405957
9.7805957	28.4053
9.7905757	28.404643
9.8005557	28.403985
9.8105357	28.403326
9.8205157	28.402667
9.8304957	28.402006
9.8404757	28.401345
9.8504557	28.400683
9.8604357	28.40002
9.8704156	28.399357
9.8803956	28.398693
9.8903756	28.398028
9.9003556	28.397362
9.9103356	28.396695
9.9203156	28.396028
9.9302956	28.39536
9.9402756	28.394691
9.9502556	28.394021
9.9602356	28.393351
9.9702156	28.392679
9.9801956	28.392007
9.9901756	28.391334
10.000156	28.390661
10.010136	28.389986
10.020116	28.389311
10.030096	28.388635
10.040076	28.387959
10.050056	28.387281
10.060036	28.386603
10.070016	28.385924
10.079996	28.385244
10.089976	28.384563
10.099956	28.383882
10.109936	28.3832
10.119916	28.382517
10.129896	28.381833
10.139876	28.381148
10.149856	28.380463
10.159836	28.379777
10.169816	28.37909
10.179796	28.378402
10.189776	28.377714
10.199756	28.377024
10.209735	28.376334
10.219715	28.375643
10.229695	28.374952
10.239675	28.374259
10.249655	28.373566
10.259635	28.372872
10.269615	28.372177
10.279595	28.371482
10.289575	28.370785
10.299555	28.370088
10.309535	28.36939
10.319515	28.368692
10.329495	28.367992
10.339475	28.367292
10.349455	28.366591
10.359435	28.365889
10.369415	28.365186
10.379395	28.364482
10.389375	28.363778
10.399355	28.363073
10.409335	28.362367
10.419315	28.361661
10.429295	28.360953
10.439275	28.360245
10.449255	28.359536
10.459235	28.358826
10.469215	28.358115
10.479195	28.357404
10.489175	28.356692
10.499155	28.355979
10.509135	28.355265
10.519115	28.35455
10.529095	28.353835
10.539075	28.353119
10.549055	28.352402
10.559035	28.351684
10.569015	28.350965
10.578995	28.350246
10.588975	28.349526
10.598955	28.348805
10.608935	28.348083
10.618915	28.34736
10.628895	28.346637
10.638875	28.345913
10.648855	28.345188
10.658835	28.344462
10.668815	28.343735
10.678795	28.343008
10.688775	28.34228
10.698755	28.341551
10.708735	28.340821
10.718715	28.34009
10.728695	28.339359
10.738675	28.338627
10.748655	28.337894
10.758635	28.33716
10.768615	28.336425
10.778595	28.33569
10.788575	28.334953
10.798555	28.334216
10.808535	28.333479
10.818515	28.33274
10.828495	28.332
10.838475	28.33126
10.848455	28.330519
10.858435	28.329777
10.868415	28.329034
10.878395	28.328291
10.888375	28.327547
10.898355	28.326802
10.908335	28.326056
10.918315	28.325309
10.928295	28.324561
10.938275	28.323813
10.948255	28.323064
10.958235	28.322314
10.968215	28.321563
10.978195	28.320811
10.988175	28.320059
10.998155	28.319306
11.008135	28.318552
11.018115	28.317797
11.028095	28.317041
11.038075	28.316285
11.048055	28.315527
11.058035	28.314769
11.068015	28.31401
11.077995	28.313251
11.087975	28.31249
11.097955	28.311729
11.107935	28.310966
11.117915	28.310203
11.127895	28.30944
11.137875	28.308675
11.147855	28.30791
11.157835	28.307143
11.167815	28.306376
11.177795	28.305608
11.187775	28.30484
11.197755	28.30407
11.207735	28.3033
11.217715	28.302528
11.227695	28.301756
11.237675	28.300984
11.247655	28.30021
11.257635	28.299435
11.267615	28.29866
11.277595	28.297884
11.287575	28.297107
11.297555	28.296329
11.307535	28.295551
11.317515	28.294771
11.327495	28.293991
11.337475	28.29321
11.347455	28.292428
11.357435	28.291646
11.367415	28.290862
11.377395	28.290078
11.387375	28.289292
11.397355	28.288506
11.407335	28.28772
11.417315	28.286932
11.427295	28.286144
11.437275	28.285354
11.447255	28.284564
11.457235	28.283773
11.467215	28.282981
11.477195	28.282189
11.487175	28.281395
11.497155	28.280601
11.507135	28.279806
11.517115	28.27901
11.527095	28.278213
11.537075	28.277416
11.547055	28.276617
11.557035	28.275818
11.567015	28.275018
11.576995	28.274217
11.586975	28.273415
11.596955	28.272613
11.606935	28.271809
11.616915	28.271005
11.626895	28.2702
11.636875	28.269394
11.646855	28.268587
11.656835	28.26778
11.666815	28.266971
11.676795	28.266162
11.686775	28.265352
11.696755	28.264541
11.706735	28.263729
11.716715	28.262917
11.726695	28.262103
11.736675	28.261289
11.746655	28.260474
11.756635	28.259658
11.766615	28.258841
11.776595	28.258023
11.786575	28.257205
11.796555	28.256386
11.806535	28.255565
11.816515	28.254744
11.826495	28.253923
11.836475	28.2531
11.846455	28.252276
11.856435	28.251452
11.866415	28.250627
11.876395	28.249801
11.886375	28.248974
11.896355	28.248146
11.906335	28.247318
11.916315	28.246488
11.926295	28.245658
11.936275	28.244827
11.946255	28.243995
11.956235	28.243162
11.966215	28.242329
11.976195	28.241494
11.986175	28.240659
