Freq_GHz	Meas_abs_dB
0.5	-21.73
1	-21.862985
1.67	-21.9722
2.17	-21.950597
2.67	-21.95
3.25	-22.012537
3.75	-22.06
4.08	-22.0766
4.75	-22.18
5.25	-22.104925
5.75	-22.21
6.08	-22.1412
6.83	-22.1368
7.33	-22.1768
7.67	-22.154848
8.17	-22.234925
8.67	-22.2466
9.17	-22.3432
9.5	-22.22
10.17	-22.27
10.67	-22.202121
11.17	-22.2296
11.5	-22.2098
12.17	-22.4496
12.67	-22.49
13.17	-22.421807
13.67	-22.434545
14.17	-22.369552
14.67	-22.1896
15.17	-22.2232
15.67	-22.503
16.33	-22.7602
16.83	-22.4598
17.17	-22.677463
17.83	-22.437576
18.33	-22.31
18.83	-22.277879
19.5	-22.385
20	-23.025
20.5	-22.5666
21	-23.0036
21.33	-22.53
22	-22.55
22.33	-22.2768
23	-22.462537
23.5	-22.9802
24	-23.1436
24.5	-23.0902
25	-23.14
25.5	-22.837
26	-23.244
26.5	-22.837
27.25	-23.617
27.58	-23.77
28.08	-24.074848
28.75	-23.5864
29.25	-23.4262
29.75	-23.416
30.25	-24.5836
31.08	-24.56
31.67	-25.016267
32.17	-24.6512
32.67	-25.0408
33.17	-24.0672
33.83	-24.33
34.67	-26.0756
35	-26.1496
35.67	-27.1144
36.17	-25.573582
36.67	-25.574017
