Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
34.0015	-2.553031	147.33046	-1.5341067	145.0726	-0.62741699	0.40232368	-0.68713804	0.47984281
34.2015	-2.5729914	145.77617	-1.526891	144.23243	-0.61485887	0.4182316	-0.68059329	0.490274
34.4014	-2.5328884	145.3354	-1.5195999	143.40045	-0.61445371	0.4249065	-0.67396809	0.50052472
34.6014	-2.6049054	144.14146	-1.5122314	142.57576	-0.60046734	0.43400402	-0.66726005	0.51060628
34.8013	-2.639519	143.21521	-1.5047976	141.75913	-0.59101311	0.44188965	-0.66047997	0.52050972
35.0013	-2.5739965	141.7982	-1.4972957	140.94969	-0.58429599	0.45982533	-0.65362511	0.53024613
35.2012	-2.5878212	140.79463	-1.489738	140.14818	-0.57523637	0.46924111	-0.64670622	0.53980704
35.4012	-2.4957919	140.66403	-1.4821213	139.35373	-0.58028106	0.47556321	-0.6397202	0.54920331
35.6011	-2.6982989	139.18755	-1.4744575	138.56708	-0.55474912	0.47905699	-0.63267774	0.55842692
35.8011	-2.5625725	138.1104	-1.4667432	137.78737	-0.5542387	0.49710838	-0.62557542	0.56748849
36.001	-2.613735	136.18166	-1.4589901	137.01532	-0.53403884	0.51245308	-0.61842387	0.57638043
36.201	-2.5865514	135.77487	-1.4511945	136.2501	-0.5320496	0.51784986	-0.61121935	0.58511313
36.4009	-2.5987606	134.26212	-1.4433678	135.49241	-0.51746536	0.53096829	-0.60397239	0.5936794
36.6009	-2.6835351	133.27127	-1.435506	134.74141	-0.50327011	0.53459409	-0.59667898	0.60208938
36.8008	-2.62327	132.07805	-1.4276205	133.9978	-0.49545423	0.54875254	-0.58934956	0.61033627
37.0008	-2.6683989	130.87558	-1.4197068	133.26076	-0.48132198	0.55613206	-0.58197986	0.61842996
37.2007	-2.6452935	130.18515	-1.4117761	132.53098	-0.47584978	0.56338829	-0.5745802	0.62636402
37.4007	-2.6466618	128.80942	-1.4038237	131.80764	-0.46211358	0.57455992	-0.56714605	0.63414807
37.6006	-2.711899	128.25385	-1.3958606	131.09142	-0.45310476	0.57468122	-0.55968765	0.64177605
37.8006	-2.6003175	126.88751	-1.3878819	130.38152	-0.44495216	0.59288977	-0.55220024	0.64925733
38.0005	-2.6748257	126.0975	-1.3798983	129.67859	-0.43300487	0.59385232	-0.54469392	0.65658616
38.2005	-2.6166549	125.11002	-1.3719046	128.98186	-0.42554659	0.60526652	-0.53716373	0.66377165
38.4004	-2.6635141	124.13158	-1.3639115	128.29196	-0.41291526	0.60914981	-0.52961966	0.67080838
38.6004	-2.6577942	123.65015	-1.3559136	127.60813	-0.40805097	0.61300135	-0.52205654	0.67770519
38.8003	-2.6543264	121.80457	-1.3479212	126.931	-0.38825202	0.6260749	-0.51448425	0.68445698
39.0003	-2.6223884	121.79409	-1.3399287	126.25983	-0.38956731	0.62845248	-0.50689743	0.6910723
39.2002	-2.6135707	119.48602	-1.3319464	125.5952	-0.36431155	0.64428523	-0.49930583	0.69754635
39.4002	-2.6603889	119.21066	-1.3239684	124.93641	-0.35926922	0.64255582	-0.49170394	0.70388742
39.6001	-2.6798797	117.86749	-1.3160049	124.28404	-0.34333731	0.64934202	-0.48410137	0.71009099
39.8001	-2.6582904	116.8756	-1.3080497	123.63737	-0.33287153	0.65681872	-0.47649246	0.71616508
40	-2.6891301	116.01687	-1.3001128	122.99698	-0.32184557	0.65938838	-0.46888669	0.72210543
