Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
11.8071	-12.6339	-160.787	-13.5216	-171.096	-0.220502	-0.0768445	-0.208284	-0.0326307
12.007	-12.448	-161.345	-13.4259	-171.241	-0.226028	-0.0763077	-0.210675	-0.032458
12.207	-12.4377	-161.107	-13.33	-171.395	-0.225977	-0.0773404	-0.2131	-0.0322466
12.4069	-12.2153	-161.508	-13.234	-171.557	-0.232386	-0.0777183	-0.215559	-0.0319961
12.6069	-12.2417	-161.299	-13.1379	-171.727	-0.231398	-0.0783273	-0.218053	-0.0317053
12.8068	-12.0434	-162.067	-13.0418	-171.905	-0.237795	-0.0769556	-0.220578	-0.0313738
13.0068	-11.9784	-162.058	-12.9455	-172.091	-0.239569	-0.0775728	-0.223137	-0.0310004
13.2067	-11.8523	-162.441	-12.8493	-172.284	-0.243592	-0.0770811	-0.225728	-0.0305848
13.4067	-11.7523	-162.532	-12.753	-172.485	-0.246537	-0.0775791	-0.228352	-0.0301258
13.6066	-11.6898	-162.922	-12.6567	-172.693	-0.248844	-0.0764481	-0.231005	-0.029623
13.8066	-11.5261	-163.136	-12.5605	-172.908	-0.253865	-0.0769565	-0.233691	-0.0290751
14.0065	-11.4951	-163.509	-12.4643	-173.13	-0.255272	-0.0755734	-0.236405	-0.0284819
14.2065	-11.3115	-163.646	-12.3681	-173.36	-0.260907	-0.0765629	-0.239151	-0.027842
14.4064	-11.2805	-163.972	-12.272	-173.596	-0.262273	-0.0753446	-0.241924	-0.0271552
14.6064	-11.1456	-164.205	-12.176	-173.838	-0.26669	-0.0754399	-0.244727	-0.0264202
14.8063	-11.0802	-164.833	-12.0802	-174.088	-0.269522	-0.0730622	-0.247557	-0.0256368
15.0063	-10.9289	-164.96	-11.9844	-174.343	-0.274421	-0.0737365	-0.250415	-0.0248034
15.2062	-10.8198	-165.409	-11.8888	-174.605	-0.278467	-0.0724896	-0.253299	-0.0239202
15.4062	-10.7501	-165.637	-11.7933	-174.874	-0.281	-0.0719548	-0.256209	-0.0229855
15.6061	-10.6504	-166.062	-11.698	-175.148	-0.284775	-0.0706732	-0.259144	-0.0219994
15.8061	-10.554	-166.555	-11.6028	-175.428	-0.288558	-0.0689823	-0.262104	-0.0209602
16.006	-10.4238	-166.759	-11.5079	-175.714	-0.29316	-0.0689826	-0.265087	-0.0198681
16.206	-10.3692	-167.26	-11.4131	-176.005	-0.295606	-0.0668357	-0.268094	-0.0187214
16.4059	-10.2198	-167.505	-11.3186	-176.303	-0.301022	-0.0667074	-0.271121	-0.0175203
16.6059	-10.1712	-167.927	-11.2243	-176.605	-0.303196	-0.0648529	-0.274172	-0.016263
16.8058	-10.0704	-168.38	-11.1302	-176.913	-0.307246	-0.0631813	-0.277241	-0.01495
17.0058	-9.95607	-168.917	-11.0364	-177.227	-0.311903	-0.0610969	-0.280332	-0.0135792
17.2057	-9.86021	-169.196	-10.9428	-177.545	-0.315662	-0.0602363	-0.283439	-0.0121513
17.4057	-9.75684	-169.45	-10.8495	-177.869	-0.319709	-0.0595417	-0.286566	-0.0106642
17.6056	-9.7105	-170.184	-10.7565	-178.197	-0.322159	-0.0557403	-0.289709	-0.00911855
17.8056	-9.57714	-170.5	-10.6637	-178.531	-0.327451	-0.0547973	-0.292869	-0.00751225
18.0055	-9.49384	-171.044	-10.5712	-178.869	-0.331116	-0.052184	-0.296042	-0.00584619
18.2055	-9.41559	-171.336	-10.479	-179.212	-0.334377	-0.0509498	-0.299231	-0.00411805
18.4054	-9.31128	-171.974	-10.3872	-179.559	-0.338969	-0.0477981	-0.302431	-0.0023289
18.6054	-9.22075	-172.236	-10.2956	-179.911	-0.342738	-0.0467311	-0.305645	-0.000476323
18.8053	-9.09964	-172.717	-10.2044	179.733	-0.347936	-0.0444681	-0.308868	0.00143845
19.0053	-9.05875	-173.248	-10.1135	179.373	-0.349977	-0.0414374	-0.312102	0.00341793
19.2052	-8.92779	-173.689	-10.023	179.008	-0.355607	-0.0393274	-0.315344	0.00546073
19.4052	-8.83352	-174.406	-9.9328	178.639	-0.359957	-0.0352552	-0.318594	0.00756945
19.6051	-8.76458	-174.549	-9.84298	178.266	-0.362913	-0.0346298	-0.321849	0.00974253
19.8051	-8.63274	-175.424	-9.75347	177.889	-0.368957	-0.0295312	-0.325111	0.0119827
20.005	-8.57841	-175.331	-9.66438	177.509	-0.371224	-0.0303203	-0.328375	0.0142881
20.205	-8.48249	-176.416	-9.57562	177.124	-0.375859	-0.0235449	-0.331644	0.0166617
20.4049	-8.39766	-176.685	-9.48729	176.736	-0.379656	-0.0219882	-0.334912	0.0191015
20.6049	-8.30361	-177.338	-9.39929	176.344	-0.384017	-0.0178565	-0.338182	0.0216104
20.8048	-8.21995	-177.728	-9.31174	175.948	-0.387847	-0.0153898	-0.341449	0.0241862
21.0048	-8.19031	-178.366	-9.22455	175.549	-0.389321	-0.0111046	-0.344716	0.026832
21.2047	-8.03508	-179.206	-9.1378	175.147	-0.396465	-0.0054966	-0.347977	0.0295455
21.4047	-7.98313	-179.657	-9.05142	174.741	-0.398874	-0.0023867	-0.351234	0.0323297
21.6046	-7.83645	-179.904	-8.9655	174.332	-0.405674	-0.000682687	-0.354484	0.0351821
21.8046	-7.87634	179.088	-8.87997	173.92	-0.403764	0.0064306	-0.357727	0.0381059
22.0045	-7.68802	178.74	-8.7949	173.504	-0.412567	0.00907161	-0.360959	0.0410984
22.2045	-7.68733	177.81	-8.71022	173.086	-0.412398	0.0157736	-0.364182	0.0441627
22.4044	-7.52393	177.749	-8.62603	172.664	-0.420212	0.0165202	-0.367392	0.0472961
22.6044	-7.50954	176.631	-8.54224	172.24	-0.420506	0.024752	-0.370589	0.0505018
22.8043	-7.39583	176.57	-8.45894	171.813	-0.42602	0.0255323	-0.373769	0.0537767
23.0043	-7.30304	175.569	-8.37605	171.382	-0.430079	0.0333257	-0.376935	0.0571242
23.2042	-7.24502	175.046	-8.29367	170.95	-0.432637	0.0375018	-0.380081	0.060541
23.4042	-7.13533	174.643	-8.2117	170.514	-0.437857	0.0410595	-0.383209	0.0640305
23.6041	-7.11937	173.791	-8.13025	170.076	-0.438002	0.0476532	-0.386314	0.0675892
23.8041	-6.99354	173.303	-8.04923	169.635	-0.443966	0.0521275	-0.389398	0.0712206
24.004	-6.93706	172.481	-7.96872	169.192	-0.446063	0.058877	-0.392456	0.074921
24.204	-6.85608	172.088	-7.88866	168.746	-0.449823	0.0625127	-0.39549	0.0786939
24.4039	-6.77423	171.328	-7.80912	168.298	-0.453205	0.0691205	-0.398495	0.0825353
24.6039	-6.72966	170.622	-7.73003	167.848	-0.454647	0.0750833	-0.401473	0.0864491
24.8038	-6.59727	170.035	-7.65148	167.396	-0.460824	0.0809637	-0.404419	0.0904308
25.0038	-6.57251	169.384	-7.57338	166.941	-0.461186	0.0864454	-0.407334	0.0944843
25.2037	-6.50037	168.776	-7.49583	166.484	-0.464082	0.0920954	-0.410214	0.0986052
25.4037	-6.41633	167.707	-7.41874	166.025	-0.466776	0.101718	-0.413061	0.102797
25.6036	-6.36787	167.448	-7.3422	165.564	-0.468923	0.1044	-0.415869	0.107056
25.8036	-6.24082	166.26	-7.26614	165.101	-0.473532	0.115786	-0.41864	0.111384
26.0035	-6.20644	166.175	-7.19063	164.636	-0.475237	0.116952	-0.421371	0.115778
26.2035	-6.11593	164.99	-7.1156	164.169	-0.47767	0.128078	-0.42406	0.120242
26.4034	-6.08408	164.507	-7.04113	163.701	-0.478322	0.132591	-0.426706	0.124769
26.6034	-5.98649	163.54	-6.96715	163.231	-0.481395	0.142233	-0.429308	0.129365
26.8033	-5.92846	162.862	-6.89374	162.759	-0.482894	0.148911	-0.431863	0.134024
27.0033	-5.85394	162.636	-6.82082	162.285	-0.486459	0.152112	-0.434372	0.138749
27.2032	-5.8239	161.322	-6.74848	161.81	-0.484516	0.163791	-0.43683	0.143536
27.4032	-5.73082	161.012	-6.67663	161.333	-0.488834	0.168201	-0.439239	0.148388
27.6031	-5.65124	160.284	-6.60537	160.855	-0.491134	0.176011	-0.441594	0.1533
27.8031	-5.6491	159.617	-6.53461	160.376	-0.489175	0.181754	-0.443897	0.158275
28.003	-5.55373	159.082	-6.46443	159.895	-0.492836	0.188376	-0.446143	0.163308
28.203	-5.51448	157.895	-6.39476	159.413	-0.491041	0.199446	-0.448334	0.168403
28.4029	-5.43188	157.799	-6.32568	158.93	-0.495396	0.20218	-0.450466	0.173553
28.6029	-5.36731	156.439	-6.25712	158.445	-0.494118	0.215476	-0.45254	0.178763
28.8028	-5.34984	155.787	-6.18915	157.959	-0.492623	0.221531	-0.454552	0.184027
29.0028	-5.19439	155.058	-6.1217	157.472	-0.498608	0.231895	-0.456503	0.189348
29.2027	-5.27147	154.22	-6.05484	156.985	-0.490792	0.237043	-0.458389	0.19472
29.4027	-5.08094	153.754	-5.98851	156.496	-0.499687	0.246377	-0.460212	0.200148
29.6026	-5.17628	152.562	-5.92278	156.006	-0.489055	0.253918	-0.461967	0.205624
29.8026	-5.03792	152.045	-5.85757	155.515	-0.494559	0.262469	-0.463657	0.211153
30.0025	-5.01153	151.024	-5.79296	155.024	-0.491295	0.272063	-0.465277	0.216727
30.2025	-4.88476	150.779	-5.72889	154.531	-0.497335	0.278189	-0.466828	0.222352
30.4024	-4.85412	150.197	-5.66542	154.038	-0.496232	0.284225	-0.468308	0.22802
30.6024	-4.87614	148.782	-5.60248	153.545	-0.487824	0.295642	-0.469717	0.233735
30.8023	-4.68915	148.671	-5.54014	153.05	-0.497854	0.30304	-0.471052	0.23949
31.0023	-4.66022	147.872	-5.47835	152.555	-0.495226	0.310988	-0.472313	0.24529
31.2022	-4.67567	148.191	-5.41715	152.06	-0.496062	0.307685	-0.4735	0.251127
31.4022	-4.67099	145.986	-5.35649	151.564	-0.484122	0.326713	-0.474611	0.257005
31.6021	-4.63065	146.11	-5.29644	151.068	-0.487082	0.327183	-0.475644	0.262917
31.8021	-4.42653	144.335	-5.23693	150.571	-0.488053	0.350244	-0.476601	0.268867
32.002	-4.52606	145.21	-5.17802	150.074	-0.487724	0.338845	-0.477478	0.274848
32.202	-4.47083	142.809	-5.11966	149.577	-0.476115	0.361273	-0.478277	0.280864
32.4019	-4.36462	142.534	-5.0619	149.079	-0.480209	0.368031	-0.478996	0.286907
32.6019	-4.33714	141.91	-5.00468	148.581	-0.477683	0.374419	-0.479634	0.292982
32.8018	-4.26829	140.79	-4.94806	148.084	-0.474018	0.386736	-0.48019	0.299081
33.0018	-4.34047	140.328	-4.89199	147.586	-0.466989	0.387312	-0.480665	0.305208
33.2017	-4.11648	138.9	-4.83652	147.088	-0.469134	0.40925	-0.481057	0.311356
33.4017	-4.21835	138.561	-4.78159	146.59	-0.46126	0.407216	-0.481367	0.317528
33.6016	-4.01369	137.885	-4.72725	146.092	-0.46731	0.422464	-0.481593	0.323717
33.8016	-4.12713	136.791	-4.67346	145.594	-0.453195	0.42572	-0.481735	0.329928
34.0015	-3.93255	136.63	-4.62027	145.096	-0.462241	0.436661	-0.481793	0.336152
34.2015	-3.95992	134.701	-4.56762	144.598	-0.445875	0.450548	-0.481766	0.342393
34.4014	-3.79591	135.71	-4.51556	144.101	-0.462383	0.45107	-0.481655	0.348644
34.6014	-3.84357	134.26	-4.46404	143.604	-0.448357	0.460091	-0.481459	0.35491
34.8013	-3.88653	133.569	-4.41311	143.107	-0.440594	0.463166	-0.481178	0.361181
35.0013	-3.68798	132.21	-4.36271	142.611	-0.439412	0.484437	-0.480811	0.367463
35.2012	-3.6949	131.307	-4.31291	142.115	-0.431384	0.490906	-0.48036	0.373747
35.4012	-3.44093	132.53	-4.26363	141.619	-0.454866	0.495881	-0.479823	0.380039
35.6011	-3.8356	130.507	-4.21494	141.124	-0.417668	0.488897	-0.479201	0.386329
35.8011	-3.54373	129.773	-4.16678	140.63	-0.425423	0.511101	-0.478493	0.392622
36.001	-3.56701	127.708	-4.1192	140.136	-0.405638	0.524692	-0.477701	0.398911
36.201	-3.48268	127.892	-4.07215	139.642	-0.411299	0.52849	-0.476824	0.4052
36.4009	-3.44196	126.344	-4.02567	139.15	-0.398737	0.541943	-0.475862	0.411481
36.6009	-3.54	125.566	-3.97971	138.658	-0.386952	0.541163	-0.474816	0.417757
36.8008	-3.3759	124.513	-3.93432	138.167	-0.384131	0.558637	-0.473686	0.424023
37.0008	-3.42256	123.553	-3.88945	137.676	-0.372712	0.561966	-0.472472	0.430281
37.2007	-3.32339	123.168	-3.84514	137.186	-0.373164	0.57094	-0.471175	0.436523
37.4007	-3.29187	121.988	-3.80135	136.697	-0.362637	0.580608	-0.469795	0.442756
37.6006	-3.38791	121.391	-3.75811	136.209	-0.352642	0.577932	-0.468333	0.44897
37.8006	-3.13951	120.221	-3.71539	135.722	-0.350655	0.601984	-0.466788	0.45517
38.0005	-3.26293	119.858	-3.67321	135.236	-0.34194	0.595669	-0.465164	0.461348
38.2005	-3.07662	118.959	-3.63154	134.751	-0.339769	0.613987	-0.463457	0.467509
38.4004	-3.14241	118.064	-3.5904	134.267	-0.327647	0.614546	-0.461672	0.473646
38.6004	-3.09619	118.049	-3.54977	133.783	-0.329232	0.617912	-0.459806	0.479762
38.8003	-3.02575	115.728	-3.50968	133.301	-0.306413	0.635874	-0.457863	0.48585
39.0003	-3.09584	116.766	-3.47007	132.82	-0.315319	0.625158	-0.455842	0.491915
39.2002	-3.00338	113.475	-3.431	132.341	-0.281902	0.649098	-0.453744	0.49795
39.4002	-3.01578	114.257	-3.39241	131.862	-0.290313	0.644273	-0.451569	0.503958
39.6001	-3.008	112.759	-3.35434	131.384	-0.27362	0.652225	-0.44932	0.509932
39.8001	-2.96313	112.053	-3.31676	130.908	-0.266938	0.658942	-0.446995	0.515877
40	-2.9829	111.435	-3.27968	130.433	-0.259224	0.660279	-0.444598	0.521786
