Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
20.4049	-3.5954554	-144.89162	-4.1209965	-145.12943
20.6049	-3.5730994	-146.18655	-4.1011993	-146.40448
20.8048	-3.5675688	-147.29779	-4.0811004	-147.67156
21.0048	-3.587291	-148.39621	-4.0606906	-148.93183
21.2047	-3.5574865	-149.98689	-4.0400013	-150.18396
21.4047	-3.5676916	-150.98102	-4.0190231	-151.42911
21.6046	-3.4827943	-152.02328	-3.9977882	-152.66596
21.8046	-3.5994277	-153.25839	-3.9762867	-153.89569
22.0045	-3.4924855	-154.66466	-3.9545513	-155.11699
22.2045	-3.5588274	-155.82982	-3.9325718	-156.33102
22.4044	-3.4686217	-156.76543	-3.9103816	-157.53651
22.6044	-3.5477839	-158.32034	-3.8879698	-158.73462
22.8043	-3.4825966	-159.02765	-3.8653703	-159.92409
23.0043	-3.4670377	-160.58131	-3.8425716	-161.10607
23.2042	-3.4705522	-161.55156	-3.8196078	-162.27934
23.4042	-3.4399936	-162.70215	-3.7964671	-163.44504
23.6041	-3.4734688	-163.8524	-3.7731837	-164.60197
23.8041	-3.4271016	-164.89581	-3.7497453	-165.75125
24.004	-3.4410996	-166.18558	-3.7261861	-166.89171
24.204	-3.4315035	-167.16298	-3.7024931	-168.02448
24.4039	-3.414871	-168.46268	-3.6787007	-169.1484
24.6039	-3.431823	-169.62201	-3.6547954	-170.26459
24.8038	-3.3606205	-170.6568	-3.6308113	-171.37191
25.0038	-3.4089184	-171.75673	-3.6067344	-172.47148
25.2037	-3.3820376	-172.77853	-3.5825985	-173.56218
25.4037	-3.4028261	-174.40501	-3.5583894	-174.64511
25.6036	-3.3813481	-175.03127	-3.5341404	-175.7192
25.8036	-3.3400531	-176.66548	-3.5098367	-176.78551
26.0035	-3.3603995	-177.06949	-3.4855114	-177.843
26.2035	-3.3368416	-178.78627	-3.4611492	-178.89273
