Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
26.0035	-1.8931085	-168.03615	-1.7445732	-171.57144	-0.78669633	-0.16669875	-0.8091987	-0.11990429
26.2035	-1.9257936	-169.44215	-1.7467779	-172.65852	-0.78758048	-0.14679208	-0.81112198	-0.10450404
26.4034	-1.9530374	-170.59758	-1.7486568	-173.73772	-0.78790517	-0.13047105	-0.81277055	-0.089189126
26.6034	-1.9623553	-171.82857	-1.7502172	-174.81009	-0.78967867	-0.11339252	-0.81415112	-0.07394895
26.8033	-1.9919976	-172.96465	-1.7514634	-175.87454	-0.7890742	-0.097380345	-0.81526739	-0.058803276
27.0033	-2.0038717	-174.00748	-1.7524025	-176.9321	-0.7896356	-0.082889821	-0.8161256	-0.043741273
27.2032	-2.0521059	-175.39827	-1.7530394	-177.98169	-0.78703216	-0.063347021	-0.81673002	-0.028782128
27.4032	-2.0530498	-176.43593	-1.7533809	-179.02436	-0.78796464	-0.049078467	-0.81708641	-0.013914806
27.6031	-2.076792	-177.61868	-1.7534327	179.94096	-0.78665661	-0.032713762	-0.81719958	0.00084208691
27.8031	-2.1196351	-178.73067	-1.753201	178.91324	-0.7832703	-0.0173554	-0.81707481	0.015499762
28.003	-2.1237988	-179.83873	-1.7526922	177.89352	-0.78308398	-0.0022041464	-0.8167174	0.030040194
28.203	-2.1573997	178.86635	-1.7519122	176.88078	-0.77991092	0.015433273	-0.81613216	0.044474741
28.4029	-2.1550987	177.86925	-1.750868	175.87604	-0.77973079	0.029010474	-0.81532482	0.058785958
28.6029	-2.1838841	176.461	-1.7495649	174.87829	-0.77620567	0.048005118	-0.81429971	0.072985323
28.8028	-2.2154629	175.33925	-1.7480105	173.88853	-0.77230418	0.062962355	-0.81306298	0.087055968
29.0028	-2.2012191	174.08487	-1.7462096	172.90577	-0.77200573	0.079985077	-0.81161849	0.10100946
29.2027	-2.2793896	173.02658	-1.7441704	171.93097	-0.76349451	0.093385828	-0.80997273	0.11482951
29.4027	-2.2482555	171.85851	-1.7418972	170.96316	-0.76416637	0.10932161	-0.80812911	0.12852774
29.6026	-2.3328865	170.73137	-1.7393984	170.00329	-0.75448083	0.12312685	-0.80609446	0.14208844
29.8026	-2.3151271	169.62369	-1.7366781	169.05039	-0.75349866	0.13797087	-0.8038717	0.15552326
30.0025	-2.3475661	168.47372	-1.733745	168.10539	-0.74777997	0.15249477	-0.80146798	0.16881704
