Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
0.01	0.763067	-0.00806328	0.76	-6.17679e-05	38.1534	-0.403164	38	-0.00308839
0.20995	0.761097	-0.00232421	0.759963	-0.00129661	38.0548	-0.116211	37.9981	-0.0648304
0.4099	0.760002	-0.00514566	0.759859	-0.00253031	38.0001	-0.257283	37.9929	-0.126515
0.60985	0.759939	-0.00731546	0.759687	-0.00376179	37.9969	-0.365773	37.9844	-0.188089
0.8098	0.759851	-0.0107413	0.759449	-0.00498996	37.9925	-0.537063	37.9724	-0.249498
1.00975	0.759766	-0.0124202	0.759143	-0.00621375	37.9883	-0.621008	37.9571	-0.310687
1.2097	0.759752	-0.0157674	0.75877	-0.00743207	37.9876	-0.788369	37.9385	-0.371603
1.40965	0.758323	-0.0173016	0.75833	-0.00864384	37.9161	-0.865082	37.9165	-0.432192
1.6096	0.758423	-0.0200636	0.757824	-0.00984798	37.9211	-1.00318	37.8912	-0.492399
1.80955	0.756821	-0.0231162	0.757251	-0.0110434	37.8411	-1.15581	37.8625	-0.552171
2.0095	0.756074	-0.0253665	0.756611	-0.0122291	37.8037	-1.26832	37.8306	-0.611455
2.20945	0.755947	-0.0274365	0.755906	-0.0134039	37.7973	-1.37183	37.7953	-0.670197
2.4094	0.754347	-0.0304779	0.755134	-0.0145669	37.7174	-1.52389	37.7567	-0.728343
2.60935	0.753741	-0.0331575	0.754296	-0.0157168	37.6871	-1.65788	37.7148	-0.785841
2.8093	0.751955	-0.0354472	0.753392	-0.0168527	37.5977	-1.77236	37.6696	-0.842637
3.00925	0.751962	-0.03742	0.752423	-0.0179736	37.5981	-1.871	37.6212	-0.898679
3.2092	0.748964	-0.039544	0.751389	-0.0190783	37.4482	-1.9772	37.5695	-0.953915
3.40915	0.748641	-0.042161	0.750291	-0.0201658	37.4321	-2.10805	37.5145	-1.00829
3.6091	0.747291	-0.0447988	0.749127	-0.0212352	37.3645	-2.23994	37.4564	-1.06176
3.80905	0.745487	-0.0464369	0.7479	-0.0222852	37.2744	-2.32184	37.395	-1.11426
4.009	0.744041	-0.0497436	0.746609	-0.023315	37.202	-2.48718	37.3304	-1.16575
4.20895	0.74162	-0.0511505	0.745254	-0.0243235	37.081	-2.55752	37.2627	-1.21618
4.4089	0.740793	-0.0541922	0.743836	-0.0253097	37.0396	-2.70961	37.1918	-1.26548
4.60885	0.738345	-0.05547	0.742356	-0.0262726	36.9172	-2.7735	37.1178	-1.31363
4.8088	0.737363	-0.0586794	0.740813	-0.0272111	36.8681	-2.93397	37.0406	-1.36055
5.00875	0.734983	-0.0603131	0.739208	-0.0281243	36.7492	-3.01565	36.9604	-1.40622
5.2087	0.733276	-0.0620899	0.737542	-0.0290113	36.6638	-3.10449	36.8771	-1.45056
5.40865	0.730731	-0.0648741	0.735816	-0.0298709	36.5365	-3.24371	36.7908	-1.49355
5.6086	0.728848	-0.0663093	0.734028	-0.0307023	36.4424	-3.31547	36.7014	-1.53512
5.80855	0.72726	-0.0686328	0.732181	-0.0315045	36.363	-3.43164	36.6091	-1.57523
6.0085	0.723676	-0.0704157	0.730275	-0.0322766	36.1838	-3.52078	36.5138	-1.61383
6.20845	0.722614	-0.0722959	0.72831	-0.0330176	36.1307	-3.61479	36.4155	-1.65088
6.4084	0.719169	-0.0744278	0.726287	-0.0337265	35.9584	-3.72139	36.3143	-1.68633
6.60835	0.718552	-0.0756872	0.724206	-0.0344026	35.9276	-3.78436	36.2103	-1.72013
6.8083	0.714098	-0.0776639	0.722067	-0.0350448	35.7049	-3.8832	36.1034	-1.75224
7.00825	0.712211	-0.0792924	0.719873	-0.0356522	35.6105	-3.96462	35.9936	-1.78261
7.2082	0.709654	-0.0819281	0.717623	-0.036224	35.4827	-4.0964	35.8811	-1.8112
7.40815	0.706599	-0.0821835	0.715317	-0.0367594	35.3299	-4.10917	35.7659	-1.83797
7.6081	0.703961	-0.0837529	0.712957	-0.0372574	35.1981	-4.18765	35.6479	-1.86287
7.80805	0.699878	-0.0859876	0.710543	-0.0377171	34.9939	-4.29938	35.5272	-1.88586
8.008	0.698407	-0.0872675	0.708076	-0.0381379	34.9203	-4.36338	35.4038	-1.90689
8.20795	0.694195	-0.0890036	0.705557	-0.0385188	34.7098	-4.45018	35.2778	-1.92594
8.4079	0.69247	-0.089342	0.702986	-0.038859	34.6235	-4.4671	35.1493	-1.94295
8.60785	0.687856	-0.0916812	0.700363	-0.0391578	34.3928	-4.58406	35.0182	-1.95789
8.8078	0.685488	-0.0918678	0.697691	-0.0394144	34.2744	-4.59339	34.8846	-1.97072
9.00775	0.682217	-0.0945664	0.694969	-0.0396279	34.1108	-4.72832	34.7485	-1.9814
9.2077	0.679318	-0.0944817	0.692199	-0.0397977	33.9659	-4.72408	34.6099	-1.98989
9.40765	0.675315	-0.0956645	0.68938	-0.039923	33.7658	-4.78323	34.469	-1.99615
9.6076	0.672258	-0.0970858	0.686515	-0.0400032	33.6129	-4.85429	34.3257	-2.00016
9.80755	0.668505	-0.096859	0.683603	-0.0400374	33.4253	-4.84295	34.1802	-2.00187
10.0075	0.665886	-0.0989919	0.680646	-0.0400251	33.2943	-4.94959	34.0323	-2.00125
10.2075	0.661643	-0.0970862	0.677644	-0.0399654	33.0822	-4.85431	33.8822	-1.99827
10.4074	0.658322	-0.0999116	0.674599	-0.039858	32.9161	-4.99558	33.73	-1.9929
10.6074	0.653676	-0.0992673	0.67151	-0.0397019	32.6838	-4.96336	33.5755	-1.98509
10.8073	0.651139	-0.101471	0.66838	-0.0394967	32.5569	-5.07354	33.419	-1.97484
11.0073	0.646772	-0.100726	0.665208	-0.0392417	32.3386	-5.03631	33.2604	-1.96209
11.2072	0.643495	-0.100441	0.661998	-0.0389365	32.1748	-5.02204	33.0999	-1.94682
11.4072	0.638955	-0.1011	0.658746	-0.0385802	31.9478	-5.05498	32.9373	-1.92901
11.6071	0.6338	-0.101505	0.655458	-0.0381727	31.69	-5.07524	32.7729	-1.90863
11.8071	0.632199	-0.102765	0.65213	-0.037713	31.61	-5.13827	32.6065	-1.88565
12.007	0.62499	-0.101139	0.648768	-0.0372011	31.2495	-5.05695	32.4384	-1.86005
12.207	0.624886	-0.102505	0.645369	-0.0366359	31.2443	-5.12527	32.2684	-1.8318
12.4069	0.616439	-0.101938	0.641936	-0.0360176	30.8219	-5.09689	32.0968	-1.80088
12.6069	0.617625	-0.102895	0.638469	-0.0353451	30.8812	-5.14473	31.9234	-1.76726
12.8068	0.609555	-0.100068	0.63497	-0.0346187	30.4778	-5.00342	31.7485	-1.73093
13.0068	0.60717	-0.100577	0.631438	-0.0338372	30.3585	-5.02887	31.5719	-1.69186
13.2067	0.60209	-0.0993018	0.627877	-0.0330009	30.1045	-4.96509	31.3939	-1.65005
13.4067	0.598255	-0.0994685	0.624285	-0.0321088	29.9127	-4.97342	31.2142	-1.60544
13.6066	0.595502	-0.0976688	0.620665	-0.0311614	29.7751	-4.88344	31.0333	-1.55807
13.8066	0.589082	-0.0975306	0.617017	-0.0301573	29.4541	-4.87653	30.8508	-1.50786
14.0065	0.587526	-0.0955766	0.613343	-0.0290973	29.3763	-4.77883	30.6671	-1.45486
14.2065	0.580333	-0.0959585	0.609642	-0.02798	29.0166	-4.79793	30.4821	-1.399
14.4064	0.578818	-0.094239	0.605917	-0.0268063	28.9409	-4.71195	30.2959	-1.34031
14.6064	0.573338	-0.0937029	0.602168	-0.0255747	28.6669	-4.68514	30.1084	-1.27874
14.8063	0.570195	-0.0903663	0.598397	-0.0242863	28.5098	-4.51831	29.9199	-1.21432
15.0063	0.564104	-0.0904972	0.594603	-0.0229396	28.2052	-4.52486	29.7302	-1.14698
15.2062	0.55936	-0.0884163	0.590791	-0.0215358	27.968	-4.42082	29.5395	-1.07679
15.4062	0.55637	-0.0874226	0.586956	-0.0200732	27.8185	-4.37113	29.3478	-1.00366
15.6061	0.551997	-0.0853726	0.583105	-0.0185533	27.5999	-4.26863	29.1553	-0.927664
15.8061	0.547687	-0.0828547	0.579235	-0.0169743	27.3844	-4.14274	28.9617	-0.848714
16.006	0.54221	-0.0822679	0.57535	-0.0153378	27.1105	-4.1134	28.7675	-0.766888
16.206	0.539582	-0.0794215	0.571447	-0.013642	26.9791	-3.97107	28.5724	-0.682098
16.4059	0.533222	-0.078613	0.567532	-0.0118885	26.6611	-3.93065	28.3766	-0.594426
16.6059	0.530898	-0.0761843	0.563601	-0.0100757	26.5449	-3.80922	28.1801	-0.503785
16.8058	0.526368	-0.0737718	0.55966	-0.00820525	26.3184	-3.68859	27.983	-0.410263
17.0058	0.521203	-0.0708442	0.555705	-0.00627533	26.0602	-3.54221	27.7853	-0.313766
17.2057	0.516967	-0.0694528	0.551742	-0.00428789	25.8484	-3.47264	27.5871	-0.214394
17.4057	0.512408	-0.0682358	0.547767	-0.00224098	25.6204	-3.41179	27.3884	-0.112049
17.6056	0.509994	-0.0636592	0.543786	-0.000136731	25.4997	-3.18296	27.1893	-0.00683654
17.8056	0.504084	-0.0620887	0.539795	0.00202689	25.2042	-3.10444	26.9897	0.101344
18.0055	0.500193	-0.0588123	0.535799	0.00424761	25.0096	-2.94062	26.79	0.21238
