Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	0.76	-6.89307e-05	38	-0.00344653	-0.136364	-4.45059e-05	-17.306	-179.981
0.0222241	0.76	-0.000153192	38	-0.00765959	-0.136364	-9.89101e-05	-17.306	-179.958
0.0344481	0.759999	-0.000237453	38	-0.0118726	-0.136364	-0.000153314	-17.306	-179.936
0.0466722	0.759998	-0.000321713	37.9999	-0.0160856	-0.136365	-0.000207718	-17.3059	-179.913
0.0588963	0.759997	-0.000405971	37.9999	-0.0202986	-0.136365	-0.000262121	-17.3059	-179.89
0.0711204	0.759996	-0.000490229	37.9998	-0.0245115	-0.136366	-0.000316523	-17.3058	-179.867
0.0833444	0.759994	-0.000574485	37.9997	-0.0287243	-0.136367	-0.000370925	-17.3058	-179.844
0.0955685	0.759992	-0.00065874	37.9996	-0.032937	-0.136368	-0.000425326	-17.3057	-179.821
0.107793	0.75999	-0.000742992	37.9995	-0.0371496	-0.13637	-0.000479726	-17.3056	-179.798
0.120017	0.759988	-0.000827242	37.9994	-0.0413621	-0.136371	-0.000534125	-17.3055	-179.776
0.132241	0.759985	-0.000911489	37.9993	-0.0455744	-0.136373	-0.000588523	-17.3054	-179.753
0.144465	0.759982	-0.000995733	37.9991	-0.0497867	-0.136375	-0.000642919	-17.3052	-179.73
0.156689	0.759979	-0.00107997	37.999	-0.0539987	-0.136377	-0.000697314	-17.3051	-179.707
0.168913	0.759976	-0.00116421	37.9988	-0.0582106	-0.136379	-0.000751707	-17.3049	-179.684
0.181137	0.759972	-0.00124845	37.9986	-0.0624223	-0.136381	-0.000806098	-17.3048	-179.661
0.193361	0.759969	-0.00133268	37.9984	-0.0666338	-0.136383	-0.000860488	-17.3046	-179.639
0.205585	0.759964	-0.0014169	37.9982	-0.0708451	-0.136386	-0.000914875	-17.3044	-179.616
0.217809	0.75996	-0.00150112	37.998	-0.0750562	-0.136389	-0.000969261	-17.3042	-179.593
0.230033	0.759955	-0.00158534	37.9978	-0.0792671	-0.136391	-0.00102364	-17.304	-179.57
0.242257	0.759951	-0.00166955	37.9975	-0.0834777	-0.136394	-0.00107803	-17.3038	-179.547
0.254481	0.759946	-0.00175376	37.9973	-0.087688	-0.136398	-0.0011324	-17.3036	-179.524
0.266706	0.75994	-0.00183796	37.997	-0.091898	-0.136401	-0.00118678	-17.3033	-179.502
0.27893	0.759935	-0.00192216	37.9967	-0.0961078	-0.136405	-0.00124115	-17.3031	-179.479
0.291154	0.759929	-0.00200635	37.9964	-0.100317	-0.136408	-0.00129552	-17.3028	-179.456
0.303378	0.759923	-0.00209053	37.9961	-0.104526	-0.136412	-0.00134989	-17.3025	-179.433
0.315602	0.759916	-0.0021747	37.9958	-0.108735	-0.136416	-0.00140425	-17.3022	-179.41
0.327826	0.75991	-0.00225887	37.9955	-0.112944	-0.13642	-0.00145861	-17.3019	-179.387
0.34005	0.759903	-0.00234304	37.9951	-0.117152	-0.136424	-0.00151297	-17.3016	-179.365
0.352274	0.759896	-0.00242719	37.9948	-0.12136	-0.136429	-0.00156733	-17.3013	-179.342
0.364498	0.759888	-0.00251134	37.9944	-0.125567	-0.136433	-0.00162168	-17.301	-179.319
0.376722	0.759881	-0.00259548	37.994	-0.129774	-0.136438	-0.00167602	-17.3006	-179.296
0.388946	0.759873	-0.00267961	37.9936	-0.13398	-0.136443	-0.00173037	-17.3003	-179.273
0.40117	0.759865	-0.00276373	37.9932	-0.138187	-0.136448	-0.0017847	-17.2999	-179.251
0.413394	0.759856	-0.00284785	37.9928	-0.142392	-0.136453	-0.00183904	-17.2995	-179.228
0.425619	0.759848	-0.00293195	37.9924	-0.146598	-0.136459	-0.00189337	-17.2991	-179.205
0.437843	0.759839	-0.00301605	37.9919	-0.150802	-0.136464	-0.00194769	-17.2987	-179.182
0.450067	0.75983	-0.00310013	37.9915	-0.155007	-0.13647	-0.00200202	-17.2983	-179.16
0.462291	0.75982	-0.00318421	37.991	-0.15921	-0.136476	-0.00205633	-17.2979	-179.137
0.474515	0.759811	-0.00326828	37.9905	-0.163414	-0.136482	-0.00211065	-17.2975	-179.114
0.486739	0.759801	-0.00335233	37.99	-0.167617	-0.136488	-0.00216495	-17.297	-179.091
0.498963	0.759791	-0.00343638	37.9895	-0.171819	-0.136495	-0.00221925	-17.2965	-179.069
0.511187	0.75978	-0.00352041	37.989	-0.176021	-0.136501	-0.00227355	-17.2961	-179.046
0.523411	0.75977	-0.00360444	37.9885	-0.180222	-0.136508	-0.00232784	-17.2956	-179.023
0.535635	0.759759	-0.00368845	37.9879	-0.184422	-0.136514	-0.00238213	-17.2951	-179
0.547859	0.759748	-0.00377245	37.9874	-0.188622	-0.136521	-0.00243641	-17.2946	-178.978
0.560083	0.759736	-0.00385644	37.9868	-0.192822	-0.136529	-0.00249069	-17.2941	-178.955
0.572307	0.759725	-0.00394041	37.9862	-0.197021	-0.136536	-0.00254496	-17.2936	-178.932
0.584532	0.759713	-0.00402438	37.9856	-0.201219	-0.136543	-0.00259922	-17.293	-178.909
0.596756	0.759701	-0.00410833	37.985	-0.205416	-0.136551	-0.00265348	-17.2925	-178.887
0.60898	0.759688	-0.00419227	37.9844	-0.209613	-0.136559	-0.00270773	-17.2919	-178.864
0.621204	0.759675	-0.00427619	37.9838	-0.21381	-0.136566	-0.00276197	-17.2913	-178.841
0.633428	0.759663	-0.0043601	37.9831	-0.218005	-0.136575	-0.00281621	-17.2908	-178.819
0.645652	0.759649	-0.004444	37.9825	-0.2222	-0.136583	-0.00287044	-17.2902	-178.796
0.657876	0.759636	-0.00452789	37.9818	-0.226394	-0.136591	-0.00292467	-17.2896	-178.773
0.6701	0.759622	-0.00461176	37.9811	-0.230588	-0.1366	-0.00297889	-17.2889	-178.751
0.682324	0.759609	-0.00469561	37.9804	-0.234781	-0.136608	-0.0030331	-17.2883	-178.728
0.694548	0.759594	-0.00477945	37.9797	-0.238973	-0.136617	-0.00308731	-17.2877	-178.705
