Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
13.6066	0.0694774	-1.00684	0.0970725	-1.01439	3.47387	-50.3422	4.85363	-50.7193
13.8066	0.0689591	-0.982094	0.0970705	-0.990838	3.44795	-49.1047	4.85353	-49.5419
14.0065	0.0702294	-0.958684	0.0970686	-0.967847	3.51147	-47.9342	4.85343	-48.3924
14.2065	0.0695152	-0.933954	0.0970665	-0.945367	3.47576	-46.6977	4.85333	-47.2683
14.4064	0.0698309	-0.916421	0.0970645	-0.923397	3.49154	-45.821	4.85322	-46.1699
14.6064	0.0700126	-0.893732	0.0970624	-0.901897	3.50063	-44.6866	4.85312	-45.0948
14.8063	0.0714133	-0.874839	0.0970603	-0.880867	3.57067	-43.742	4.85301	-44.0434
15.0063	0.0715046	-0.853037	0.0970581	-0.860269	3.57523	-42.6518	4.85291	-43.0134
15.2062	0.0721075	-0.833843	0.097056	-0.840105	3.60537	-41.6922	4.8528	-42.0052
15.4062	0.0713246	-0.814817	0.0970538	-0.820339	3.56623	-40.7408	4.85269	-41.0169
15.6061	0.0727496	-0.795786	0.0970515	-0.800975	3.63748	-39.7893	4.85258	-40.0487
15.8061	0.0729766	-0.777586	0.0970493	-0.781978	3.64883	-38.8793	4.85246	-39.0989
16.006	0.0732288	-0.758861	0.097047	-0.763354	3.66144	-37.943	4.85235	-38.1677
16.206	0.0741312	-0.741893	0.0970447	-0.745071	3.70656	-37.0946	4.85223	-37.2535
16.4059	0.0733946	-0.723942	0.0970423	-0.727133	3.66973	-36.1971	4.85212	-36.3567
16.6059	0.0750953	-0.707756	0.09704	-0.709512	3.75477	-35.3878	4.852	-35.4756
16.8058	0.0751852	-0.69074	0.0970376	-0.692212	3.75926	-34.537	4.85188	-34.6106
17.0058	0.0755086	-0.673015	0.0970352	-0.675206	3.77543	-33.6508	4.85176	-33.7603
17.2057	0.0757581	-0.657828	0.0970327	-0.658499	3.7879	-32.8914	4.85163	-32.925
17.4057	0.0757559	-0.641285	0.0970302	-0.642066	3.78779	-32.0642	4.85151	-32.1033
17.6056	0.0776697	-0.626306	0.0970277	-0.625913	3.88348	-31.3153	4.85139	-31.2956
17.8056	0.0777756	-0.609458	0.0970252	-0.610015	3.88878	-30.4729	4.85126	-30.5007
18.0055	0.0790998	-0.595053	0.0970226	-0.594378	3.95499	-29.7526	4.85113	-29.7189
18.2055	0.0787217	-0.579979	0.09702	-0.57898	3.93609	-28.999	4.851	-28.949
18.4054	0.0803111	-0.565364	0.0970174	-0.563826	4.01556	-28.2682	4.85087	-28.1913
18.6054	0.0803032	-0.550658	0.0970147	-0.548895	4.01516	-27.5329	4.85074	-27.4448
18.8053	0.0807614	-0.535217	0.097012	-0.534195	4.03807	-26.7609	4.8506	-26.7097
19.0053	0.0817904	-0.522501	0.0970093	-0.519702	4.08952	-26.125	4.85047	-25.9851
19.2052	0.0820893	-0.507228	0.0970066	-0.505426	4.10446	-25.3614	4.85033	-25.2713
19.4052	0.0834908	-0.493547	0.0970038	-0.491344	4.17454	-24.6773	4.85019	-24.5672
19.6051	0.0830853	-0.480261	0.097001	-0.477467	4.15427	-24.013	4.85005	-23.8733
19.8051	0.0842973	-0.465784	0.0969982	-0.463772	4.21487	-23.2892	4.84991	-23.1886
20.005	0.0836658	-0.45318	0.0969953	-0.450269	4.18329	-22.659	4.84977	-22.5134
20.205	0.0861007	-0.439353	0.0969924	-0.436938	4.30503	-21.9677	4.84962	-21.8469
20.4049	0.0860512	-0.426448	0.0969895	-0.423788	4.30256	-21.3224	4.84948	-21.1894
20.6049	0.0863402	-0.41347	0.0969866	-0.410799	4.31701	-20.6735	4.84933	-20.54
20.8048	0.0869844	-0.40046	0.0969836	-0.397982	4.34922	-20.023	4.84918	-19.8991
21.0048	0.088013	-0.388675	0.0969806	-0.385317	4.40065	-19.4337	4.84903	-19.2658
21.2047	0.0894965	-0.37443	0.0969776	-0.372813	4.47482	-18.7215	4.84888	-18.6406
21.4047	0.090091	-0.362971	0.0969745	-0.360453	4.50455	-18.1485	4.84873	-18.0226
21.6046	0.0897669	-0.350114	0.0969715	-0.348246	4.48835	-17.5057	4.84857	-17.4123
21.8046	0.0924963	-0.338519	0.0969684	-0.336174	4.62481	-16.9259	4.84842	-16.8087
22.0045	0.0920578	-0.324863	0.0969652	-0.324247	4.60289	-16.2431	4.84826	-16.2124
22.2045	0.0937694	-0.313923	0.096962	-0.312449	4.68847	-15.6961	4.8481	-15.6224
22.4044	0.0929058	-0.301496	0.0969588	-0.300787	4.64529	-15.0748	4.84794	-15.0394
22.6044	0.0956878	-0.289689	0.0969556	-0.289247	4.78439	-14.4844	4.84778	-14.4624
22.8043	0.0953791	-0.278701	0.0969524	-0.277837	4.76895	-13.935	4.84762	-13.8919
23.0043	0.0963701	-0.266473	0.0969491	-0.266543	4.81851	-13.3236	4.84745	-13.3271
23.2042	0.0974835	-0.254913	0.0969458	-0.255371	4.87417	-12.7456	4.84729	-12.7686
23.4042	0.0974455	-0.244009	0.0969424	-0.244309	4.87228	-12.2005	4.84712	-12.2155
23.6041	0.0996917	-0.232426	0.0969391	-0.233364	4.98459	-11.6213	4.84695	-11.6682
23.8041	0.0998402	-0.22168	0.0969357	-0.222523	4.99201	-11.084	4.84678	-11.1261
24.004	0.100989	-0.21026	0.0969322	-0.211793	5.04944	-10.513	4.84661	-10.5897
24.204	0.101252	-0.199574	0.0969288	-0.201162	5.06259	-9.97871	4.84644	-10.0581
24.4039	0.103014	-0.188055	0.0969253	-0.190637	5.15071	-9.40277	4.84627	-9.53186
24.6039	0.103635	-0.177	0.0969218	-0.180206	5.18175	-8.84999	4.84609	-9.01029
24.8038	0.104015	-0.16624	0.0969183	-0.169876	5.20075	-8.31201	4.84591	-8.49379
25.0038	0.105189	-0.15635	0.0969147	-0.159635	5.25947	-7.81751	4.84574	-7.98173
25.2037	0.106445	-0.145082	0.0969111	-0.14949	5.32226	-7.2541	4.84556	-7.47451
25.4037	0.107678	-0.133495	0.0969075	-0.13943	5.38389	-6.67474	4.84537	-6.97151
25.6036	0.108313	-0.124146	0.0969038	-0.129463	5.41567	-6.20732	4.84519	-6.47314
25.8036	0.10939	-0.112132	0.0969002	-0.119576	5.46948	-5.6066	4.84501	-5.97879
26.0035	0.109724	-0.103537	0.0968964	-0.109777	5.48622	-5.17686	4.84482	-5.48886
26.2035	0.111337	-0.0912605	0.0968927	-0.100055	5.56683	-4.56302	4.84464	-5.00277
26.4034	0.112702	-0.0811986	0.0968889	-0.0904179	5.63511	-4.05993	4.84445	-4.5209
26.6034	0.113051	-0.070522	0.0968852	-0.0808536	5.65254	-3.5261	4.84426	-4.04268
26.8033	0.114594	-0.060668	0.0968813	-0.0713701	5.72972	-3.0334	4.84407	-3.56851
27.0033	0.115154	-0.0516501	0.0968775	-0.0619564	5.75768	-2.58251	4.84387	-3.09782
27.2032	0.117769	-0.0396229	0.0968736	-0.0526202	5.88847	-1.98114	4.84368	-2.63101
27.4032	0.117748	-0.0306815	0.0968697	-0.0433506	5.88741	-1.53407	4.84349	-2.16753
27.6031	0.119034	-0.0204896	0.0968658	-0.0341553	5.95171	-1.02448	4.84329	-1.70776
27.8031	0.121429	-0.0109141	0.0968618	-0.0250235	6.07144	-0.545707	4.84309	-1.25117
28.003	0.12165	-0.00138652	0.0968578	-0.015963	6.08252	-0.069326	4.84289	-0.798149
28.203	0.123567	0.00974224	0.0968538	-0.00696325	6.17836	0.487112	4.84269	-0.348162
28.4029	0.123467	0.0183131	0.0968497	0.0019681	6.17335	0.915653	4.84249	0.0984049
28.6029	0.125174	0.0304098	0.0968457	0.0108413	6.25869	1.52049	4.84228	0.542066
28.8028	0.127052	0.0400393	0.0968416	0.0196489	6.3526	2.00197	4.84208	0.982444
29.0028	0.12637	0.0508423	0.0968374	0.0284008	6.31848	2.54211	4.84187	1.42004
29.2027	0.13094	0.0598889	0.0968333	0.0370896	6.54702	2.99445	4.84166	1.85448
29.4027	0.129343	0.069983	0.0968291	0.0457252	6.46716	3.49915	4.84145	2.28626
29.6026	0.134352	0.0796071	0.0968249	0.0543001	6.71758	3.98036	4.84124	2.715
29.8026	0.133559	0.089192	0.0968206	0.062824	6.67795	4.4596	4.84103	3.1412
30.0025	0.135663	0.0990873	0.0968164	0.0712894	6.78317	4.95436	4.84082	3.56447
30.2025	0.13549	0.106999	0.0968121	0.0797061	6.77452	5.34995	4.8406	3.9853
30.4024	0.136946	0.116364	0.0968077	0.0880665	6.84728	5.81821	4.84039	4.40332
30.6024	0.140293	0.128892	0.0968034	0.09638	7.01464	6.44458	4.84017	4.819
30.8023	0.1383	0.135708	0.096799	0.104639	6.91502	6.78541	4.83995	5.23197
31.0023	0.141125	0.145711	0.0967946	0.112854	7.05627	7.28555	4.83973	5.64269
31.2022	0.143125	0.149133	0.0967901	0.121016	7.15626	7.45665	4.83951	6.0508
31.4022	0.146857	0.164661	0.0967857	0.129135	7.34285	8.23305	4.83928	6.45676
31.6021	0.146855	0.170513	0.0967812	0.137204	7.34277	8.52564	4.83906	6.8602
31.8021	0.145529	0.186005	0.0967766	0.145231	7.27647	9.30023	4.83883	7.26157
32.002	0.148615	0.186917	0.0967721	0.15321	7.43076	9.34583	4.8386	7.66051
32.202	0.151037	0.203599	0.0967675	0.161149	7.55183	10.1799	4.83837	8.05746
32.4019	0.150935	0.212142	0.0967629	0.169041	7.54674	10.6071	4.83814	8.45206
32.6019	0.152568	0.220515	0.0967582	0.176895	7.62838	11.0258	4.83791	8.84476
32.8018	0.153441	0.231555	0.0967536	0.184704	7.67204	11.5778	4.83768	9.2352
33.0018	0.15876	0.239145	0.0967489	0.192476	7.93802	11.9572	4.83744	9.62379
33.2017	0.155014	0.25173	0.0967442	0.200204	7.75071	12.5865	4.83721	10.0102
33.4017	0.160171	0.259448	0.0967394	0.207897	8.00856	12.9724	4.83697	10.3948
33.6016	0.156156	0.269166	0.0967346	0.215547	7.80781	13.4583	4.83673	10.7774
33.8016	0.162967	0.279227	0.0967298	0.223164	8.14835	13.9614	4.83649	11.1582
34.0015	0.158159	0.286316	0.096725	0.23074	7.90797	14.3158	4.83625	11.537
34.2015	0.160647	0.300596	0.0967201	0.238283	8.03236	15.0298	4.83601	11.9141
34.4014	0.158558	0.30492	0.0967152	0.245786	7.92788	15.246	4.83576	12.2893
34.6014	0.164038	0.315656	0.0967103	0.253258	8.20188	15.7828	4.83552	12.6629
34.8013	0.167035	0.324134	0.0967054	0.260692	8.35177	16.2067	4.83527	13.0346
35.0013	0.16431	0.337929	0.0967004	0.268095	8.2155	16.8964	4.83502	13.4047
35.2012	0.166169	0.347386	0.0966954	0.275461	8.30847	17.3693	4.83477	13.7731
35.4012	0.1605	0.349236	0.0966904	0.282798	8.025	17.4618	4.83452	14.1399
35.6011	0.174841	0.361998	0.0966853	0.290099	8.74203	18.0999	4.83426	14.505
35.8011	0.167383	0.373376	0.0966802	0.297372	8.36914	18.6688	4.83401	14.8686
36.001	0.172865	0.391801	0.0966751	0.30461	8.64324	19.5901	4.83375	15.2305
36.201	0.171585	0.396009	0.0966699	0.311821	8.57927	19.8004	4.8335	15.5911
36.4009	0.174223	0.410866	0.0966648	0.318998	8.71116	20.5433	4.83324	15.9499
36.6009	0.181068	0.420012	0.0966596	0.326149	9.05339	21.0006	4.83298	16.3075
36.8008	0.178677	0.432512	0.0966543	0.333267	8.93386	21.6256	4.83272	16.6634
37.0008	0.183355	0.444266	0.0966491	0.34036	9.16773	22.2133	4.83245	17.018
37.2007	0.18279	0.451516	0.0966438	0.347421	9.13952	22.5758	4.83219	17.3711
37.4007	0.184907	0.465627	0.0966385	0.354458	9.24537	23.2814	4.83192	17.7229
37.6006	0.190205	0.470708	0.0966332	0.361464	9.51026	23.5354	4.83166	18.0732
37.8006	0.184676	0.486094	0.0966278	0.368446	9.23379	24.3047	4.83139	18.4223
38.0005	0.191112	0.493609	0.0966224	0.375399	9.55559	24.6805	4.83112	18.7699
38.2005	0.188683	0.504698	0.096617	0.382329	9.43416	25.2349	4.83085	19.1164
38.4004	0.193647	0.514617	0.0966115	0.389229	9.68233	25.7308	4.83058	19.4615
38.6004	0.194084	0.51985	0.096606	0.396108	9.70421	25.9925	4.8303	19.8054
38.8003	0.197175	0.539903	0.0966005	0.402958	9.85874	26.9951	4.83003	20.1479
39.0003	0.19489	0.540407	0.096595	0.409788	9.7445	27.0203	4.82975	20.4894
39.2002	0.198631	0.566044	0.0965895	0.416589	9.93155	28.3022	4.82947	20.8295
39.4002	0.202632	0.56851	0.0965839	0.423371	10.1316	28.4255	4.82919	21.1685
39.6001	0.206843	0.583364	0.0965782	0.430125	10.3422	29.1682	4.82891	21.5063
39.8001	0.207334	0.594956	0.0965726	0.43686	10.3667	29.7478	4.82863	21.843
40	0.211553	0.60437	0.0965669	0.443568	10.5776	30.2185	4.82835	22.1784
