Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.626165	1.19773	-0.0396589	59.8865	-1.98295	0.0902665	-0.0164165	-20.7481	-10.3076
0.636609	1.19765	-0.040317	59.8827	-2.01585	0.0902449	-0.0166899	-20.7455	-10.4779
0.647052	1.19758	-0.0409749	59.8788	-2.04874	0.0902229	-0.0169632	-20.7428	-10.6481
0.657496	1.1975	-0.0416326	59.8749	-2.08163	0.0902006	-0.0172366	-20.74	-10.8183
0.667939	1.19742	-0.0422901	59.8709	-2.11451	0.0901779	-0.0175099	-20.7373	-10.9884
0.678383	1.19734	-0.0429475	59.8668	-2.14738	0.0901549	-0.0177832	-20.7344	-11.1584
0.688826	1.19725	-0.0436047	59.8627	-2.18023	0.0901315	-0.0180564	-20.7316	-11.3283
0.69927	1.19717	-0.0442617	59.8585	-2.21308	0.0901078	-0.0183297	-20.7287	-11.4982
0.709713	1.19709	-0.0449185	59.8543	-2.24593	0.0900837	-0.0186029	-20.7257	-11.6679
0.720157	1.197	-0.0455752	59.85	-2.27876	0.0900592	-0.0188761	-20.7227	-11.8376
0.7306	1.19691	-0.0462316	59.8456	-2.31158	0.0900344	-0.0191492	-20.7197	-12.0072
0.741044	1.19682	-0.0468879	59.8412	-2.34439	0.0900092	-0.0194224	-20.7166	-12.1767
0.751487	1.19673	-0.0475439	59.8367	-2.3772	0.0899837	-0.0196955	-20.7135	-12.3461
0.761931	1.19664	-0.0481998	59.8321	-2.40999	0.0899578	-0.0199686	-20.7103	-12.5154
0.772374	1.19655	-0.0488554	59.8275	-2.44277	0.0899315	-0.0202416	-20.7071	-12.6847
0.782818	1.19646	-0.0495109	59.8228	-2.47554	0.0899049	-0.0205147	-20.7039	-12.8538
0.793261	1.19636	-0.0501661	59.8181	-2.50831	0.089878	-0.0207877	-20.7006	-13.0228
0.803705	1.19627	-0.0508212	59.8133	-2.54106	0.0898507	-0.0210607	-20.6973	-13.1918
0.814148	1.19617	-0.051476	59.8084	-2.5738	0.089823	-0.0213336	-20.6939	-13.3606
0.824592	1.19607	-0.0521306	59.8035	-2.60653	0.089795	-0.0216066	-20.6905	-13.5294
0.835035	1.19597	-0.052785	59.7985	-2.63925	0.0897666	-0.0218795	-20.6871	-13.698
0.845478	1.19587	-0.0534392	59.7934	-2.67196	0.0897378	-0.0221524	-20.6836	-13.8666
0.855922	1.19577	-0.0540931	59.7883	-2.70466	0.0897087	-0.0224252	-20.6801	-14.0351
0.866365	1.19566	-0.0547469	59.7831	-2.73734	0.0896793	-0.022698	-20.6765	-14.2034
0.876809	1.19556	-0.0554004	59.7779	-2.77002	0.0896495	-0.0229708	-20.6729	-14.3717
0.887252	1.19545	-0.0560537	59.7726	-2.80268	0.0896193	-0.0232436	-20.6692	-14.5398
0.897696	1.19534	-0.0567067	59.7672	-2.83534	0.0895888	-0.0235163	-20.6656	-14.7079
0.908139	1.19524	-0.0573595	59.7618	-2.86798	0.0895579	-0.023789	-20.6618	-14.8758
0.918583	1.19513	-0.0580121	59.7563	-2.9006	0.0895266	-0.0240617	-20.6581	-15.0436
0.929026	1.19502	-0.0586644	59.7508	-2.93322	0.089495	-0.0243343	-20.6542	-15.2114
0.93947	1.1949	-0.0593165	59.7452	-2.96582	0.0894631	-0.0246069	-20.6504	-15.379
0.949913	1.19479	-0.0599683	59.7395	-2.99842	0.0894308	-0.0248795	-20.6465	-15.5465
0.960357	1.19468	-0.0606199	59.7338	-3.031	0.0893981	-0.0251521	-20.6426	-15.7139
0.9708	1.19456	-0.0612713	59.728	-3.06356	0.0893651	-0.0254246	-20.6386	-15.8812
0.981244	1.19444	-0.0619223	59.7221	-3.09612	0.0893317	-0.0256971	-20.6346	-16.0484
0.991687	1.19432	-0.0625732	59.7162	-3.12866	0.089298	-0.0259695	-20.6306	-16.2154
