Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	0.76	-6.89307e-05	38	-0.00344653	-0.136364	-4.45059e-05	-17.306	-179.981
0.20995	0.759963	-0.00144698	37.9981	-0.0723488	-0.136387	-0.000934295	-17.3043	-179.608
0.4099	0.759859	-0.0028238	37.9929	-0.14119	-0.136452	-0.00182351	-17.2996	-179.234
0.60985	0.759687	-0.00419824	37.9844	-0.209912	-0.136559	-0.00271159	-17.2919	-178.862
0.8098	0.759449	-0.00556914	37.9724	-0.278457	-0.136708	-0.003598	-17.2811	-178.492
1.00975	0.759143	-0.00693534	37.9572	-0.346767	-0.1369	-0.00448217	-17.2673	-178.125
1.2097	0.75877	-0.00829568	37.9385	-0.414784	-0.137133	-0.00536357	-17.2505	-177.76
1.40965	0.758331	-0.009649	37.9165	-0.48245	-0.137408	-0.00624163	-17.2308	-177.399
1.6096	0.757825	-0.0109942	37.8912	-0.549708	-0.137725	-0.0071158	-17.2082	-177.042
1.80955	0.757252	-0.01233	37.8626	-0.6165	-0.138084	-0.00798553	-17.1826	-176.69
2.0095	0.756613	-0.0136554	37.8307	-0.68277	-0.138486	-0.00885026	-17.1542	-176.343
2.20945	0.755909	-0.0149692	37.7954	-0.748461	-0.138929	-0.00970943	-17.123	-176.002
2.4094	0.755138	-0.0162703	37.7569	-0.813515	-0.139414	-0.0105625	-17.089	-175.667
2.60935	0.754302	-0.0175575	37.7151	-0.877877	-0.139941	-0.0114088	-17.0524	-175.339
2.8093	0.7534	-0.0188298	37.67	-0.941491	-0.140509	-0.012248	-17.013	-175.018
3.00925	0.752434	-0.020086	37.6217	-1.0043	-0.14112	-0.0130793	-16.9711	-174.705
3.2092	0.751403	-0.021325	37.5701	-1.06625	-0.141773	-0.0139022	-16.9266	-174.399
3.40915	0.750307	-0.0225458	37.5154	-1.12729	-0.142467	-0.0147162	-16.8796	-174.103
3.6091	0.749148	-0.0237472	37.4574	-1.18736	-0.143203	-0.0155206	-16.8302	-173.814
3.80905	0.747926	-0.0249281	37.3963	-1.2464	-0.143981	-0.0163149	-16.7785	-173.535
4.009	0.74664	-0.0260875	37.332	-1.30438	-0.1448	-0.0170985	-16.7245	-173.265
4.20895	0.745292	-0.0272244	37.2646	-1.36122	-0.145661	-0.0178709	-16.6682	-173.005
4.4089	0.743882	-0.0283376	37.1941	-1.41688	-0.146564	-0.0186314	-16.6099	-172.755
4.60885	0.742411	-0.0294262	37.1205	-1.47131	-0.147508	-0.0193794	-16.5494	-172.515
4.8088	0.740878	-0.0304892	37.0439	-1.52446	-0.148493	-0.0201143	-16.4869	-172.286
5.00875	0.739285	-0.0315254	36.9642	-1.57627	-0.14952	-0.0208357	-16.4225	-172.067
5.2087	0.737631	-0.032534	36.8816	-1.6267	-0.150589	-0.0215427	-16.3562	-171.859
5.40865	0.735919	-0.0335139	36.7959	-1.6757	-0.151699	-0.0222349	-16.2881	-171.661
5.6086	0.734147	-0.0344642	36.7074	-1.72321	-0.152849	-0.0229115	-16.2182	-171.475
5.80855	0.732317	-0.0353838	36.6159	-1.76919	-0.154041	-0.0235721	-16.1467	-171.3
6.0085	0.73043	-0.036272	36.5215	-1.8136	-0.155275	-0.024216	-16.0736	-171.136
6.20845	0.728486	-0.0371276	36.4243	-1.85638	-0.156549	-0.0248425	-15.999	-170.983
6.4084	0.726485	-0.0379499	36.3243	-1.89749	-0.157864	-0.025451	-15.9229	-170.841
6.60835	0.724429	-0.0387379	36.2214	-1.93689	-0.159219	-0.0260409	-15.8454	-170.711
6.8083	0.722318	-0.0394907	36.1159	-1.97453	-0.160616	-0.0266115	-15.7666	-170.592
7.00825	0.720153	-0.0402075	36.0076	-2.01037	-0.162053	-0.0271622	-15.6865	-170.485
7.2082	0.717934	-0.0408874	35.8967	-2.04437	-0.16353	-0.0276924	-15.6053	-170.389
7.40815	0.715662	-0.0415296	35.7831	-2.07648	-0.165048	-0.0282013	-15.5228	-170.304
7.6081	0.713339	-0.0421333	35.667	-2.10666	-0.166606	-0.0286884	-15.4393	-170.23
7.80805	0.710965	-0.0426976	35.5482	-2.13488	-0.168204	-0.0291529	-15.3547	-170.167
8.008	0.70854	-0.0432219	35.427	-2.16109	-0.169842	-0.0295941	-15.2692	-170.116
8.20795	0.706065	-0.0437053	35.3033	-2.18526	-0.171519	-0.0300115	-15.1828	-170.075
8.4079	0.703542	-0.0441471	35.1771	-2.20735	-0.173237	-0.0304043	-15.0954	-170.046
8.60785	0.700971	-0.0445465	35.0485	-2.22733	-0.174993	-0.0307718	-15.0073	-170.027
8.8078	0.698352	-0.044903	34.9176	-2.24515	-0.176789	-0.0311133	-14.9184	-170.019
9.00775	0.695688	-0.0452157	34.7844	-2.26078	-0.178624	-0.0314281	-14.8288	-170.021
9.2077	0.692978	-0.045484	34.6489	-2.2742	-0.180498	-0.0317156	-14.7385	-170.034
9.40765	0.690224	-0.0457073	34.5112	-2.28537	-0.182411	-0.031975	-14.6476	-170.058
9.6076	0.687426	-0.045885	34.3713	-2.29425	-0.184362	-0.0322055	-14.556	-170.091
9.80755	0.684585	-0.0460164	34.2293	-2.30082	-0.186351	-0.0324066	-14.464	-170.135
10.0075	0.681703	-0.046101	34.0851	-2.30505	-0.188378	-0.0325774	-14.3714	-170.189
10.2075	0.678779	-0.0461382	33.9389	-2.30691	-0.190443	-0.0327172	-14.2784	-170.252
10.4074	0.675816	-0.0461275	33.7908	-2.30637	-0.192545	-0.0328252	-14.1849	-170.325
10.6074	0.672813	-0.0460682	33.6407	-2.30341	-0.194685	-0.0329009	-14.0911	-170.408
10.8073	0.669774	-0.04596	33.4887	-2.298	-0.19686	-0.0329432	-13.9969	-170.5
11.0073	0.666695	-0.0458024	33.3348	-2.29012	-0.199074	-0.0329517	-13.9023	-170.601
11.2072	0.663582	-0.0455949	33.1791	-2.27974	-0.201322	-0.0329254	-13.8075	-170.712
11.4072	0.660433	-0.0453369	33.0216	-2.26685	-0.203608	-0.0328637	-13.7124	-170.831
11.6071	0.65725	-0.0450284	32.8625	-2.25142	-0.205928	-0.0327657	-13.6171	-170.959
11.8071	0.654033	-0.0446685	32.7017	-2.23342	-0.208284	-0.0326307	-13.5216	-171.096
12.007	0.650785	-0.0442573	32.5393	-2.21286	-0.210675	-0.032458	-13.4259	-171.241
12.207	0.647504	-0.0437939	32.3752	-2.1897	-0.2131	-0.0322466	-13.33	-171.395
12.4069	0.644194	-0.0432787	32.2097	-2.16393	-0.215559	-0.0319961	-13.234	-171.557
12.6069	0.640854	-0.0427106	32.0427	-2.13553	-0.218053	-0.0317053	-13.1379	-171.727
12.8068	0.637486	-0.04209	31.8743	-2.1045	-0.220578	-0.0313738	-13.0418	-171.905
13.0068	0.634089	-0.041416	31.7045	-2.0708	-0.223137	-0.0310004	-12.9455	-172.091
13.2067	0.630668	-0.040689	31.5334	-2.03445	-0.225728	-0.0305848	-12.8493	-172.284
13.4067	0.62722	-0.0399082	31.361	-1.99541	-0.228352	-0.0301258	-12.753	-172.485
13.6066	0.623748	-0.0390739	31.1874	-1.9537	-0.231005	-0.029623	-12.6567	-172.693
13.8066	0.620252	-0.0381854	31.0126	-1.90927	-0.233691	-0.0290751	-12.5605	-172.908
14.0065	0.616734	-0.0372431	30.8367	-1.86216	-0.236405	-0.0284819	-12.4643	-173.13
14.2065	0.613194	-0.0362462	30.6597	-1.81231	-0.239151	-0.027842	-12.3681	-173.36
14.4064	0.609635	-0.0351954	30.4817	-1.75977	-0.241924	-0.0271552	-12.272	-173.596
14.6064	0.606054	-0.0340896	30.3027	-1.70448	-0.244727	-0.0264202	-12.176	-173.838
14.8063	0.602456	-0.0329298	30.1228	-1.64649	-0.247557	-0.0256368	-12.0802	-174.088
15.0063	0.59884	-0.0317148	29.942	-1.58574	-0.250415	-0.0248034	-11.9844	-174.343
15.2062	0.595208	-0.0304459	29.7604	-1.52229	-0.253299	-0.0239202	-11.8888	-174.605
15.4062	0.591558	-0.0291216	29.5779	-1.45608	-0.256209	-0.0229855	-11.7933	-174.874
15.6061	0.587896	-0.0277433	29.3948	-1.38716	-0.259144	-0.0219994	-11.698	-175.148
15.8061	0.584218	-0.0263097	29.2109	-1.31548	-0.262104	-0.0209602	-11.6028	-175.428
16.006	0.58053	-0.0248222	29.0265	-1.24111	-0.265087	-0.0198681	-11.5079	-175.714
16.206	0.576827	-0.0232793	28.8413	-1.16397	-0.268094	-0.0187214	-11.4131	-176.005
16.4059	0.573115	-0.0216828	28.6558	-1.08414	-0.271121	-0.0175203	-11.3186	-176.303
16.6059	0.569392	-0.0200311	28.4696	-1.00155	-0.274172	-0.016263	-11.2243	-176.605
16.8058	0.565661	-0.0183259	28.283	-0.916296	-0.277241	-0.01495	-11.1302	-176.913
17.0058	0.56192	-0.0165657	28.096	-0.828286	-0.280332	-0.0135792	-11.0364	-177.227
17.2057	0.558173	-0.0147524	27.9087	-0.737621	-0.283439	-0.0121513	-10.9428	-177.545
17.4057	0.554419	-0.0128843	27.7209	-0.644217	-0.286566	-0.0106642	-10.8495	-177.869
17.6056	0.55066	-0.0109635	27.533	-0.548177	-0.289709	-0.00911855	-10.7565	-178.197
17.8056	0.546895	-0.00898828	27.3448	-0.449414	-0.292869	-0.00751225	-10.6637	-178.531
18.0055	0.543128	-0.00696075	27.1564	-0.348038	-0.296042	-0.00584619	-10.5712	-178.869
18.2055	0.539357	-0.00487916	26.9678	-0.243958	-0.299231	-0.00411805	-10.479	-179.212
18.4054	0.535585	-0.00274581	26.7792	-0.13729	-0.302431	-0.0023289	-10.3872	-179.559
18.6054	0.53181	-0.000558831	26.5905	-0.0279416	-0.305645	-0.000476323	-10.2956	-179.911
18.8053	0.528036	0.00167932	26.4018	0.0839658	-0.308868	0.00143845	-10.2044	179.733
19.0053	0.524261	0.00397059	26.2131	0.19853	-0.312102	0.00341793	-10.1135	179.373
19.2052	0.520489	0.0063124	26.0245	0.31562	-0.315344	0.00546073	-10.023	179.008
19.4052	0.516717	0.00870678	25.8359	0.435339	-0.318594	0.00756945	-9.9328	178.639
19.6051	0.51295	0.011151	25.6475	0.55755	-0.321849	0.00974253	-9.84298	178.266
