Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
7.56	0.0971185	-2.20314	4.85593	-110.157	0.637764	-0.72741	-0.287851	-48.757
7.57	0.0971185	-2.19978	4.85592	-109.989	0.636879	-0.728078	-0.288578	-48.8225
7.58	0.0971184	-2.19643	4.85592	-109.822	0.635992	-0.728745	-0.289307	-48.8881
7.59	0.0971184	-2.19309	4.85592	-109.655	0.635105	-0.729411	-0.290036	-48.9536
7.6	0.0971183	-2.18976	4.85591	-109.488	0.634217	-0.730075	-0.290766	-49.0192
7.61	0.0971182	-2.18644	4.85591	-109.322	0.633328	-0.730739	-0.291496	-49.0847
7.62	0.0971182	-2.18313	4.85591	-109.156	0.632438	-0.731402	-0.292228	-49.1503
7.63	0.0971181	-2.17982	4.85591	-108.991	0.631547	-0.732063	-0.29296	-49.2158
7.64	0.0971181	-2.17652	4.8559	-108.826	0.630656	-0.732723	-0.293693	-49.2814
7.65	0.097118	-2.17323	4.8559	-108.661	0.629764	-0.733382	-0.294427	-49.3469
7.66	0.097118	-2.16995	4.8559	-108.497	0.628871	-0.73404	-0.295161	-49.4125
7.67	0.0971179	-2.16667	4.8559	-108.334	0.627978	-0.734697	-0.295897	-49.478
7.68	0.0971179	-2.1634	4.85589	-108.17	0.627083	-0.735353	-0.296633	-49.5436
7.69	0.0971178	-2.16015	4.85589	-108.007	0.626188	-0.736008	-0.297369	-49.6092
7.7	0.0971177	-2.15689	4.85589	-107.845	0.625292	-0.736662	-0.298107	-49.6748
7.71	0.0971177	-2.15365	4.85588	-107.683	0.624396	-0.737314	-0.298845	-49.7403
7.72	0.0971176	-2.15042	4.85588	-107.521	0.623498	-0.737966	-0.299584	-49.8059
7.73	0.0971176	-2.14719	4.85588	-107.359	0.6226	-0.738616	-0.300324	-49.8715
7.74	0.0971175	-2.14397	4.85588	-107.198	0.621701	-0.739265	-0.301065	-49.9371
7.75	0.0971175	-2.14076	4.85587	-107.038	0.620801	-0.739913	-0.301806	-50.0027
7.76	0.0971174	-2.13755	4.85587	-106.878	0.619901	-0.74056	-0.302548	-50.0683
7.77	0.0971174	-2.13436	4.85587	-106.718	0.619	-0.741206	-0.303291	-50.1339
7.78	0.0971173	-2.13117	4.85587	-106.558	0.618098	-0.741851	-0.304035	-50.1995
7.79	0.0971172	-2.12799	4.85586	-106.399	0.617195	-0.742495	-0.304779	-50.2651
7.8	0.0971172	-2.12481	4.85586	-106.241	0.616291	-0.743137	-0.305524	-50.3307
7.81	0.0971171	-2.12165	4.85586	-106.082	0.615387	-0.743779	-0.30627	-50.3963
7.82	0.0971171	-2.11849	4.85585	-105.924	0.614482	-0.744419	-0.307017	-50.462
7.83	0.097117	-2.11534	4.85585	-105.767	0.613576	-0.745058	-0.307764	-50.5276
7.84	0.097117	-2.11219	4.85585	-105.61	0.61267	-0.745696	-0.308512	-50.5932
7.85	0.0971169	-2.10906	4.85585	-105.453	0.611762	-0.746333	-0.309261	-50.6588
7.86	0.0971169	-2.10593	4.85584	-105.296	0.610854	-0.746969	-0.310011	-50.7245
7.87	0.0971168	-2.10281	4.85584	-105.14	0.609946	-0.747604	-0.310761	-50.7901
7.88	0.0971167	-2.09969	4.85584	-104.985	0.609036	-0.748237	-0.311512	-50.8557
