Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
19.2311	0.0970062	-0.503588	4.85031	-25.1794	-0.505818	-0.691256	-1.34489	-126.194
19.2412	0.0970061	-0.502879	4.8503	-25.1439	-0.506556	-0.690621	-1.34566	-126.259
19.2512	0.0970059	-0.50217	4.8503	-25.1085	-0.507294	-0.689985	-1.34644	-126.324
19.2612	0.0970058	-0.501462	4.85029	-25.0731	-0.508031	-0.689349	-1.3472	-126.389
19.2712	0.0970057	-0.500754	4.85028	-25.0377	-0.508766	-0.688711	-1.34797	-126.454
19.2813	0.0970055	-0.500046	4.85028	-25.0023	-0.509501	-0.688074	-1.34874	-126.519
19.2913	0.0970054	-0.499339	4.85027	-24.967	-0.510236	-0.687435	-1.34951	-126.584
19.3013	0.0970052	-0.498633	4.85026	-24.9317	-0.510969	-0.686796	-1.35028	-126.649
19.3114	0.0970051	-0.497927	4.85026	-24.8964	-0.511701	-0.686156	-1.35104	-126.714
19.3214	0.097005	-0.497222	4.85025	-24.8611	-0.512433	-0.685516	-1.35181	-126.779
19.3314	0.0970048	-0.496517	4.85024	-24.8258	-0.513164	-0.684875	-1.35257	-126.844
19.3414	0.0970047	-0.495813	4.85023	-24.7906	-0.513894	-0.684234	-1.35333	-126.908
19.3515	0.0970046	-0.495109	4.85023	-24.7554	-0.514623	-0.683591	-1.3541	-126.973
19.3615	0.0970044	-0.494405	4.85022	-24.7203	-0.515351	-0.682949	-1.35486	-127.038
19.3715	0.0970043	-0.493702	4.85021	-24.6851	-0.516078	-0.682305	-1.35562	-127.103
19.3815	0.0970041	-0.493	4.85021	-24.65	-0.516805	-0.681661	-1.35638	-127.168
19.3916	0.097004	-0.492298	4.8502	-24.6149	-0.51753	-0.681016	-1.35714	-127.233
19.4016	0.0970039	-0.491597	4.85019	-24.5798	-0.518255	-0.680371	-1.3579	-127.297
19.4116	0.0970037	-0.490896	4.85019	-24.5448	-0.518979	-0.679725	-1.35866	-127.362
19.4216	0.0970036	-0.490196	4.85018	-24.5098	-0.519702	-0.679078	-1.35941	-127.427
19.4317	0.0970034	-0.489496	4.85017	-24.4748	-0.520425	-0.678431	-1.36017	-127.492
19.4417	0.0970033	-0.488796	4.85016	-24.4398	-0.521146	-0.677783	-1.36093	-127.557
19.4517	0.0970032	-0.488097	4.85016	-24.4049	-0.521867	-0.677135	-1.36168	-127.621
19.4618	0.097003	-0.487399	4.85015	-24.3699	-0.522586	-0.676486	-1.36244	-127.686
19.4718	0.0970029	-0.486701	4.85014	-24.335	-0.523305	-0.675836	-1.36319	-127.751
19.4818	0.0970027	-0.486003	4.85014	-24.3002	-0.524023	-0.675186	-1.36394	-127.816
19.4918	0.0970026	-0.485306	4.85013	-24.2653	-0.52474	-0.674535	-1.36469	-127.88
19.5019	0.0970025	-0.48461	4.85012	-24.2305	-0.525456	-0.673883	-1.36545	-127.945
19.5119	0.0970023	-0.483914	4.85012	-24.1957	-0.526172	-0.673231	-1.3662	-128.01
19.5219	0.0970022	-0.483218	4.85011	-24.1609	-0.526886	-0.672578	-1.36695	-128.075
19.5319	0.097002	-0.482523	4.8501	-24.1262	-0.5276	-0.671925	-1.36769	-128.139
