Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
27.4032	0.308522	0.0923037	15.4261	4.61518	-0.520875	0.107283	-5.4849	168.362
27.6031	0.305363	0.0988324	15.2682	4.94162	-0.523408	0.115341	-5.41726	167.573
27.8031	0.302255	0.105366	15.1127	5.2683	-0.525809	0.123454	-5.35039	166.787
28.003	0.299198	0.111897	14.9599	5.59487	-0.528076	0.13161	-5.28436	166.006
28.203	0.29619	0.118433	14.8095	5.92163	-0.530209	0.139815	-5.2191	165.228
28.4029	0.293232	0.124965	14.6616	6.24825	-0.532207	0.148057	-5.15465	164.454
28.6029	0.29032	0.1315	14.516	6.57501	-0.53407	0.156341	-5.09097	163.683
28.8028	0.287458	0.138032	14.3729	6.90158	-0.535796	0.164656	-5.0281	162.917
29.0028	0.284641	0.144565	14.2321	7.22826	-0.537386	0.173007	-4.96597	162.154
29.2027	0.281872	0.151094	14.0936	7.55471	-0.538839	0.181383	-4.90465	161.396
29.4027	0.279146	0.157625	13.9573	7.88123	-0.540156	0.189788	-4.84407	160.641
29.6026	0.276467	0.16415	13.8233	8.20749	-0.541336	0.198211	-4.78428	159.89
29.8026	0.27383	0.170676	13.6915	8.53379	-0.542379	0.206658	-4.72522	159.142
30.0025	0.271238	0.177196	13.5619	8.85979	-0.543285	0.215116	-4.66694	158.399
30.2025	0.268687	0.183716	13.4344	9.18581	-0.544055	0.223592	-4.60938	157.659
30.4024	0.26618	0.19023	13.309	9.51149	-0.544688	0.232073	-4.55259	156.923
30.6024	0.263713	0.196743	13.1856	9.83716	-0.545185	0.240565	-4.49651	156.19
30.8023	0.261288	0.20325	13.0644	10.1625	-0.545547	0.249056	-4.44119	155.462
31.0023	0.258901	0.209755	12.9451	10.4878	-0.545774	0.257553	-4.38657	154.737
31.2022	0.256556	0.216253	12.8278	10.8127	-0.545866	0.266043	-4.33269	154.016
31.4022	0.254249	0.22275	12.7124	11.1375	-0.545824	0.274532	-4.27951	153.299
31.6021	0.251981	0.229238	12.599	11.4619	-0.54565	0.283009	-4.22706	152.586
31.8021	0.249749	0.235725	12.4875	11.7863	-0.545343	0.29148	-4.17529	151.876
32.002	0.247556	0.242204	12.3778	12.1102	-0.544904	0.299932	-4.12424	151.17
32.202	0.245399	0.248681	12.27	12.434	-0.544335	0.308372	-4.07386	150.468
32.4019	0.243279	0.255148	12.164	12.7574	-0.543637	0.316789	-4.02418	149.77
32.6019	0.241194	0.261614	12.0597	13.0807	-0.542811	0.325187	-3.97517	149.075
32.8018	0.239144	0.26807	11.9572	13.4035	-0.541857	0.333557	-3.92685	148.384
33.0018	0.237128	0.274524	11.8564	13.7262	-0.540777	0.341905	-3.87917	147.697
33.2017	0.235148	0.280968	11.7574	14.0484	-0.539573	0.350218	-3.83219	147.014
33.4017	0.2332	0.287409	11.66	14.3705	-0.538245	0.358503	-3.78583	146.334
33.6016	0.231286	0.293841	11.5643	14.6921	-0.536795	0.36675	-3.74014	145.658
33.8016	0.229403	0.30027	11.4702	15.0135	-0.535225	0.374964	-3.69508	144.986
34.0015	0.227554	0.306688	11.3777	15.3344	-0.533536	0.383134	-3.65068	144.318
34.2015	0.225735	0.313104	11.2868	15.6552	-0.531728	0.391267	-3.60688	143.653
34.4014	0.223948	0.319509	11.1974	15.9754	-0.529806	0.399352	-3.56373	142.992
