Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	3.99998	-0.00850563	199.999	-0.425281	0.6	-0.000680454	-4.43698	-0.0649786
0.0187763	3.99993	-0.0159702	199.997	-0.798509	0.599999	-0.00127764	-4.43698	-0.122005
0.0275525	3.99985	-0.0234344	199.993	-1.17172	0.599997	-0.00187482	-4.43698	-0.179032
0.0363288	3.99974	-0.030898	199.987	-1.5449	0.599995	-0.002472	-4.43698	-0.236059
0.045105	3.9996	-0.0383609	199.98	-1.91804	0.599992	-0.00306918	-4.43698	-0.293086
0.0538813	3.99943	-0.0458228	199.972	-2.29114	0.599988	-0.00366635	-4.43698	-0.350113
0.0626576	3.99923	-0.0532837	199.962	-2.66419	0.599984	-0.00426352	-4.43699	-0.40714
0.0714338	3.999	-0.0607433	199.95	-3.03717	0.599979	-0.00486069	-4.43699	-0.464167
0.0802101	3.99874	-0.0682015	199.937	-3.41008	0.599974	-0.00545785	-4.43699	-0.521194
0.0889863	3.99845	-0.0756581	199.923	-3.7829	0.599968	-0.006055	-4.437	-0.578222
0.0977626	3.99813	-0.0831129	199.907	-4.15564	0.599961	-0.00665215	-4.437	-0.635249
0.106539	3.99778	-0.0905657	199.889	-4.52828	0.599954	-0.0072493	-4.43701	-0.692276
0.115315	3.9974	-0.0980163	199.87	-4.90082	0.599946	-0.00784643	-4.43701	-0.749304
0.124091	3.997	-0.105465	199.85	-5.27323	0.599938	-0.00844356	-4.43702	-0.806331
0.132868	3.99656	-0.11291	199.828	-5.64552	0.599929	-0.00904068	-4.43702	-0.863359
0.141644	3.99609	-0.120354	199.804	-6.01768	0.599919	-0.00963779	-4.43703	-0.920386
0.15042	3.99559	-0.127794	199.779	-6.3897	0.599908	-0.0102349	-4.43704	-0.977414
0.159196	3.99506	-0.135231	199.753	-6.76156	0.599897	-0.010832	-4.43704	-1.03444
0.167973	3.9945	-0.142665	199.725	-7.13326	0.599886	-0.0114291	-4.43705	-1.09147
0.176749	3.99391	-0.150096	199.695	-7.5048	0.599874	-0.0120261	-4.43706	-1.1485
0.185525	3.99329	-0.157523	199.664	-7.87616	0.599861	-0.0126232	-4.43707	-1.20553
0.194301	3.99264	-0.164947	199.632	-8.24733	0.599847	-0.0132202	-4.43708	-1.26256
0.203078	3.99196	-0.172366	199.598	-8.6183	0.599833	-0.0138173	-4.43709	-1.31958
0.211854	3.99125	-0.179782	199.563	-8.98908	0.599818	-0.0144143	-4.4371	-1.37661
0.22063	3.99052	-0.187193	199.526	-9.35964	0.599803	-0.0150113	-4.43711	-1.43364
0.229406	3.98975	-0.1946	199.487	-9.72998	0.599787	-0.0156083	-4.43712	-1.49067
0.238183	3.98895	-0.202002	199.448	-10.1001	0.59977	-0.0162052	-4.43713	-1.5477
0.246959	3.98813	-0.209399	199.406	-10.47	0.599753	-0.0168022	-4.43714	-1.60473
0.255735	3.98727	-0.216792	199.363	-10.8396	0.599735	-0.0173991	-4.43715	-1.66176
0.264512	3.98638	-0.224179	199.319	-11.209	0.599717	-0.017996	-4.43717	-1.71879
0.273288	3.98547	-0.231561	199.273	-11.5781	0.599698	-0.0185929	-4.43718	-1.77582
0.282064	3.98452	-0.238938	199.226	-11.9469	0.599678	-0.0191898	-4.43719	-1.83285
0.29084	3.98355	-0.246309	199.178	-12.3154	0.599658	-0.0197867	-4.43721	-1.88988
0.299617	3.98255	-0.253674	199.127	-12.6837	0.599637	-0.0203835	-4.43722	-1.94691
0.308393	3.98151	-0.261033	199.076	-13.0517	0.599615	-0.0209803	-4.43724	-2.00394
0.317169	3.98045	-0.268386	199.023	-13.4193	0.599593	-0.0215771	-4.43725	-2.06097
0.325945	3.97936	-0.275733	198.968	-13.7867	0.59957	-0.0221739	-4.43727	-2.11801
0.334722	3.97824	-0.283074	198.912	-14.1537	0.599547	-0.0227707	-4.43728	-2.17504
0.343498	3.97709	-0.290407	198.855	-14.5204	0.599522	-0.0233674	-4.4373	-2.23207
0.352274	3.97591	-0.297734	198.796	-14.8867	0.599498	-0.0239641	-4.43732	-2.2891
0.36105	3.97471	-0.305054	198.735	-15.2527	0.599472	-0.0245608	-4.43733	-2.34613
0.369827	3.97347	-0.312367	198.674	-15.6184	0.599446	-0.0251574	-4.43735	-2.40317
0.378603	3.97221	-0.319673	198.61	-15.9836	0.59942	-0.0257541	-4.43737	-2.4602
0.387379	3.97091	-0.326971	198.546	-16.3485	0.599393	-0.0263507	-4.43739	-2.51723
0.396155	3.96959	-0.334261	198.479	-16.7131	0.599365	-0.0269473	-4.43741	-2.57427
0.404932	3.96824	-0.341544	198.412	-17.0772	0.599336	-0.0275438	-4.43742	-2.6313
0.413708	3.96686	-0.348819	198.343	-17.4409	0.599307	-0.0281404	-4.43744	-2.68834
0.422484	3.96545	-0.356085	198.272	-17.8043	0.599278	-0.0287368	-4.43746	-2.74537
0.43126	3.96401	-0.363344	198.201	-18.1672	0.599247	-0.0293333	-4.43749	-2.80241
0.440037	3.96255	-0.370594	198.127	-18.5297	0.599216	-0.0299298	-4.43751	-2.85944
0.448813	3.96105	-0.377835	198.053	-18.8917	0.599185	-0.0305262	-4.43753	-2.91648
0.457589	3.95953	-0.385067	197.977	-19.2534	0.599153	-0.0311225	-4.43755	-2.97351
0.466365	3.95798	-0.392291	197.899	-19.6145	0.59912	-0.0317189	-4.43757	-3.03055
0.475142	3.9564	-0.399505	197.82	-19.9753	0.599086	-0.0323152	-4.43759	-3.08759
0.483918	3.9548	-0.406711	197.74	-20.3355	0.599052	-0.0329115	-4.43762	-3.14463
0.492694	3.95316	-0.413906	197.658	-20.6953	0.599018	-0.0335077	-4.43764	-3.20166
0.50147	3.9515	-0.421093	197.575	-21.0546	0.598982	-0.0341039	-4.43766	-3.2587
