Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
0.01	4.11086	0.0763363	3.99998	-0.00848175	205.543	3.81681	199.999	-0.424088
0.20995	4.15611	-0.222972	3.99141	-0.177672	207.805	-11.1486	199.571	-8.88359
0.4099	4.1047	-0.452491	3.96746	-0.344685	205.235	-22.6245	198.373	-17.2342
0.60985	4.04454	-0.670628	3.92869	-0.507533	202.227	-33.5314	196.435	-25.3766
0.8098	3.95608	-0.87892	3.876	-0.664389	197.804	-43.946	193.8	-33.2195
1.00975	3.84947	-1.05027	3.81055	-0.813648	192.474	-52.5134	190.527	-40.6824
1.2097	3.73054	-1.22201	3.73372	-0.953971	186.527	-61.1007	186.686	-47.6986
1.40965	3.60764	-1.36946	3.64704	-1.08431	180.382	-68.4731	182.352	-54.2157
1.6096	3.4549	-1.50555	3.55212	-1.20393	172.745	-75.2774	177.606	-60.1966
1.80955	3.30685	-1.61898	3.45057	-1.31238	165.342	-80.949	172.529	-65.6189
2.0095	3.15694	-1.7094	3.34399	-1.40947	157.847	-85.4702	167.2	-70.4736
2.20945	3.00296	-1.78283	3.23386	-1.49528	150.148	-89.1413	161.693	-74.7638
2.4094	2.86491	-1.82922	3.12156	-1.57005	143.245	-91.4612	156.078	-78.5026
2.60935	2.72944	-1.8876	3.00831	-1.63423	136.472	-94.3801	150.415	-81.7115
2.8093	2.58905	-1.91106	2.89519	-1.68836	129.452	-95.5532	144.76	-84.418
3.00925	2.46125	-1.94321	2.78313	-1.73308	123.063	-97.1606	139.156	-86.6538
3.2092	2.33168	-1.94859	2.67288	-1.76907	116.584	-97.4294	133.644	-88.4536
3.40915	2.21702	-1.96344	2.56508	-1.79706	110.851	-98.1722	128.254	-89.8532
3.6091	2.09049	-1.96413	2.46021	-1.81778	104.525	-98.2066	123.01	-90.889
3.80905	1.98374	-1.9466	2.35864	-1.83193	99.1872	-97.3301	117.932	-91.5964
4.009	1.87814	-1.93955	2.26064	-1.84019	93.9069	-96.9775	113.032	-92.0095
4.20895	1.78553	-1.91912	2.16639	-1.84322	89.2766	-95.9558	108.319	-92.1608
4.4089	1.69293	-1.90172	2.076	-1.84161	84.6466	-95.0859	103.8	-92.0805
4.60885	1.60935	-1.87125	1.9895	-1.83594	80.4675	-93.5623	99.4751	-91.7969
4.8088	1.53109	-1.85432	1.9069	-1.82671	76.5545	-92.7161	95.3448	-91.3356
5.00875	1.45755	-1.82626	1.82813	-1.8144	72.8773	-91.313	91.4066	-90.7199
5.2087	1.38932	-1.79933	1.75313	-1.79942	69.4662	-89.9667	87.6565	-89.9712
5.40865	1.31981	-1.76724	1.68179	-1.78217	65.9906	-88.3619	84.0894	-89.1084
5.6086	1.25872	-1.73679	1.61399	-1.76297	62.9361	-86.8397	80.6993	-88.1485
5.80855	1.20129	-1.70969	1.54959	-1.74213	60.0643	-85.4845	77.4795	-87.1066
6.0085	1.1501	-1.67091	1.48846	-1.71992	57.5049	-83.5456	74.423	-85.9962
6.20845	1.09985	-1.64312	1.43045	-1.69658	54.9926	-82.1559	71.5226	-84.829
6.4084	1.05002	-1.60654	1.37542	-1.67231	52.5008	-80.3269	68.7708	-83.6156
6.60835	1.00891	-1.58251	1.32321	-1.6473	50.4456	-79.1254	66.1605	-82.3651
6.8083	0.965492	-1.54376	1.27369	-1.62171	48.2746	-77.1882	63.6844	-81.0854
7.00825	0.928915	-1.5159	1.22671	-1.59567	46.4458	-75.7952	61.3354	-79.7835
7.2082	0.890364	-1.48653	1.18213	-1.56931	44.5182	-74.3266	59.1067	-78.4656
7.40815	0.8556	-1.45259	1.13984	-1.54274	42.78	-72.6294	56.9919	-77.1369
7.6081	0.823837	-1.42369	1.09969	-1.51604	41.1918	-71.1844	54.9845	-75.8018
7.80805	0.794203	-1.39183	1.06157	-1.48929	39.7102	-69.5915	53.0785	-74.4645
8.008	0.767073	-1.36568	1.02537	-1.46256	38.3536	-68.2842	51.2684	-73.1282
