Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
0.83	-0.13	-0.00314747
1.33	-0.2	-0.00901481
2	-0.26	-0.0211625
2.5	-0.66	-0.0334495
3.08	-0.65	-0.0511867
3.58	-0.42	-0.0695146
4.08	-0.59	-0.0906912
4.58	-0.49	-0.114755
5.08	-1.08	-0.141751
5.58	-0.86	-0.171725
6.25	-0.96	-0.21665
6.83	-1.01	-0.260036
7.5	-1.17	-0.315471
7.83	-0.97	-0.344912
8.33	-1.19	-0.392258
8.83	-1.26	-0.442961
9.33	-1.78	-0.497085
10	-1.78	-0.575082
10.5	-1.4	-0.637455
11	-1.34	-0.703457
11.5	-1.47	-0.773145
12	-2.1	-0.846575
12.67	-1.99	-0.95093
13.33	-2.3	-1.0605
13.83	-2.56	-1.14804
14.33	-2.55	-1.23953
14.83	-2.04	-1.33499
15.33	-2.03	-1.43444
15.83	-2.75	-1.5379
16.33	-3.12	-1.64538
16.83	-2.89	-1.75687
17.5	-3.39	-1.91255
18	-3.18	-2.03338
18.33	-2.97	-2.11529
19	-2.87	-2.28686
19.5	-3.08	-2.41942
19.83	-4.3	-2.509
20.5	-3.98	-2.69592
16.33	-2.54	-1.64538
16.67	-3.48	-1.72076
17.17	-3.41	-1.83498
17.67	-3.32	-1.95319
18.17	-2.88	-2.07536
18.67	-2.95	-2.20148
19	-3	-2.28686
19.67	-3.34	-2.46536
20.17	-4.14	-2.60301
20.67	-4.63	-2.7444
21.33	-3.82	-2.93662
21.83	-4.13	-3.08637
22.33	-3.49	-3.23959
22.67	-4.3	-3.34571
23.33	-4.42	-3.55606
23.83	-5.09	-3.7191
24.33	-5.33	-3.88521
24.83	-5.45	-4.05427
25.33	-5.4	-4.22618
26.33	-5.42	-4.57804
