Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
22.2045	-1.79488	-158.936	-1.83029	-163.498
22.4044	-1.79098	-160.185	-1.83582	-164.759
22.6044	-1.83823	-161.474	-1.84089	-166.011
22.8043	-1.84423	-162.642	-1.84549	-167.255
23.0042	-1.86822	-163.965	-1.84964	-168.489
23.2042	-1.89592	-165.18	-1.85333	-169.715
23.4042	-1.9047	-166.365	-1.85658	-170.932
23.6041	-1.94649	-167.646	-1.8594	-172.14
23.8041	-1.9587	-168.775	-1.86179	-173.339
24.004	-1.97937	-170.085	-1.86376	-174.53
24.2039	-1.99745	-171.273	-1.86531	-175.711
24.4039	-2.02122	-172.538	-1.86647	-176.883
24.6039	-2.04179	-173.727	-1.86723	-178.046
24.8038	-2.05169	-174.9	-1.8676	-179.199
25.0038	-2.0819	-176.121	-1.8676	179.656
25.2037	-2.0946	-177.288	-1.86723	178.52
25.4036	-2.1217	-178.621	-1.8665	177.394
25.6036	-2.14112	-179.708	-1.86542	176.277
25.8036	-2.15614	178.96	-1.864	175.169
26.0035	-2.17787	177.948	-1.86225	174.07
26.2035	-2.18419	176.621	-1.86018	172.981
26.4034	-2.21461	175.476	-1.85779	171.9
26.6033	-2.2177	174.273	-1.8551	170.829
26.8033	-2.25106	173.128	-1.85211	169.767
27.0033	-2.25554	172.12	-1.84884	168.714
27.2032	-2.29203	170.756	-1.84529	167.67
27.4032	-2.30148	169.712	-1.84147	166.636
27.6031	-2.30689	168.586	-1.83739	165.61
27.803	-2.35654	167.503	-1.83307	164.593
28.003	-2.3656	166.484	-1.8285	163.586
28.203	-2.3754	165.153	-1.8237	162.587
28.4029	-2.38059	164.209	-1.81867	161.597
28.6029	-2.39738	162.828	-1.81343	160.616
28.8028	-2.44154	161.672	-1.80798	159.644
29.0027	-2.41538	160.508	-1.80234	158.681
29.2027	-2.49641	159.447	-1.7965	157.726
29.4027	-2.45681	158.413	-1.79047	156.78
29.6026	-2.53638	157.182	-1.78427	155.843
29.8026	-2.51578	156.116	-1.7779	154.915
30.0025	-2.53791	155.004	-1.77138	153.994
30.2024	-2.52887	154.09	-1.76469	153.083
30.4024	-2.5448	153.205	-1.75786	152.18
30.6024	-2.59099	151.785	-1.75089	151.285
30.8023	-2.53998	151.1	-1.74379	150.398
31.0023	-2.57388	149.943	-1.73656	149.52
31.2022	-2.59062	149.539	-1.72922	148.65
31.4021	-2.6391	147.792	-1.72176	147.787
31.6021	-2.6553	147.096	-1.71419	146.933
31.8021	-2.60657	145.65	-1.70652	146.087
32.002	-2.66519	145.397	-1.69875	145.249
32.2019	-2.6737	143.646	-1.6909	144.419
32.4019	-2.65804	142.715	-1.68296	143.597
32.6018	-2.66954	141.735	-1.67494	142.782
32.8018	-2.6727	140.67	-1.66685	141.975
33.0018	-2.74772	139.699	-1.65869	141.175
33.2017	-2.66454	138.537	-1.65046	140.383
33.4016	-2.71852	137.683	-1.64218	139.598
33.6016	-2.65262	136.847	-1.63384	138.821
33.8015	-2.75221	135.666	-1.62545	138.051
34.0015	-2.6396	135.019	-1.61702	137.288
34.2015	-2.6702	133.446	-1.60855	136.533
34.4014	-2.63766	133.177	-1.60003	135.784
34.6013	-2.68689	131.96	-1.59149	135.043
34.8013	-2.71277	130.97	-1.58291	134.308
35.0012	-2.6465	129.715	-1.57431	133.58
35.2012	-2.63153	128.691	-1.56569	132.86
35.4012	-2.57108	128.65	-1.55704	132.145
35.6011	-2.74697	127.079	-1.54838	131.438
35.801	-2.63149	126.299	-1.53971	130.737
36.001	-2.66607	124.379	-1.53103	130.043
36.2009	-2.64473	124.009	-1.52234	129.355
