Freq_GHz	I_PD_mA	RawRF_dBm	CalRF_dBm	Model_dBm_5mA	Glitch
0.33	-139.963	-9.68	-9.57	-9.33537	0
1	-139.946	-10.02	-9.79	-9.33693	0
1.5	-139.952	-10.08	-9.68	-9.33911	0
1.83	-139.952	-10.15	-9.64	-9.34104	0
2.33	-139.95	-10.28	-9.77	-9.34469	0
2.92	-139.958	-10.26	-9.85	-9.35016	0
3.42	-139.941	-10.23	-9.82	-9.35579	0
4.08	-139.946	-10.27	-9.86	-9.36464	0
4.58	-139.948	-10.34	-9.96	-9.37244	0
5.08	-139.937	-10.3	-9.9	-9.38121	0
5.42	-139.951	-10.4	-9.99	-9.38775	0
6.08	-139.94	-10.29	-9.85	-9.40176	0
6.83	-139.939	-10.32	-9.85	-9.41991	0
7.33	-139.95	-10.33	-9.85	-9.43337	0
7.67	-139.941	-10.39	-9.9	-9.44316	0
8.33	-139.938	-10.49	-10.03	-9.4637	0
8.83	-139.945	-10.48	-10.17	-9.48065	0
9.33	-139.934	-10.53	-10.43	-9.49885	0
9.83	-139.947	-10.47	-10.14	-9.51834	0
10.33	-139.95	-10.38	-10.18	-9.53917	0
10.83	-139.945	-10.46	-10.37	-9.56139	0
11.17	-139.943	29.03	29.03	-9.57732	1
11.83	-139.953	-10.7	-10.63	-9.61021	0
12.17	-139.956	-10.69	-10.68	-9.6282	0
12.83	-139.959	-10.88	-10.65	-9.66525	0
13.33	-139.97	-10.95	-10.63	-9.69525	0
13.83	-139.975	-10.63	-10.07	-9.727	0
14.33	-139.978	-10.85	-10.32	-9.76057	0
15	-139.983	-10.74	-10.05	-9.8085	0
15.5	-139.992	-10.89	-10.12	-9.84657	0
16	-139.99	-10.78	-10.08	-9.88668	0
16.5	-139.989	-11.56	-10.97	-9.92892	0
17	-139.996	-11.11	-10.82	-9.97335	0
17.5	-139.993	-11.01	-10.7	-10.0201	0
18	-140.01	-10.74	-10.43	-10.0691	0
18.5	-140.006	-10.81	-10.19	-10.1206	0
19.17	-140.011	-10.95	-9.83	-10.1935	0
19.5	-140.02	-11.2	-9.94	-10.2311	0
20.17	-140.024	-11.41	-9.81	-10.311	0
20.67	-140.034	-11.8	-9.83	-10.3738	0
21.17	-140.028	-11.03	-8.92	-10.4394	0
21.67	-140.031	-11.13	-9.34	-10.5079	0
22.17	-140.039	-10.71	-9.25	-10.5793	0
22.83	-140.041	-11.16	-9.89	-10.6782	0
23.33	-140.042	-11.41	-10.17	-10.7566	0
23.83	-140.044	-11.75	-10.53	-10.8381	0
24.33	-140.044	-11.82	-10.57	-10.9227	0
24.83	-140.047	-11.86	-10.63	-11.0106	0
25.33	-140.042	-11.69	-10.5	-11.1016	0
25.83	-140.061	-11.37	-10.28	-11.1959	0
26.33	-140.066	-11.26	-10.28	-11.2934	0
27.08	-140.049	-12.34	-11.38	-11.4457	0
27.58	-140.058	-12.05	-11.1	-11.5514	0
27.92	-140.044	-12.42	-11.44	-11.6251	0
28.42	-140.053	-12.23	-11.26	-11.7361	0
29.08	-140.072	-11.85	-10.86	-11.8877	0
29.42	-140.06	-11.76	-10.72	-11.9679	0
30.25	-140.053	-12.44	-11.19	-12.1699	0
30.75	-140.055	-12.74	-11.47	-12.2956	0
31.33	-140.053	-14.95	-13.49	-12.4453	0
31.83	-140.046	-13.7	-12.23	-12.5775	0
32.33	-140.042	-14.09	-12.38	-12.7126	0
33	-140.06	-13.36	-11.34	-12.898	0
33.5	-140.054	-14.07	-11.89	-13.0395	0
34.17	-140.054	-14.25	-11.89	-13.2333	0
34.67	-140.041	-15.31	-13.16	-13.3808	0
35.17	-140.055	-15.18	-13.1	-13.5308	0
35.67	-140.049	-16	-13.9	-13.6831	0
36.33	-140.062	-14.76	-12.7	-13.8875	0
36.83	-140.054	-14.78	-12.59	-14.0447	0
