Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
1	-0.22	-0.00106229
1.5	-0.11	-0.00255441
1.83	-0.07	-0.00386808
2.33	-0.2	-0.0063595
2.92	-0.28	-0.0100817
3.42	-0.25	-0.0139058
4.08	-0.29	-0.0199078
4.58	-0.39	-0.0251886
5.08	-0.33	-0.0311132
5.42	-0.42	-0.0355155
6.08	-0.28	-0.0449415
6.83	-0.28	-0.0570988
7.33	-0.28	-0.066084
7.67	-0.33	-0.072607
8.33	-0.46	-0.0862499
8.83	-0.6	-0.0974722
9.33	-0.86	-0.109485
9.83	-0.57	-0.122312
10.33	-0.61	-0.135983
10.83	-0.8	-0.150524
11.83	-1.06	-0.18235
12.17	-1.11	-0.194041
12.83	-1.08	-0.218063
13.33	-1.06	-0.237473
13.83	-0.5	-0.257974
14.33	-0.75	-0.279611
15	-0.48	-0.310466
15.5	-0.55	-0.334946
16	-0.51	-0.360727
16.5	-1.4	-0.387862
17	-1.25	-0.416409
17.5	-1.13	-0.446425
18	-0.86	-0.477972
18.5	-0.62	-0.511113
19.17	-0.26	-0.558131
19.5	-0.37	-0.582432
20.17	-0.24	-0.63419
20.67	-0.26	-0.67501
21.17	0.65	-0.717784
21.67	0.23	-0.762581
22.17	0.32	-0.809473
22.83	-0.32	-0.874699
23.33	-0.6	-0.926725
23.83	-0.96	-0.98108
24.33	-1	-1.03783
24.83	-1.06	-1.09705
25.33	-0.93	-1.1588
25.83	-0.71	-1.22314
26.33	-0.71	-1.29014
27.08	-1.81	-1.39574
27.58	-1.53	-1.46961
27.92	-1.87	-1.52146
28.42	-1.69	-1.60012
29.08	-1.29	-1.70841
29.42	-1.15	-1.7662
30.25	-1.62	-1.91305
30.75	-1.9	-2.0055
31.33	-3.92	-2.11651
31.83	-2.66	-2.21548
32.33	-2.81	-2.31746
33	-1.77	-2.45884
33.5	-2.32	-2.56785
34.17	-2.32	-2.71856
34.67	-3.59	-2.83445
35.17	-3.53	-2.95322
35.67	-4.33	-3.07484
36.33	-3.13	-3.23962
36.83	-3.02	-3.36761
