Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
10.8073	-0.56493849	-81.077141	-0.79879897	-81.599469	0.14533746	-0.92568923	0.13325609	-0.90235062
11.00725	-0.57551712	-82.514458	-0.82350694	-83.124018	0.12192383	-0.92791271	0.10889146	-0.90300416
11.2072	-0.59931457	-83.978584	-0.84828701	-84.648129	0.097906277	-0.92817855	0.084593481	-0.90300109
11.40715	-0.62298298	-85.374229	-0.87311952	-86.171694	0.075065511	-0.92775631	0.060381637	-0.90234758
11.6071	-0.64057171	-86.897842	-0.89798473	-87.694595	0.050269028	-0.92754406	0.036275069	-0.90105044
11.80705	-0.6498099	-88.222099	-0.92286283	-89.216713	0.028788879	-0.9274711	0.012292543	-0.89911713
12.007	-0.67674446	-89.883987	-0.94773398	-90.737925	0.0018730376	-0.92504293	-0.011547572	-0.89655571
12.20695	-0.68277931	-91.222252	-0.97257831	-92.258103	-0.019718152	-0.92419201	-0.03522733	-0.89337483
12.4069	-0.70309508	-92.73764	-0.997376	-93.777116	-0.04404876	-0.9211902	-0.058729225	-0.88958372
12.60685	-0.71957052	-93.93045	-1.0221073	-95.294829	-0.063095799	-0.91833007	-0.082036215	-0.88519214
12.8068	-0.74671912	-95.498848	-1.0467524	-96.811103	-0.087931852	-0.9133997	-0.10513174	-0.88021041
13.00675	-0.75319713	-96.794174	-1.0712918	-98.325797	-0.10847656	-0.9104992	-0.12799975	-0.8746493
13.2067	-0.78532654	-98.244568	-1.0957061	-99.838765	-0.13100238	-0.90411126	-0.1506247	-0.86852011
13.40665	-0.7872225	-99.666969	-1.119976	-101.34986	-0.15337131	-0.90038424	-0.17299157	-0.86183454
13.6066	-0.74410909	-97.173485	-1.1440824	-102.85893	-0.11462171	-0.9107135	-0.19508593	-0.85460475
13.80655	-0.77292949	-99.187965	-1.1680065	-104.36581	-0.14607883	-0.90311987	-0.21689386	-0.84684327
14.0065	-0.80575955	-101.03267	-1.1917299	-105.87036	-0.17441463	-0.89456189	-0.23840203	-0.83856303
14.20645	-0.82684898	-103.1123	-1.2152342	-107.37241	-0.20626058	-0.88549087	-0.25959771	-0.82977727
14.4064	-0.86127895	-104.90253	-1.2385017	-108.8718	-0.23289791	-0.87513917	-0.28046874	-0.82049956
14.60635	-0.89119065	-107.01566	-1.2615148	-110.36837	-0.26409724	-0.86297949	-0.30100356	-0.81074377
14.8063	-0.93217158	-108.97493	-1.2842563	-111.86195	-0.29206604	-0.84942858	-0.3211912	-0.800524
15.00625	-0.96397686	-111.08284	-1.3067096	-113.35237	-0.32193083	-0.83504781	-0.34102133	-0.7898546
15.2062	-0.99444115	-112.74532	-1.3288585	-114.83946	-0.34480997	-0.82246683	-0.36048419	-0.77875014
15.40615	-1.004877	-114.10923	-1.3506872	-116.32306	-0.36385161	-0.81304904	-0.37957066	-0.76722532
15.6061	-1.0362506	-115.44126	-1.3721804	-117.80299	-0.38127394	-0.80147099	-0.39827223	-0.75529504
