Freq_GHz	Model_dBm_5mA	Model_Norm_dB
0.1	-9.3352	0
0.109977	-9.3352	-3.65374e-06
0.119955	-9.33521	-7.65472e-06
0.129932	-9.33521	-1.2003e-05
0.13991	-9.33522	-1.66984e-05
0.149887	-9.33522	-2.17412e-05
0.159865	-9.33523	-2.71312e-05
0.169842	-9.33523	-3.28685e-05
0.17982	-9.33524	-3.8953e-05
0.189797	-9.33524	-4.53848e-05
0.199775	-9.33525	-5.2164e-05
0.209752	-9.33526	-5.92904e-05
0.21973	-9.33527	-6.67641e-05
0.229707	-9.33527	-7.45851e-05
0.239685	-9.33528	-8.27535e-05
0.249662	-9.33529	-9.12691e-05
0.25964	-9.3353	-0.000100132
0.269617	-9.33531	-0.000109343
0.279595	-9.33532	-0.0001189
0.289572	-9.33533	-0.000128805
0.29955	-9.33534	-0.000139058
0.309527	-9.33535	-0.000149658
0.319505	-9.33536	-0.000160605
0.329482	-9.33537	-0.0001719
0.33946	-9.33538	-0.000183542
0.349437	-9.33539	-0.000195531
0.359415	-9.33541	-0.000207868
0.369392	-9.33542	-0.000220552
0.37937	-9.33543	-0.000233584
0.389347	-9.33545	-0.000246964
0.399325	-9.33546	-0.000260691
0.409302	-9.33547	-0.000274765
0.41928	-9.33549	-0.000289187
0.429257	-9.3355	-0.000303956
0.439235	-9.33552	-0.000319073
0.449212	-9.33553	-0.000334538
0.45919	-9.33555	-0.00035035
0.469167	-9.33557	-0.00036651
0.479145	-9.33558	-0.000383017
0.489122	-9.3356	-0.000399872
0.4991	-9.33562	-0.000417075
0.509077	-9.33563	-0.000434625
0.519055	-9.33565	-0.000452524
0.529032	-9.33567	-0.000470769
0.53901	-9.33569	-0.000489363
0.548987	-9.33571	-0.000508304
0.558965	-9.33573	-0.000527593
0.568942	-9.33575	-0.00054723
0.57892	-9.33577	-0.000567215
0.588897	-9.33579	-0.000587547
0.598875	-9.33581	-0.000608228
0.608852	-9.33583	-0.000629256
0.61883	-9.33585	-0.000650632
0.628807	-9.33587	-0.000672356
0.638785	-9.33589	-0.000694428
0.648762	-9.33592	-0.000716848
0.65874	-9.33594	-0.000739616
0.668717	-9.33596	-0.000762732
0.678695	-9.33598	-0.000786196
0.688672	-9.33601	-0.000810008
0.69865	-9.33603	-0.000834169
0.708627	-9.33606	-0.000858677
0.718605	-9.33608	-0.000883533
0.728582	-9.33611	-0.000908738
0.73856	-9.33613	-0.000934291
0.748537	-9.33616	-0.000960192
0.758515	-9.33619	-0.000986441
0.768492	-9.33621	-0.00101304
0.77847	-9.33624	-0.00103998
0.788447	-9.33627	-0.00106728
0.798425	-9.33629	-0.00109492
0.808402	-9.33632	-0.00112291
0.81838	-9.33635	-0.00115125
0.828357	-9.33638	-0.00117994
0.838335	-9.33641	-0.00120898
0.848312	-9.33644	-0.00123836
0.85829	-9.33647	-0.00126809
0.868267	-9.3365	-0.00129818
0.878245	-9.33653	-0.00132861
0.888222	-9.33656	-0.00135939
0.8982	-9.33659	-0.00139051
0.908177	-9.33662	-0.00142199
0.918155	-9.33665	-0.00145382
0.928132	-9.33668	-0.00148599
0.93811	-9.33672	-0.00151851
0.948087	-9.33675	-0.00155138
0.958065	-9.33678	-0.0015846
0.968042	-9.33682	-0.00161817
0.97802	-9.33685	-0.00165209
0.987997	-9.33689	-0.00168636
0.997974	-9.33692	-0.00172098
1.00795	-9.33695	-0.00175594
1.01793	-9.33699	-0.00179126
1.02791	-9.33703	-0.00182692
1.03788	-9.33706	-0.00186293
1.04786	-9.3371	-0.00189929
1.05784	-9.33713	-0.00193601
1.06782	-9.33717	-0.00197307
1.07779	-9.33721	-0.00201048
1.08777	-9.33725	-0.00204824
1.09775	-9.33729	-0.00208634
1.10773	-9.33732	-0.0021248
1.1177	-9.33736	-0.00216361
1.12768	-9.3374	-0.00220277
1.13766	-9.33744	-0.00224227
1.14764	-9.33748	-0.00228213
1.15761	-9.33752	-0.00232233
1.16759	-9.33756	-0.00236289
1.17757	-9.3376	-0.0024038
1.18755	-9.33764	-0.00244505
1.19752	-9.33769	-0.00248666
1.2075	-9.33773	-0.00252861
1.21748	-9.33777	-0.00257091
1.22746	-9.33781	-0.00261357
1.23743	-9.33786	-0.00265657
1.24741	-9.3379	-0.00269993
1.25739	-9.33794	-0.00274363
1.26737	-9.33799	-0.00278769
1.27734	-9.33803	-0.00283209
1.28732	-9.33808	-0.00287685
1.2973	-9.33812	-0.00292195
1.30728	-9.33817	-0.00296741
1.31725	-9.33821	-0.00301321
1.32723	-9.33826	-0.00305937
1.33721	-9.3383	-0.00310588
1.34719	-9.33835	-0.00315273
1.35716	-9.3384	-0.00319994
1.36714	-9.33845	-0.0032475
1.37712	-9.33849	-0.00329541
1.3871	-9.33854	-0.00334367
1.39707	-9.33859	-0.00339228
1.40705	-9.33864	-0.00344124
1.41703	-9.33869	-0.00349055
1.42701	-9.33874	-0.00354022
1.43698	-9.33879	-0.00359023
1.44696	-9.33884	-0.0036406
1.45694	-9.33889	-0.00369131
1.46692	-9.33894	-0.00374238
1.47689	-9.33899	-0.0037938
1.48687	-9.33904	-0.00384557
1.49685	-9.3391	-0.00389769
1.50683	-9.33915	-0.00395016
1.5168	-9.3392	-0.00400298
1.52678	-9.33925	-0.00405616
1.53676	-9.33931	-0.00410968
1.54674	-9.33936	-0.00416356
1.55671	-9.33942	-0.00421779
1.56669	-9.33947	-0.00427237
1.57667	-9.33953	-0.00432731
1.58665	-9.33958	-0.00438259
1.59662	-9.33964	-0.00443823
1.6066	-9.33969	-0.00449422
1.61658	-9.33975	-0.00455056
1.62656	-9.33981	-0.00460725
1.63653	-9.33986	-0.0046643
1.64651	-9.33992	-0.00472169
1.65649	-9.33998	-0.00477944
1.66647	-9.34004	-0.00483754
1.67644	-9.34009	-0.004896
1.68642	-9.34015	-0.0049548
1.6964	-9.34021	-0.00501396
1.70638	-9.34027	-0.00507347
1.71635	-9.34033	-0.00513334
1.72633	-9.34039	-0.00519355
1.73631	-9.34045	-0.00525412
1.74629	-9.34051	-0.00531504
1.75626	-9.34058	-0.00537632
1.76624	-9.34064	-0.00543794
1.77622	-9.3407	-0.00549992
1.7862	-9.34076	-0.00556226
1.79617	-9.34082	-0.00562494
1.80615	-9.34089	-0.00568798
