Freq_GHz	Norm_dB_meas	Norm_dB_model_Cj161
0.33	0	0
1	-0.22	-0.00155555
1.5	-0.11	-0.00374172
1.83	-0.07	-0.0056676
2.33	-0.2	-0.00932306
2.92	-0.28	-0.0147914
3.42	-0.25	-0.0204184
4.08	-0.29	-0.0292673
4.58	-0.39	-0.0370702
5.08	-0.33	-0.0458432
5.42	-0.42	-0.0523744
6.08	-0.28	-0.0663929
6.83	-0.28	-0.0845397
7.33	-0.28	-0.0979969
7.67	-0.33	-0.107789
8.33	-0.46	-0.12833
8.83	-0.6	-0.145282
9.33	-0.86	-0.163481
9.83	-0.57	-0.182971
10.33	-0.61	-0.203799
10.83	-0.8	-0.226017
11.83	-1.06	-0.274834
12.17	-1.11	-0.292825
12.83	-1.08	-0.329875
13.33	-1.06	-0.359882
13.83	-0.5	-0.391633
14.33	-0.75	-0.425194
15	-0.48	-0.473125
15.5	-0.55	-0.511195
16	-0.51	-0.551311
16.5	-1.4	-0.593548
17	-1.25	-0.63798
17.5	-1.13	-0.684683
18	-0.86	-0.73373
18.5	-0.62	-0.785198
19.17	-0.26	-0.858089
19.5	-0.37	-0.895691
20.17	-0.24	-0.975596
20.67	-0.26	-1.03842
21.17	0.65	-1.10404
21.67	0.23	-1.17253
22.17	0.32	-1.24394
22.83	-0.32	-1.34279
23.33	-0.6	-1.4212
23.83	-0.96	-1.50272
24.33	-1	-1.58738
24.83	-1.06	-1.67521
25.33	-0.93	-1.76624
25.83	-0.71	-1.8605
26.33	-0.71	-1.95801
27.08	-1.81	-2.11037
27.58	-1.53	-2.21601
27.92	-1.87	-2.28969
28.42	-1.69	-2.40077
29.08	-1.29	-2.55231
29.42	-1.15	-2.63254
30.25	-1.62	-2.83449
30.75	-1.9	-2.96024
31.33	-3.92	-3.1099
31.83	-2.66	-3.2421
32.33	-2.81	-3.37719
33	-1.77	-3.56261
33.5	-2.32	-3.70415
34.17	-2.32	-3.89792
34.67	-3.59	-4.04547
35.17	-3.53	-4.19543
35.67	-4.33	-4.3477
36.33	-3.13	-4.55209
36.83	-3.02	-4.70936
