Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
0.83	-0.12	-0.00224723
1.5	-0.1	-0.00830313
2	-0.08	-0.0151046
2.33	-0.31	-0.0206681
2.83	-0.33	-0.0307361
3.42	-0.32	-0.0451763
3.75	-0.33	-0.0544732
4.42	-0.36	-0.0760739
4.92	-0.48	-0.0946042
5.42	-0.38	-0.115227
5.75	-0.55	-0.13
6.5	-0.45	-0.167069
6.83	-0.43	-0.184941
7.33	-0.46	-0.213875
7.83	-0.44	-0.245077
8.5	-0.6	-0.290522
9	-0.85	-0.327206
9.33	-1.09	-0.35274
9.83	-0.81	-0.393466
10.33	-0.9	-0.436691
10.83	-1.04	-0.482463
11.33	-1.12	-0.530833
11.83	-1.16	-0.58185
12.33	-1.31	-0.635562
12.83	-1.36	-0.692017
13.5	-1.38	-0.772052
13.83	-0.91	-0.813348
14.5	-1.16	-0.901065
15	-0.78	-0.969956
15.67	-0.92	-1.06694
16	-0.86	-1.1167
16.5	-1.88	-1.19462
17	-1.79	-1.27562
17.67	-1.69	-1.38901
18	-1.41	-1.44691
18.5	-1.16	-1.53725
19.17	-0.79	-1.66324
19.67	-0.97	-1.76094
20.17	-0.78	-1.86179
20.67	-1.14	-1.96579
21.67	-0.58	-2.18315
22.33	-0.52	-2.33338
23	-0.99	-2.49132
23.5	-1.68	-2.6127
24	-1.94	-2.73703
24.5	-1.97	-2.86427
24.83	-2.11	-2.94981
25.33	-1.89	-3.08175
25.83	-2.11	-3.21644
26.5	-1.9	-3.40112
27.08	-2.84	-3.56476
27.58	-2.86	-3.70853
28.08	-3.25	-3.85473
28.58	-2.91	-4.00327
29.08	-2.67	-4.15407
29.58	-2.5	-4.30705
30.25	-3.13	-4.51528
30.75	-3.21	-4.673
