Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-4.38426	0.410593	-4.43698	-0.0763162
0.20995	-4.3351	-1.81169	-4.43714	-1.60228
0.4099	-4.34303	-3.68655	-4.43759	-3.12834
0.60985	-4.34598	-5.51185	-4.43833	-4.65459
0.8098	-4.33828	-7.34404	-4.43936	-6.18114
1.00975	-4.34746	-9.10872	-4.44068	-7.70807
1.2097	-4.34483	-10.8986	-4.44228	-9.23549
1.40965	-4.33475	-12.6844	-4.44417	-10.7635
1.6096	-4.33846	-14.5381	-4.44632	-12.2921
1.80955	-4.3383	-16.373	-4.44875	-13.8215
2.0095	-4.33936	-18.1576	-4.45145	-15.3518
2.20945	-4.34219	-19.9951	-4.4544	-16.8829
2.4094	-4.35161	-21.6719	-4.45761	-18.4151
2.60935	-4.32757	-23.3807	-4.46107	-19.9484
2.8093	-4.34489	-25.1597	-4.46476	-21.4828
3.00925	-4.32278	-26.8703	-4.46868	-23.0185
3.2092	-4.32405	-28.6399	-4.47282	-24.5555
3.40915	-4.30173	-30.36	-4.47718	-26.0939
3.6091	-4.29784	-32.2615	-4.48173	-27.6337
3.80905	-4.31212	-33.9871	-4.48647	-29.1751
4.009	-4.28939	-35.7836	-4.49139	-30.718
4.20895	-4.29379	-37.4593	-4.49647	-32.2626
4.4089	-4.27444	-39.216	-4.50171	-33.8089
4.60885	-4.28392	-40.9908	-4.50709	-35.3569
4.8088	-4.25483	-42.6327	-4.5126	-36.9066
5.00875	-4.24466	-44.3729	-4.51821	-38.4582
5.2087	-4.23655	-46.0061	-4.52392	-40.0116
5.40865	-4.22601	-47.8222	-4.52972	-41.5668
5.6086	-4.21854	-49.5234	-4.53558	-43.1239
5.80855	-4.19134	-51.1467	-4.54149	-44.683
6.0085	-4.20833	-52.9091	-4.54744	-46.2439
6.20845	-4.18144	-54.5273	-4.5534	-47.8067
6.4084	-4.18267	-56.3388	-4.55936	-49.3715
6.60835	-4.15991	-57.8193	-4.5653	-50.9381
6.8083	-4.1631	-59.6741	-4.5712	-52.5066
7.00825	-4.14763	-61.2141	-4.57705	-54.0769
7.2082	-4.12935	-62.9043	-4.58282	-55.6491
7.40815	-4.12423	-64.5966	-4.5885	-57.223
7.6081	-4.11342	-66.2316	-4.59406	-58.7986
7.80805	-4.10643	-67.9146	-4.5995	-60.376
8.008	-4.09203	-69.3998	-4.60478	-61.9549
8.20795	-4.07963	-71.1652	-4.60989	-63.5354
8.4079	-4.07071	-72.674	-4.61481	-65.1174
8.60785	-4.04025	-74.368	-4.61952	-66.7008
8.8078	-4.04573	-75.957	-4.62399	-68.2855
9.00775	-4.01675	-77.5244	-4.62822	-69.8713
9.2077	-4.01634	-79.061	-4.63217	-71.4583
9.40765	-3.99673	-80.6499	-4.63584	-73.0462
9.6076	-3.98656	-82.232	-4.63919	-74.635
9.80755	-3.99164	-83.7852	-4.64222	-76.2246
10.0075	-3.94597	-85.2677	-4.64489	-77.8147
10.2074	-3.97223	-86.8195	-4.6472	-79.4053
10.4074	-3.93589	-88.3456	-4.64913	-80.9962
10.6074	-3.94952	-89.9553	-4.65065	-82.5872
10.8073	-3.91073	-91.3076	-4.65176	-84.1782
11.0073	-3.90732	-92.9213	-4.65242	-85.769
11.2072	-3.89903	-94.3114	-4.65263	-87.3594
11.4071	-3.8853	-95.8978	-4.65238	-88.9493
11.6071	-3.87182	-97.5342	-4.65163	-90.5384
11.8071	-3.83694	-98.7384	-4.65039	-92.1266
12.007	-3.83284	-100.479	-4.64864	-93.7136
12.207	-3.82018	-101.598	-4.64636	-95.2993
12.4069	-3.79028	-103.484	-4.64354	-96.8834
12.6068	-3.78375	-104.377	-4.64018	-98.4657
12.8068	-3.77234	-106.386	-4.63625	-100.046
13.0068	-3.75077	-107.615	-4.63175	-101.624
13.2067	-3.74178	-109.201	-4.62667	-103.2
13.4067	-3.71705	-110.605	-4.62101	-104.773
13.6066	-3.7224	-111.934	-4.61475	-106.343
13.8065	-3.69875	-113.526	-4.6079	-107.91
14.0065	-3.70705	-114.74	-4.60044	-109.473
14.2065	-3.66009	-116.341	-4.59237	-111.033
14.4064	-3.67188	-117.562	-4.58368	-112.589
14.6064	-3.63205	-119.066	-4.57439	-114.141
14.8063	-3.65225	-120.491	-4.56448	-115.689
15.0062	-3.61469	-121.912	-4.55395	-117.232
15.2062	-3.60241	-123.363	-4.54281	-118.77
15.4062	-3.58175	-124.608	-4.53106	-120.303
15.6061	-3.58097	-126.121	-4.5187	-121.831
15.8061	-3.57965	-127.453	-4.50574	-123.353
16.006	-3.54287	-128.821	-4.49217	-124.87
16.206	-3.55647	-130.119	-4.47801	-126.381
16.4059	-3.51018	-131.53	-4.46326	-127.885
16.6059	-3.52746	-132.77	-4.44792	-129.383
16.8058	-3.5084	-134.14	-4.43202	-130.875
17.0057	-3.49211	-135.576	-4.41555	-132.359
17.2057	-3.47313	-136.777	-4.39853	-133.837
