Freq_GHz	I_PD_mA	RawRF_dBm	CalRF_dBm	Model_dBm_5mA	Glitch
0.33	-91.068	-7.73	-7.62	-7.30645	0
0.83	-91.066	-7.95	-7.74	-7.3087	0
1.5	-91.064	-8.12	-7.72	-7.31475	0
2	-91.066	-8.26	-7.7	-7.32154	0
2.33	-91.06	-8.44	-7.93	-7.3271	0
2.83	-91.059	-8.36	-7.95	-7.33716	0
3.42	-91.058	-8.35	-7.94	-7.35158	0
3.75	-91.055	-8.36	-7.95	-7.36086	0
4.42	-91.056	-8.36	-7.98	-7.38242	0
4.92	-91.054	-8.49	-8.1	-7.4009	0
5.42	-91.05	-8.41	-8	-7.42146	0
5.75	-91.048	-8.59	-8.17	-7.43619	0
6.5	-91.049	-8.53	-8.07	-7.47312	0
6.83	-91.045	-8.52	-8.05	-7.49091	0
7.33	-91.044	-8.56	-8.08	-7.51971	0
7.83	-91.044	-8.55	-8.06	-7.55074	0
8.5	-91.046	-8.65	-8.22	-7.59591	0
9	-91.048	-8.68	-8.47	-7.63235	0
9.33	-91.046	-8.81	-8.71	-7.65769	0
9.83	-91.051	-8.76	-8.43	-7.6981	0
10.33	-91.053	-8.72	-8.52	-7.74096	0
10.83	-91.051	-8.75	-8.66	-7.78631	0
11.33	-91.052	-8.77	-8.74	-7.83421	0
11.83	-91.056	-8.85	-8.78	-7.88469	0
12.33	-91.064	-8.97	-8.93	-7.93781	0
12.83	-91.063	-9.21	-8.98	-7.9936	0
13.5	-91.068	-9.38	-9	-8.07263	0
13.83	-91.075	-9.09	-8.53	-8.11338	0
14.5	-91.076	-9.35	-8.78	-8.19989	0
15	-91.077	-9.09	-8.4	-8.26778	0
15.67	-91.078	-9.29	-8.54	-8.36328	0
16	-91.083	-9.18	-8.48	-8.41225	0
16.5	-91.087	-10.09	-9.5	-8.4889	0
17	-91.09	-9.7	-9.41	-8.56853	0
17.67	-91.098	-9.66	-9.31	-8.67995	0
18	-91.103	-9.34	-9.03	-8.73682	0
18.5	-91.106	-9.4	-8.78	-8.8255	0
19.17	-91.105	-9.53	-8.41	-8.94912	0
19.67	-91.108	-9.89	-8.59	-9.04493	0
20.17	-91.11	-10	-8.4	-9.1438	0
20.67	-91.112	-10.73	-8.76	-9.24572	0
21.17	-91.12	26.02	28.13	-9.35066	1
21.67	-91.123	-9.99	-8.2	-9.45863	0
22.33	-91.127	-9.55	-8.14	-9.60572	0
23	-91.134	-9.86	-8.61	-9.76032	0
23.5	-91.141	-10.53	-9.3	-9.8791	0
24	-91.139	-10.8	-9.56	-10.0008	0
24.5	-91.147	-10.84	-9.59	-10.1252	0
24.83	-91.147	-10.96	-9.73	-10.2089	0
25.33	-91.152	-10.7	-9.51	-10.338	0
25.83	-91.151	-10.82	-9.73	-10.4698	0
26.5	-91.151	-10.5	-9.52	-10.6504	0
27.08	-91.151	-11.42	-10.46	-10.8105	0
27.58	-91.15	-11.43	-10.48	-10.9511	0
28.08	-91.153	-11.85	-10.87	-11.0942	0
28.58	-91.155	-11.51	-10.53	-11.2395	0
29.08	-91.154	-11.28	-10.29	-11.387	0
29.58	-91.152	-11.22	-10.12	-11.5368	0
30.25	-91.154	-12	-10.75	-11.7406	0
30.75	-91.155	-12.1	-10.83	-11.895	0
