Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
25.6036	0.122633	-0.00251072	0.107083	0.0511945	6.13167	-0.125536	5.35416	2.55972
25.8036	0.123494	0.0089379	0.107079	0.0609149	6.17469	0.446895	5.35393	3.04574
26.0035	0.124755	0.0176309	0.107074	0.0705639	6.23774	0.881543	5.35371	3.52819
26.2035	0.125181	0.0290354	0.10707	0.0801431	6.25905	1.45177	5.35348	4.00716
26.4034	0.126991	0.038865	0.107065	0.0896542	6.34957	1.94325	5.35325	4.48271
26.6033	0.127285	0.049207	0.10706	0.0990987	6.36424	2.46035	5.35302	4.95493
26.8033	0.129318	0.0590425	0.107056	0.108478	6.46588	2.95213	5.35278	5.4239
27.0033	0.129717	0.0677187	0.107051	0.117794	6.48585	3.38594	5.35255	5.88968
27.2032	0.132022	0.0794463	0.107046	0.127047	6.60111	3.97232	5.35231	6.35235
27.4032	0.132763	0.0884482	0.107041	0.136239	6.63814	4.42241	5.35207	6.81197
27.6031	0.133315	0.0981771	0.107037	0.145372	6.66577	4.90886	5.35183	7.26862
27.803	0.136414	0.107473	0.107032	0.154447	6.82068	5.37366	5.35159	7.72234
28.003	0.137204	0.116298	0.107027	0.163464	6.86021	5.81492	5.35135	8.17322
28.203	0.138157	0.127852	0.107022	0.172426	6.90784	6.39262	5.3511	8.6213
28.4029	0.138756	0.136057	0.107017	0.181333	6.93781	6.80287	5.35085	9.06665
28.6029	0.140201	0.148083	0.107012	0.190186	7.01006	7.40415	5.35061	9.50932
28.8028	0.14319	0.158098	0.107007	0.198987	7.15948	7.90488	5.35036	9.94937
29.0027	0.142147	0.168384	0.107002	0.207737	7.10735	8.4192	5.3501	10.3869
29.2027	0.147317	0.177493	0.106997	0.216437	7.36583	8.87464	5.34985	10.8218
29.4027	0.145492	0.186748	0.106992	0.225087	7.27459	9.33738	5.34959	11.2543
29.6026	0.150752	0.197391	0.106987	0.233689	7.53761	9.86957	5.34934	11.6844
29.8026	0.15011	0.206936	0.106982	0.242243	7.50552	10.3468	5.34908	12.1122
30.0025	0.152033	0.216773	0.106976	0.250752	7.60167	10.8386	5.34882	12.5376
30.2024	0.152035	0.224984	0.106971	0.259215	7.60175	11.2492	5.34855	12.9607
30.4024	0.153519	0.23287	0.106966	0.267633	7.67595	11.6435	5.34829	13.3817
30.6024	0.157187	0.245474	0.10696	0.276008	7.85936	12.2737	5.34802	13.8004
30.8023	0.154604	0.251907	0.106955	0.28434	7.73021	12.5954	5.34776	14.217
31.0023	0.157446	0.262262	0.10695	0.29263	7.87232	13.1131	5.34749	14.6315
31.2022	0.158748	0.265869	0.106944	0.300879	7.9374	13.2935	5.34722	15.0439
31.4021	0.163019	0.281616	0.106939	0.309087	8.15093	14.0808	5.34694	15.4544
31.6021	0.164568	0.287928	0.106933	0.317256	8.22838	14.3964	5.34667	15.8628
31.8021	0.162812	0.301581	0.106928	0.325386	8.14061	15.079	5.34639	16.2693
32.002	0.166624	0.30359	0.106922	0.333478	8.33118	15.1795	5.34611	16.6739
32.2019	0.168746	0.319881	0.106917	0.341533	8.43729	15.994	5.34583	17.0766
32.4019	0.168663	0.328726	0.106911	0.349551	8.43317	16.4363	5.34555	17.4775
32.6018	0.170346	0.337906	0.106905	0.357532	8.51731	16.8953	5.34527	17.8766
32.8018	0.171635	0.348003	0.1069	0.365479	8.58175	17.4001	5.34498	18.2739
33.0018	0.1774	0.356734	0.106894	0.37339	8.86998	17.8367	5.3447	18.6695
33.2017	0.173419	0.368505	0.106888	0.381268	8.67094	18.4252	5.34441	19.0634
33.4016	0.177837	0.376355	0.106882	0.389112	8.89183	18.8177	5.34412	19.4556
33.6016	0.17459	0.384994	0.106877	0.396923	8.72949	19.2497	5.34383	19.8461
33.8015	0.18245	0.395742	0.106871	0.404702	9.12252	19.7871	5.34353	20.2351
34.0015	0.175951	0.403037	0.106865	0.412449	8.79753	20.1518	5.34324	20.6224
34.2015	0.179959	0.418381	0.106859	0.420165	8.99795	20.9191	5.34294	21.0082
34.4014	0.178169	0.421353	0.106853	0.42785	8.90847	21.0677	5.34264	21.3925
