Freq_GHz	Model_dBm_5mA	Model_Norm_dB
1.63653	-2.07064	-0.029328
1.64651	-2.071	-0.0296882
1.65649	-2.07136	-0.0300506
1.66647	-2.07172	-0.0304152
1.67644	-2.07209	-0.030782
1.68642	-2.07246	-0.031151
1.6964	-2.07283	-0.0315222
1.70638	-2.07321	-0.0318956
1.71635	-2.07358	-0.0322711
1.72633	-2.07396	-0.0326489
1.73631	-2.07434	-0.0330289
1.74629	-2.07472	-0.033411
1.75626	-2.07511	-0.0337954
1.76624	-2.07549	-0.0341819
1.77622	-2.07588	-0.0345706
1.7862	-2.07627	-0.0349616
1.79617	-2.07666	-0.0353547
1.80615	-2.07706	-0.03575
1.81613	-2.07746	-0.0361476
1.82611	-2.07786	-0.0365473
1.83608	-2.07826	-0.0369492
1.84606	-2.07866	-0.0373533
1.85604	-2.07907	-0.0377596
1.86602	-2.07948	-0.0381681
1.87599	-2.07989	-0.0385788
1.88597	-2.0803	-0.0389916
1.89595	-2.08072	-0.0394067
1.90593	-2.08113	-0.039824
1.9159	-2.08155	-0.0402435
1.92588	-2.08197	-0.0406651
1.93586	-2.0824	-0.041089
1.94584	-2.08282	-0.041515
1.95581	-2.08325	-0.0419433
1.96579	-2.08368	-0.0423738
1.97577	-2.08412	-0.0428064
1.98575	-2.08455	-0.0432412
1.99572	-2.08499	-0.0436783
2.0057	-2.08543	-0.0441175
2.01568	-2.08587	-0.0445589
2.02566	-2.08631	-0.0450026
2.03563	-2.08676	-0.0454484
2.04561	-2.08721	-0.0458964
2.05559	-2.08766	-0.0463466
2.06557	-2.08811	-0.0467991
2.07554	-2.08856	-0.0472537
2.08552	-2.08902	-0.0477105
2.0955	-2.08948	-0.0481695
2.10548	-2.08994	-0.0486307
2.11545	-2.0904	-0.0490941
2.12543	-2.09087	-0.0495597
2.13541	-2.09134	-0.0500275
2.14539	-2.09181	-0.0504975
2.15536	-2.09228	-0.0509697
2.16534	-2.09275	-0.0514441
2.17532	-2.09323	-0.0519206
2.1853	-2.09371	-0.0523994
2.19527	-2.09419	-0.0528804
2.20525	-2.09467	-0.0533636
2.21523	-2.09516	-0.053849
2.22521	-2.09565	-0.0543366
2.23518	-2.09614	-0.0548263
2.24516	-2.09663	-0.0553183
2.25514	-2.09712	-0.0558125
2.26512	-2.09762	-0.0563088
