Freq_GHz	Model_dBm_5mA	Model_Norm_dB
0.1	-3.97948	0
0.109977	-3.9795	-1.76358e-05
0.119955	-3.97952	-3.69477e-05
0.129932	-3.97954	-5.79356e-05
0.13991	-3.97956	-8.05996e-05
0.149887	-3.97959	-0.00010494
0.159865	-3.97962	-0.000130956
0.169842	-3.97964	-0.000158648
0.17982	-3.97967	-0.000188016
0.189797	-3.9797	-0.00021906
0.199775	-3.97974	-0.000251781
0.209752	-3.97977	-0.000286177
0.21973	-3.97981	-0.00032225
0.229707	-3.97984	-0.000359999
0.239685	-3.97988	-0.000399423
0.249662	-3.97992	-0.000440525
0.25964	-3.97997	-0.000483302
0.269617	-3.98001	-0.000527755
0.279595	-3.98006	-0.000573885
0.289572	-3.98011	-0.000621691
0.29955	-3.98016	-0.000671173
0.309527	-3.98021	-0.000722331
0.319505	-3.98026	-0.000775166
0.329482	-3.98031	-0.000829677
0.33946	-3.98037	-0.000885864
0.349437	-3.98043	-0.000943728
0.359415	-3.98049	-0.00100327
0.369392	-3.98055	-0.00106448
0.37937	-3.98061	-0.00112738
0.389347	-3.98068	-0.00119195
0.399325	-3.98074	-0.00125819
0.409302	-3.98081	-0.00132611
0.41928	-3.98088	-0.00139571
0.429257	-3.98095	-0.00146699
0.439235	-3.98102	-0.00153994
0.449212	-3.9811	-0.00161457
0.45919	-3.98118	-0.00169087
0.469167	-3.98125	-0.00176885
0.479145	-3.98133	-0.00184851
0.489122	-3.98141	-0.00192984
0.4991	-3.9815	-0.00201286
0.509077	-3.98158	-0.00209754
0.519055	-3.98167	-0.00218391
0.529032	-3.98176	-0.00227195
0.53901	-3.98185	-0.00236167
0.548987	-3.98194	-0.00245306
0.558965	-3.98203	-0.00254614
0.568942	-3.98213	-0.00264089
0.57892	-3.98222	-0.00273731
0.588897	-3.98232	-0.00283541
0.598875	-3.98242	-0.00293519
0.608852	-3.98252	-0.00303665
0.61883	-3.98262	-0.00313979
0.628807	-3.98273	-0.0032446
0.638785	-3.98284	-0.00335109
0.648762	-3.98294	-0.00345925
0.65874	-3.98305	-0.00356909
0.668717	-3.98316	-0.00368061
0.678695	-3.98328	-0.00379381
0.688672	-3.98339	-0.00390869
0.69865	-3.98351	-0.00402524
0.708627	-3.98363	-0.00414347
0.718605	-3.98375	-0.00426337
0.728582	-3.98387	-0.00438496
0.73856	-3.98399	-0.00450822
0.748537	-3.98412	-0.00463316
0.758515	-3.98424	-0.00475978
0.768492	-3.98437	-0.00488807
0.77847	-3.9845	-0.00501805
0.788447	-3.98463	-0.0051497
0.798425	-3.98477	-0.00528302
0.808402	-3.9849	-0.00541803
0.81838	-3.98504	-0.00555471
0.828357	-3.98518	-0.00569308
0.838335	-3.98532	-0.00583312
0.848312	-3.98546	-0.00597483
0.85829	-3.9856	-0.00611823
0.868267	-3.98575	-0.00626331
0.878245	-3.98589	-0.00641006
0.888222	-3.98604	-0.00655849
0.8982	-3.98619	-0.0067086
0.908177	-3.98634	-0.00686039
0.918155	-3.9865	-0.00701385
0.928132	-3.98665	-0.007169
