Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-15.5393	-179.043	-17.306	-179.968
0.20995	-15.47	-179.428	-17.3032	-179.338
0.4099	-15.4286	-178.7	-17.2953	-178.71
0.60985	-15.4301	-178.255	-17.2823	-178.084
0.8098	-15.4203	-177.517	-17.2642	-177.463
1.00975	-15.4028	-177.132	-17.2412	-176.848
1.2097	-15.3925	-176.347	-17.2133	-176.239
1.40965	-15.3595	-175.99	-17.1805	-175.639
1.6096	-15.341	-175.378	-17.1429	-175.049
1.80955	-15.2906	-174.733	-17.1007	-174.47
2.0095	-15.2521	-174.21	-17.054	-173.903
2.20945	-15.2374	-173.683	-17.0029	-173.348
2.4094	-15.173	-173.2	-16.9475	-172.808
2.60935	-15.1471	-172.492	-16.888	-172.283
2.8093	-15.064	-172.158	-16.8245	-171.774
3.00925	-15.0597	-171.675	-16.7572	-171.281
3.2092	-14.952	-171.27	-16.6863	-170.806
3.40915	-14.9141	-170.701	-16.6118	-170.349
3.6091	-14.8591	-170.212	-16.5339	-169.91
3.80905	-14.7855	-169.869	-16.4529	-169.49
4.009	-14.7235	-169.312	-16.3689	-169.089
4.20895	-14.6429	-169.082	-16.282	-168.708
4.4089	-14.5886	-168.479	-16.1924	-168.347
4.60885	-14.4891	-168.29	-16.1002	-168.006
4.8088	-14.4389	-167.662	-16.0057	-167.686
5.00875	-14.3463	-167.449	-15.9089	-167.385
5.2087	-14.2819	-167.152	-15.81	-167.105
5.40865	-14.1995	-166.697	-15.7091	-166.845
5.6086	-14.1065	-166.559	-15.6065	-166.605
5.80855	-14.0489	-166.107	-15.5022	-166.386
6.0085	-13.9191	-166.01	-15.3963	-166.186
6.20845	-13.8625	-165.648	-15.289	-166.006
6.4084	-13.7498	-165.411	-15.1804	-165.846
6.60835	-13.7139	-165.248	-15.0706	-165.704
6.8083	-13.5641	-165.124	-14.9597	-165.582
7.00825	-13.491	-164.873	-14.8478	-165.479
7.2082	-13.4016	-164.568	-14.735	-165.394
7.40815	-13.2949	-164.603	-14.6214	-165.328
7.6081	-13.214	-164.416	-14.5072	-165.279
7.80805	-13.0807	-164.332	-14.3923	-165.248
8.008	-13.0278	-164.147	-14.2768	-165.234
8.20795	-12.8946	-164.053	-14.1609	-165.236
8.4079	-12.8255	-164.024	-14.0446	-165.255
8.60785	-12.6978	-163.876	-13.928	-165.291
8.8078	-12.6091	-163.975	-13.8111	-165.342
9.00775	-12.5005	-163.65	-13.694	-165.408
9.2077	-12.4132	-163.859	-13.5767	-165.49
9.40765	-12.2989	-163.893	-13.4594	-165.586
9.6076	-12.1975	-163.808	-13.342	-165.696
9.80755	-12.0942	-164.051	-13.2245	-165.821
10.0075	-12.005	-163.776	-13.1071	-165.959
10.2074	-11.8976	-164.287	-12.9898	-166.111
10.4074	-11.7984	-164.025	-12.8726	-166.276
10.6074	-11.6792	-164.377	-12.7556	-166.453
10.8073	-11.6008	-164.115	-12.6387	-166.643
11.0073	-11.4855	-164.434	-12.5221	-166.844
11.2072	-11.3963	-164.647	-12.4056	-167.058
11.4071	-11.2728	-164.761	-12.2895	-167.283
11.6071	-11.1378	-164.957	-12.1737	-167.519
11.8071	-11.0902	-164.829	-12.0581	-167.766
12.007	-10.9137	-165.293	-11.9429	-168.023
12.207	-10.893	-165.191	-11.8281	-168.291
12.4069	-10.7002	-165.589	-11.7137	-168.569
12.6068	-10.7168	-165.561	-11.5997	-168.857
12.8068	-10.5218	-166.255	-11.486	-169.154
13.0068	-10.4585	-166.288	-11.3729	-169.46
13.2067	-10.3321	-166.692	-11.2601	-169.776
13.4067	-10.2404	-166.905	-11.1479	-170.1
13.6066	-10.1751	-167.243	-11.0361	-170.433
13.8065	-10.0359	-167.534	-10.9248	-170.775
14.0065	-9.98473	-168.001	-10.814	-171.124
14.2065	-9.81837	-168.113	-10.7038	-171.482
14.4064	-9.78722	-168.542	-10.5941	-171.847
14.6064	-9.65748	-168.795	-10.4849	-172.22
14.8063	-9.58481	-169.411	-10.3762	-172.6
15.0062	-9.45495	-169.56	-10.2681	-172.988
15.2062	-9.35096	-170.058	-10.1606	-173.382
15.4062	-9.27167	-170.34	-10.0537	-173.783
15.6061	-9.17494	-170.843	-9.94729	-174.191
15.8061	-9.09315	-171.285	-9.84152	-174.605
16.006	-8.97823	-171.595	-9.73634	-175.026
16.206	-8.91191	-172.165	-9.63177	-175.452
16.4059	-8.77486	-172.47	-9.52782	-175.885
16.6059	-8.71818	-172.919	-9.42448	-176.323
16.8058	-8.61822	-173.394	-9.32177	-176.768
17.0057	-8.51007	-173.98	-9.21969	-177.217
17.2057	-8.42453	-174.305	-9.11824	-177.672
17.4057	-8.33376	-174.627	-9.01744	-178.133
17.6056	-8.26845	-175.37	-8.91729	-178.598
17.8056	-8.15861	-175.695	-8.81779	-179.069
18.0055	-8.07159	-176.256	-8.71895	-179.544
18.2054	-7.99344	-176.586	-8.62078	179.976
18.4054	-7.89791	-177.292	-8.52328	179.491
18.6054	-7.80195	-177.654	-8.42645	179.002
18.8053	-7.69921	-178.168	-8.3303	178.509
