Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
12.8068	0.594496	-0.33381	0.634005	-0.303487	29.7248	-16.6905	31.7002	-15.1743
13.0068	0.585901	-0.331689	0.624851	-0.299252	29.295	-16.5845	31.2425	-14.9626
13.2067	0.576825	-0.326088	0.615831	-0.294871	28.8412	-16.3044	30.7915	-14.7435
13.4067	0.568006	-0.32292	0.606945	-0.290349	28.4003	-16.146	30.3473	-14.5175
13.6066	0.560634	-0.318289	0.598194	-0.285693	28.0317	-15.9144	29.9097	-14.2846
13.8065	0.550536	-0.313672	0.589578	-0.280907	27.5268	-15.6836	29.4789	-14.0454
14.0065	0.543935	-0.308651	0.581096	-0.275999	27.1967	-15.4326	29.0548	-13.8
14.2065	0.533117	-0.30443	0.572748	-0.270974	26.6559	-15.2215	28.6374	-13.5487
14.4064	0.526982	-0.29984	0.564533	-0.265836	26.3491	-14.992	28.2267	-13.2918
14.6064	0.517616	-0.29491	0.556451	-0.260591	25.8808	-14.7455	27.8226	-13.0296
14.8063	0.511148	-0.288545	0.548502	-0.255245	25.5574	-14.4273	27.4251	-12.7622
15.0062	0.501677	-0.283288	0.540684	-0.249801	25.0839	-14.1644	27.0342	-12.4901
15.2062	0.494187	-0.277601	0.532996	-0.244265	24.7094	-13.88	26.6498	-12.2133
15.4062	0.486818	-0.272704	0.525438	-0.238641	24.3409	-13.6352	26.2719	-11.9321
15.6061	0.479904	-0.26635	0.518008	-0.232934	23.9952	-13.3175	25.9004	-11.6467
15.8061	0.472599	-0.260555	0.510705	-0.227147	23.6299	-13.0277	25.5352	-11.3573
16.006	0.464922	-0.254892	0.503528	-0.221285	23.2461	-12.7446	25.1764	-11.0642
16.206	0.458779	-0.248812	0.496475	-0.215351	22.9389	-12.4406	24.8237	-10.7675
16.4059	0.450372	-0.243022	0.489545	-0.20935	22.5186	-12.1511	24.4772	-10.4675
16.6059	0.44576	-0.236858	0.482737	-0.203284	22.288	-11.8429	24.1368	-10.1642
16.8058	0.438298	-0.230363	0.476048	-0.197158	21.9149	-11.5181	23.8024	-9.85791
17.0057	0.431636	-0.223426	0.469479	-0.190975	21.5818	-11.1713	23.4739	-9.54875
17.2057	0.425148	-0.217819	0.463027	-0.184738	21.2574	-10.891	23.1513	-9.23689
17.4057	0.418929	-0.212084	0.45669	-0.178449	20.9465	-10.6042	22.8345	-8.92247
17.6056	0.414287	-0.204547	0.450467	-0.172113	20.7143	-10.2274	22.5233	-8.60566
17.8056	0.407161	-0.197877	0.444356	-0.165732	20.358	-9.89386	22.2178	-8.28658
18.0055	0.402122	-0.191179	0.438356	-0.159308	20.1061	-9.55894	21.9178	-7.96538
18.2054	0.396211	-0.185204	0.432465	-0.152844	19.8106	-9.26018	21.6232	-7.64219
18.4054	0.39054	-0.177426	0.426681	-0.146343	19.527	-8.87131	21.3341	-7.31713
18.6054	0.38498	-0.171723	0.421004	-0.139807	19.249	-8.58614	21.0502	-6.99033
18.8053	0.378667	-0.164517	0.41543	-0.133238	18.9334	-8.22587	20.7715	-6.66189
19.0053	0.375071	-0.157574	0.409959	-0.126639	18.7536	-7.87869	20.4979	-6.33193
19.2052	0.368721	-0.150696	0.404588	-0.120011	18.436	-7.53479	20.2294	-6.00055
19.4051	0.363544	-0.142866	0.399317	-0.113357	18.1772	-7.1433	19.9658	-5.66786
19.6051	0.358436	-0.13716	0.394143	-0.106679	17.9218	-6.85802	19.7071	-5.33394
19.8051	0.353112	-0.128114	0.389065	-0.099978	17.6556	-6.40572	19.4532	-4.9989
20.005	0.348965	-0.123534	0.384081	-0.0932564	17.4483	-6.17669	19.2041	-4.66282
20.205	0.344235	-0.113809	0.37919	-0.0865157	17.2118	-5.69043	18.9595	-4.32578
20.4049	0.339494	-0.107889	0.37439	-0.0797575	16.9747	-5.39446	18.7195	-3.98787
20.6048	0.335716	-0.100016	0.36968	-0.0729833	16.7858	-5.00081	18.484	-3.64916
20.8048	0.330892	-0.0929441	0.365057	-0.0661946	16.5446	-4.64721	18.2529	-3.30973
21.0048	0.328468	-0.0854812	0.360521	-0.0593929	16.4234	-4.27406	18.0261	-2.96965
21.2047	0.322383	-0.0764381	0.35607	-0.0525794	16.1191	-3.8219	17.8035	-2.62897
21.4047	0.319389	-0.070019	0.351702	-0.0457555	15.9695	-3.50095	17.5851	-2.28777
21.6046	0.313775	-0.0630328	0.347416	-0.0389223	15.6888	-3.15164	17.3708	-1.94612
21.8045	0.313772	-0.0545839	0.34321	-0.032081	15.6886	-2.7292	17.1605	-1.60405
22.0045	0.306807	-0.0471757	0.339084	-0.0252328	15.3403	-2.35879	16.9542	-1.26164
22.2045	0.305448	-0.0388825	0.335034	-0.0183786	15.2724	-1.94412	16.7517	-0.91893
22.4044	0.298764	-0.0333701	0.331061	-0.0115195	14.9382	-1.66851	16.5531	-0.575975
22.6044	0.298205	-0.0234521	0.327163	-0.00465644	14.9102	-1.17261	16.3581	-0.232822
22.8043	0.293678	-0.0182981	0.323338	0.00220968	14.6839	-0.914903	16.1669	0.110484
23.0042	0.289614	-0.00868831	0.319585	0.009078	14.4807	-0.434416	15.9792	0.4539
23.2042	0.286751	-0.00122916	0.315903	0.0159477	14.3376	-0.0614578	15.7951	0.797384
23.4042	0.283276	0.00514345	0.31229	0.022818	14.1638	0.257172	15.6145	1.1409
23.6041	0.282356	0.0141373	0.308745	0.0296881	14.1178	0.706866	15.4373	1.4844
23.8041	0.27768	0.02103	0.305267	0.0365574	13.884	1.0515	15.2634	1.82787
24.004	0.275397	0.030012	0.301855	0.0434251	13.7698	1.5006	15.0927	2.17125
24.2039	0.272413	0.0367144	0.298507	0.0502907	13.6206	1.83572	14.9253	2.51453
24.4039	0.26953	0.0454708	0.295222	0.0571535	13.4765	2.27354	14.7611	2.85767
24.6039	0.267679	0.0533176	0.292	0.064013	13.384	2.66588	14.6	3.20065
24.8038	0.263226	0.0605624	0.288838	0.0708686	13.1613	3.02812	14.4419	3.54343
25.0038	0.262391	0.0683776	0.285736	0.0777198	13.1195	3.41888	14.2868	3.88599
25.2037	0.259932	0.0764691	0.282692	0.0845662	12.9966	3.82346	14.1346	4.22831
25.4036	0.257845	0.0861253	0.279707	0.0914072	12.8922	4.30627	13.9853	4.57036
25.6036	0.255928	0.0922277	0.276777	0.0982425	12.7964	4.61139	13.8389	4.91213
25.8036	0.252242	0.103163	0.273904	0.105072	12.6121	5.15814	13.6952	5.25358
26.0035	0.251	0.107719	0.271084	0.111894	12.55	5.38595	13.5542	5.59471
26.2035	0.248393	0.118866	0.268318	0.11871	12.4197	5.94331	13.4159	5.9355
26.4034	0.247378	0.126115	0.265605	0.125518	12.3689	6.30573	13.2802	6.27592
26.6033	0.244148	0.134595	0.262943	0.132319	12.2074	6.72974	13.1472	6.61596
26.8033	0.243224	0.142693	0.260332	0.139112	12.1612	7.13463	13.0166	6.95561
27.0033	0.240845	0.148285	0.25777	0.145897	12.0422	7.41426	12.8885	7.29485
27.2032	0.240628	0.160228	0.255257	0.152673	12.0314	8.01141	12.7628	7.63367
27.4032	0.238021	0.166277	0.252791	0.159441	11.901	8.31383	12.6396	7.97206
27.6031	0.236822	0.174642	0.250373	0.1662	11.8411	8.73212	12.5187	8.31
27.803	0.237243	0.182208	0.248001	0.17295	11.8621	9.1104	12.4	8.64749
28.003	0.233985	0.190104	0.245674	0.17969	11.6992	9.50518	12.2837	8.98451
28.203	0.233531	0.200135	0.243391	0.186421	11.6766	10.0067	12.1696	9.32105
28.4029	0.231308	0.205429	0.241153	0.193142	11.5654	10.2715	12.0576	9.65711
28.6029	0.230255	0.217883	0.238956	0.199854	11.5127	10.8941	11.9478	9.99268
28.8028	0.231219	0.225544	0.236803	0.206555	11.561	11.2772	11.8401	10.3278
29.0027	0.227073	0.233942	0.23469	0.213246	11.3537	11.6971	11.7345	10.6623
29.2027	0.230838	0.24238	0.232618	0.219927	11.5419	12.119	11.6309	10.9964
29.4027	0.224699	0.249128	0.230586	0.226598	11.235	12.4564	11.5293	11.3299
29.6026	0.229916	0.259541	0.228593	0.233258	11.4958	12.977	11.4296	11.6629
29.8026	0.224771	0.267289	0.226638	0.239908	11.2386	13.3644	11.3319	11.9954
30.0025	0.225486	0.276521	0.224721	0.246547	11.2743	13.8261	11.2361	12.3273
30.2024	0.222046	0.28222	0.222842	0.253175	11.1023	14.111	11.1421	12.6587
30.4024	0.222263	0.288714	0.220999	0.259792	11.1131	14.4357	11.0499	12.9896
30.6024	0.224477	0.301897	0.219191	0.266399	11.2238	15.0948	10.9596	13.3199
30.8023	0.217243	0.305593	0.217419	0.272994	10.8622	15.2797	10.871	13.6497
31.0023	0.219963	0.315281	0.215682	0.279579	10.9982	15.764	10.7841	13.979
31.2022	0.219882	0.315227	0.213978	0.286153	10.9941	15.7614	10.6989	14.3076
31.4021	0.222147	0.334697	0.212308	0.292715	11.1074	16.7349	10.6154	14.6358
