Freq_GHz	Model_dBm_5mA	Model_Norm_dB
11.5342	-7.85451	-0.548447
11.5442	-7.85552	-0.54945
11.5542	-7.85652	-0.550455
11.5641	-7.85753	-0.55146
11.5741	-7.85853	-0.552466
11.5841	-7.85954	-0.553473
11.5941	-7.86055	-0.554482
11.6041	-7.86156	-0.555491
11.614	-7.86257	-0.556501
11.624	-7.86358	-0.557513
11.634	-7.86459	-0.558525
11.644	-7.86561	-0.559539
11.6539	-7.86662	-0.560553
11.6639	-7.86764	-0.561569
11.6739	-7.86865	-0.562585
11.6839	-7.86967	-0.563603
11.6938	-7.87069	-0.564622
11.7038	-7.87171	-0.565642
11.7138	-7.87273	-0.566662
11.7238	-7.87375	-0.567684
11.7338	-7.87477	-0.568707
11.7437	-7.8758	-0.569731
11.7537	-7.87682	-0.570756
11.7637	-7.87785	-0.571782
11.7737	-7.87888	-0.572809
11.7836	-7.8799	-0.573837
11.7936	-7.88093	-0.574866
11.8036	-7.88196	-0.575897
11.8136	-7.883	-0.576928
11.8236	-7.88403	-0.57796
11.8335	-7.88506	-0.578993
11.8435	-7.8861	-0.580028
11.8535	-7.88713	-0.581063
11.8635	-7.88817	-0.5821
11.8734	-7.8892	-0.583137
11.8834	-7.89024	-0.584176
11.8934	-7.89128	-0.585216
11.9034	-7.89232	-0.586256
11.9134	-7.89337	-0.587298
11.9233	-7.89441	-0.588341
11.9333	-7.89545	-0.589385
11.9433	-7.8965	-0.590429
11.9533	-7.89754	-0.591475
11.9632	-7.89859	-0.592522
11.9732	-7.89964	-0.59357
11.9832	-7.90069	-0.59462
11.9932	-7.90174	-0.59567
12.0032	-7.90279	-0.596721
12.0131	-7.90384	-0.597773
12.0231	-7.90489	-0.598827
12.0331	-7.90595	-0.599881
12.0431	-7.907	-0.600936
12.053	-7.90806	-0.601993
12.063	-7.90912	-0.60305
12.073	-7.91018	-0.604109
12.083	-7.91124	-0.605169
12.0929	-7.9123	-0.606229
12.1029	-7.91336	-0.607291
12.1129	-7.91442	-0.608354
12.1229	-7.91549	-0.609418
12.1329	-7.91655	-0.610483
12.1428	-7.91762	-0.611549
12.1528	-7.91868	-0.612616
12.1628	-7.91975	-0.613684
12.1728	-7.92082	-0.614753
12.1827	-7.92189	-0.615823
12.1927	-7.92296	-0.616895
12.2027	-7.92403	-0.617967
12.2127	-7.92511	-0.61904
12.2227	-7.92618	-0.620115
12.2326	-7.92726	-0.62119
12.2426	-7.92833	-0.622267
