Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
1	-0.22	-0.00171532
1.5	-0.11	-0.00412567
1.83	-0.07	-0.00624867
2.33	-0.2	-0.0102774
2.92	-0.28	-0.0163018
3.42	-0.25	-0.0224983
4.08	-0.29	-0.0322372
4.58	-0.39	-0.0408192
5.08	-0.33	-0.0504619
5.42	-0.42	-0.0576365
6.08	-0.28	-0.0730239
6.83	-0.28	-0.0929191
7.33	-0.28	-0.107656
7.67	-0.33	-0.118371
8.33	-0.46	-0.140823
8.83	-0.6	-0.159329
9.33	-0.86	-0.179173
9.83	-0.57	-0.200399
10.33	-0.61	-0.223055
10.83	-0.8	-0.24719
11.83	-1.06	-0.300112
12.17	-1.11	-0.31958
12.83	-1.08	-0.359611
13.33	-1.06	-0.391978
13.83	-0.5	-0.426172
14.33	-0.75	-0.462261
15	-0.48	-0.513706
15.5	-0.55	-0.55449
16	-0.51	-0.597397
16.5	-1.4	-0.642499
17	-1.25	-0.689866
17.5	-1.13	-0.73957
18	-0.86	-0.791682
18.5	-0.62	-0.846275
19.17	-0.26	-0.92344
19.5	-0.37	-0.963181
20.17	-0.24	-1.04749
20.67	-0.26	-1.11364
21.17	0.65	-1.18263
21.67	0.23	-1.25451
22.17	0.32	-1.32934
22.83	-0.32	-1.43272
23.33	-0.6	-1.51459
23.83	-0.96	-1.59956
24.33	-1	-1.68766
24.83	-1.06	-1.77892
25.33	-0.93	-1.87338
25.83	-0.71	-1.97104
26.33	-0.71	-2.07191
27.08	-1.81	-2.22925
27.58	-1.53	-2.33816
27.92	-1.87	-2.41405
28.42	-1.69	-2.52831
29.08	-1.29	-2.68397
29.42	-1.15	-2.76628
30.25	-1.62	-2.97317
30.75	-1.9	-3.10181
31.33	-3.92	-3.25472
31.83	-2.66	-3.38965
32.33	-2.81	-3.52738
33	-1.77	-3.71621
33.5	-2.32	-3.86021
34.17	-2.32	-4.05714
34.67	-3.59	-4.20694
35.17	-3.53	-4.35908
35.67	-4.33	-4.51345
36.33	-3.13	-4.72048
36.83	-3.02	-4.87967
