Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
22.2045	-1.79488	-158.936	-1.83849	-165.379
22.4044	-1.79098	-160.185	-1.84346	-166.662
22.6044	-1.83823	-161.474	-1.84794	-167.936
22.8043	-1.84423	-162.642	-1.85195	-169.202
23.0042	-1.86822	-163.965	-1.85548	-170.458
23.2042	-1.89592	-165.18	-1.85855	-171.705
23.4042	-1.9047	-166.365	-1.86116	-172.942
23.6041	-1.94649	-167.646	-1.86333	-174.17
23.8041	-1.9587	-168.775	-1.86506	-175.389
24.004	-1.97937	-170.085	-1.86635	-176.598
24.2039	-1.99745	-171.273	-1.86723	-177.798
24.4039	-2.02122	-172.538	-1.8677	-178.989
24.6039	-2.04179	-173.727	-1.86777	179.831
24.8038	-2.05169	-174.9	-1.86744	178.659
25.0038	-2.0819	-176.121	-1.86673	177.498
25.2037	-2.0946	-177.288	-1.86565	176.346
25.4036	-2.1217	-178.621	-1.86421	175.204
25.6036	-2.14112	-179.708	-1.86241	174.071
25.8036	-2.15614	178.96	-1.86027	172.948
26.0035	-2.17787	177.948	-1.8578	171.835
26.2035	-2.18419	176.621	-1.855	170.731
26.4034	-2.21461	175.476	-1.85189	169.637
26.6033	-2.2177	174.273	-1.84848	168.552
26.8033	-2.25106	173.128	-1.84478	167.477
27.0033	-2.25554	172.12	-1.84079	166.412
27.2032	-2.29203	170.756	-1.83652	165.356
27.4032	-2.30148	169.712	-1.832	164.309
27.6031	-2.30689	168.586	-1.82722	163.272
27.803	-2.35654	167.503	-1.82219	162.245
28.003	-2.3656	166.484	-1.81693	161.227
28.203	-2.3754	165.153	-1.81144	160.218
28.4029	-2.38059	164.209	-1.80573	159.219
28.6029	-2.39738	162.828	-1.79981	158.229
28.8028	-2.44154	161.672	-1.79369	157.248
29.0027	-2.41538	160.508	-1.78738	156.276
29.2027	-2.49641	159.447	-1.78089	155.313
29.4027	-2.45681	158.413	-1.77422	154.36
29.6026	-2.53638	157.182	-1.76738	153.415
29.8026	-2.51578	156.116	-1.76039	152.479
30.0025	-2.53791	155.004	-1.75324	151.553
30.2024	-2.52887	154.09	-1.74595	150.635
30.4024	-2.5448	153.205	-1.73852	149.725
30.6024	-2.59099	151.785	-1.73096	148.825
30.8023	-2.53998	151.1	-1.72328	147.933
31.0023	-2.57388	149.943	-1.71548	147.05
31.2022	-2.59062	149.539	-1.70757	146.175
31.4021	-2.6391	147.792	-1.69956	145.308
31.6021	-2.6553	147.096	-1.69146	144.45
31.8021	-2.60657	145.65	-1.68326	143.6
32.002	-2.66519	145.397	-1.67498	142.758
32.2019	-2.6737	143.646	-1.66662	141.925
32.4019	-2.65804	142.715	-1.65818	141.099
32.6018	-2.66954	141.735	-1.64968	140.282
32.8018	-2.6727	140.67	-1.64112	139.472
33.0018	-2.74772	139.699	-1.6325	138.67
33.2017	-2.66454	138.537	-1.62382	137.876
33.4016	-2.71852	137.683	-1.6151	137.09
33.6016	-2.65262	136.847	-1.60633	136.311
33.8015	-2.75221	135.666	-1.59753	135.54
34.0015	-2.6396	135.019	-1.58869	134.776
34.2015	-2.6702	133.446	-1.57982	134.019
34.4014	-2.63766	133.177	-1.57092	133.27
34.6013	-2.68689	131.96	-1.562	132.528
34.8013	-2.71277	130.97	-1.55306	131.793
35.0012	-2.6465	129.715	-1.5441	131.065
35.2012	-2.63153	128.691	-1.53514	130.345
35.4012	-2.57108	128.65	-1.52616	129.631
35.6011	-2.74697	127.079	-1.51718	128.924
35.801	-2.63149	126.299	-1.50819	128.224
