Freq_GHz	Norm_dB_model_sat
2.75521	-0.0609818
2.76519	-0.0614271
2.77518	-0.0618741
2.78516	-0.0623227
2.79514	-0.0627729
2.80512	-0.0632248
2.8151	-0.0636783
2.82509	-0.0641335
2.83507	-0.0645903
2.84505	-0.0650488
2.85503	-0.0655089
2.86501	-0.0659707
2.87499	-0.0664341
2.88498	-0.0668991
2.89496	-0.0673658
2.90494	-0.0678342
2.91492	-0.0683042
2.9249	-0.0687758
2.93489	-0.0692491
2.94487	-0.0697241
2.95485	-0.0702007
2.96483	-0.0706789
2.97481	-0.0711588
2.9848	-0.0716404
2.99478	-0.0721236
3.00476	-0.0726085
3.01474	-0.073095
3.02472	-0.0735831
3.03471	-0.074073
3.04469	-0.0745644
3.05467	-0.0750576
3.06465	-0.0755523
3.07463	-0.0760488
3.08462	-0.0765469
3.0946	-0.0770466
3.10458	-0.077548
3.11456	-0.0780511
3.12454	-0.0785558
3.13453	-0.0790622
3.14451	-0.0795702
3.15449	-0.0800799
3.16447	-0.0805912
3.17445	-0.0811042
3.18444	-0.0816189
3.19442	-0.0821352
3.2044	-0.0826532
3.21438	-0.0831729
3.22436	-0.0836942
3.23435	-0.0842171
3.24433	-0.0847418
3.25431	-0.0852681
3.26429	-0.085796
3.27427	-0.0863256
3.28426	-0.0868569
3.29424	-0.0873899
3.30422	-0.0879245
3.3142	-0.0884607
3.32418	-0.0889987
3.33417	-0.0895383
3.34415	-0.0900796
3.35413	-0.0906225
3.36411	-0.0911671
3.37409	-0.0917134
3.38408	-0.0922613
3.39406	-0.0928109
3.40404	-0.0933622
3.41402	-0.0939151
3.424	-0.0944697
3.43399	-0.095026
3.44397	-0.095584
3.45395	-0.0961436
3.46393	-0.0967049
3.47391	-0.0972679
3.4839	-0.0978325
3.49388	-0.0983988
3.50386	-0.0989668
3.51384	-0.0995364
3.52382	-0.100108
3.53381	-0.100681
3.54379	-0.101255
3.55377	-0.101832
3.56375	-0.10241
3.57373	-0.10299
3.58372	-0.103571
3.5937	-0.104154
3.60368	-0.104739
3.61366	-0.105325
3.62364	-0.105913
3.63363	-0.106503
3.64361	-0.107094
3.65359	-0.107688
3.66357	-0.108282
3.67355	-0.108879
3.68354	-0.109477
3.69352	-0.110077
3.7035	-0.110678
3.71348	-0.111282
3.72346	-0.111886
3.73345	-0.112493
3.74343	-0.113101
3.75341	-0.113711
3.76339	-0.114323
3.77337	-0.114936
3.78336	-0.115551
3.79334	-0.116168
3.80332	-0.116786
3.8133	-0.117406
3.82328	-0.118028
3.83327	-0.118651
3.84325	-0.119277
3.85323	-0.119903
3.86321	-0.120532
3.87319	-0.121162
3.88318	-0.121794
3.89316	-0.122427
3.90314	-0.123063
3.91312	-0.1237
3.9231	-0.124338
3.93309	-0.124979
3.94307	-0.125621
3.95305	-0.126264
3.96303	-0.12691
3.97301	-0.127557
3.983	-0.128206
3.99298	-0.128856
4.00296	-0.129508
4.01294	-0.130162
4.02292	-0.130818
4.03291	-0.131475
4.04289	-0.132134
4.05287	-0.132795
4.06285	-0.133457
4.07283	-0.134121
4.08282	-0.134787
4.0928	-0.135454
4.10278	-0.136124
4.11276	-0.136795
4.12274	-0.137467
4.13273	-0.138141
4.14271	-0.138817
4.15269	-0.139495
4.16267	-0.140174
4.17265	-0.140856
4.18264	-0.141538
4.19262	-0.142223
4.2026	-0.142909
4.21258	-0.143597
4.22256	-0.144287
4.23255	-0.144978
4.24253	-0.145671
4.25251	-0.146366
4.26249	-0.147062
4.27247	-0.14776
4.28246	-0.14846
4.29244	-0.149162
4.30242	-0.149865
4.3124	-0.15057
4.32238	-0.151277
4.33237	-0.151985
4.34235	-0.152695
4.35233	-0.153407
4.36231	-0.154121
4.37229	-0.154836
4.38228	-0.155553
4.39226	-0.156272
4.40224	-0.156992
