Freq_GHz	Norm_dB_model_sat
2.74523	-0.051493
2.75521	-0.0518699
2.76519	-0.0522482
2.77518	-0.0526279
2.78516	-0.0530089
2.79514	-0.0533914
2.80512	-0.0537753
2.8151	-0.0541605
2.82509	-0.0545471
2.83507	-0.0549352
2.84505	-0.0553246
2.85503	-0.0557154
2.86501	-0.0561076
2.87499	-0.0565012
2.88498	-0.0568962
2.89496	-0.0572926
2.90494	-0.0576904
2.91492	-0.0580895
2.9249	-0.0584901
2.93489	-0.0588921
2.94487	-0.0592954
2.95485	-0.0597002
2.96483	-0.0601063
2.97481	-0.0605138
2.9848	-0.0609228
2.99478	-0.0613331
3.00476	-0.0617448
3.01474	-0.062158
3.02472	-0.0625725
3.03471	-0.0629884
3.04469	-0.0634057
3.05467	-0.0638244
3.06465	-0.0642445
3.07463	-0.064666
3.08462	-0.0650889
3.0946	-0.0655132
3.10458	-0.0659389
3.11456	-0.066366
3.12454	-0.0667945
3.13453	-0.0672244
3.14451	-0.0676557
3.15449	-0.0680884
3.16447	-0.0685225
3.17445	-0.068958
3.18444	-0.0693949
3.19442	-0.0698332
3.2044	-0.0702729
3.21438	-0.070714
3.22436	-0.0711565
3.23435	-0.0716004
3.24433	-0.0720457
3.25431	-0.0724924
3.26429	-0.0729405
3.27427	-0.07339
3.28426	-0.0738409
3.29424	-0.0742932
3.30422	-0.074747
3.3142	-0.0752021
3.32418	-0.0756586
3.33417	-0.0761166
3.34415	-0.0765759
3.35413	-0.0770367
3.36411	-0.0774988
3.37409	-0.0779624
3.38408	-0.0784273
3.39406	-0.0788937
3.40404	-0.0793615
3.41402	-0.0798307
3.424	-0.0803013
3.43399	-0.0807733
3.44397	-0.0812467
3.45395	-0.0817215
3.46393	-0.0821977
3.47391	-0.0826753
3.4839	-0.0831544
3.49388	-0.0836348
3.50386	-0.0841167
3.51384	-0.0846
3.52382	-0.0850846
3.53381	-0.0855707
3.54379	-0.0860582
3.55377	-0.0865472
3.56375	-0.0870375
3.57373	-0.0875292
3.58372	-0.0880224
3.5937	-0.0885169
3.60368	-0.0890129
3.61366	-0.0895103
3.62364	-0.0900091
3.63363	-0.0905093
3.64361	-0.0910109
3.65359	-0.091514
3.66357	-0.0920184
3.67355	-0.0925243
3.68354	-0.0930316
3.69352	-0.0935403
3.7035	-0.0940504
3.71348	-0.0945619
3.72346	-0.0950749
3.73345	-0.0955892
3.74343	-0.096105
3.75341	-0.0966222
3.76339	-0.0971408
3.77337	-0.0976609
3.78336	-0.0981823
3.79334	-0.0987052
3.80332	-0.0992295
3.8133	-0.0997552
3.82328	-0.100282
3.83327	-0.100811
3.84325	-0.101341
3.85323	-0.101872
3.86321	-0.102405
3.87319	-0.102939
3.88318	-0.103475
3.89316	-0.104012
3.90314	-0.10455
3.91312	-0.10509
3.9231	-0.105632
3.93309	-0.106174
3.94307	-0.106719
3.95305	-0.107264
3.96303	-0.107811
3.97301	-0.10836
3.983	-0.10891
3.99298	-0.109461
4.00296	-0.110014
4.01294	-0.110568
4.02292	-0.111123
4.03291	-0.11168
4.04289	-0.112239
4.05287	-0.112799
4.06285	-0.11336
4.07283	-0.113923
4.08282	-0.114487
4.0928	-0.115052
4.10278	-0.115619
4.11276	-0.116188
4.12274	-0.116758
4.13273	-0.117329
4.14271	-0.117902
4.15269	-0.118476
4.16267	-0.119051
4.17265	-0.119628
4.18264	-0.120207
4.19262	-0.120787
4.2026	-0.121368
4.21258	-0.121951
4.22256	-0.122535
4.23255	-0.123121
4.24253	-0.123708
4.25251	-0.124296
4.26249	-0.124886
4.27247	-0.125477
4.28246	-0.12607
4.29244	-0.126664
4.30242	-0.12726
4.3124	-0.127857
4.32238	-0.128455
4.33237	-0.129055
4.34235	-0.129657
4.35233	-0.13026
4.36231	-0.130864
4.37229	-0.13147
4.38228	-0.132077
4.39226	-0.132685
4.40224	-0.133295
4.41222	-0.133907
4.4222	-0.13452
4.43219	-0.135134
4.44217	-0.13575
4.45215	-0.136367
4.46213	-0.136986
4.47211	-0.137606
4.4821	-0.138227
4.49208	-0.13885
4.50206	-0.139475
4.51204	-0.140101
4.52202	-0.140728
4.53201	-0.141357
4.54199	-0.141987
4.55197	-0.142618
4.56195	-0.143251
4.57193	-0.143886
4.58192	-0.144522
4.5919	-0.145159
4.60188	-0.145798
4.61186	-0.146439
4.62184	-0.14708
4.63183	-0.147724
4.64181	-0.148368
4.65179	-0.149014
4.66177	-0.149662
4.67175	-0.150311
4.68174	-0.150961
4.69172	-0.151613
4.7017	-0.152267
4.71168	-0.152921
4.72166	-0.153578
4.73165	-0.154235
4.74163	-0.154894
4.75161	-0.155555
4.76159	-0.156217
4.77157	-0.156881
4.78156	-0.157546
4.79154	-0.158212
4.80152	-0.15888
4.8115	-0.159549
4.82148	-0.16022
4.83147	-0.160892
4.84145	-0.161566
4.85143	-0.162241
4.86141	-0.162918
4.87139	-0.163596
4.88138	-0.164275
4.89136	-0.164956
4.90134	-0.165639
4.91132	-0.166322
4.9213	-0.167008
4.93129	-0.167695
4.94127	-0.168383
4.95125	-0.169073
4.96123	-0.169764
4.97121	-0.170456
4.9812	-0.17115
4.99118	-0.171846
5.00116	-0.172543
5.01114	-0.173242
5.02112	-0.173941
5.03111	-0.174643
5.04109	-0.175346
5.05107	-0.17605
5.06105	-0.176756
5.07103	-0.177463
5.08102	-0.178172
5.091	-0.178882
5.10098	-0.179594
5.11096	-0.180307
5.12094	-0.181021
5.13093	-0.181738
5.14091	-0.182455
5.15089	-0.183174
5.16087	-0.183894
5.17085	-0.184616
5.18084	-0.18534
5.19082	-0.186065
5.2008	-0.186791
5.21078	-0.187519
5.22076	-0.188248
5.23075	-0.188979
5.24073	-0.189711
5.25071	-0.190445
5.26069	-0.19118
5.27067	-0.191917
5.28066	-0.192655
5.29064	-0.193394
5.30062	-0.194135
5.3106	-0.194878
5.32058	-0.195622
5.33057	-0.196367
5.34055	-0.197114
5.35053	-0.197863
5.36051	-0.198613
5.37049	-0.199364
5.38048	-0.200117
5.39046	-0.200871
5.40044	-0.201627
5.41042	-0.202384
5.4204	-0.203143
5.43039	-0.203903
5.44037	-0.204665
5.45035	-0.205428
5.46033	-0.206193
5.47031	-0.206959
5.4803	-0.207727
5.49028	-0.208496
5.50026	-0.209266
5.51024	-0.210038
5.52022	-0.210812
5.53021	-0.211587
5.54019	-0.212364
5.55017	-0.213142
5.56015	-0.213921
5.57013	-0.214702
5.58012	-0.215485
5.5901	-0.216269
5.60008	-0.217054
5.61006	-0.217841
5.62004	-0.218629
5.63003	-0.219419
5.64001	-0.220211
5.64999	-0.221004
5.65997	-0.221798
5.66995	-0.222594
5.67994	-0.223391
5.68992	-0.22419
5.6999	-0.22499
5.70988	-0.225792
5.71986	-0.226595
5.72985	-0.2274
5.73983	-0.228207
5.74981	-0.229014
5.75979	-0.229824
5.76977	-0.230634
5.77976	-0.231447
5.78974	-0.232261
5.79972	-0.233076
5.8097	-0.233893
5.81968	-0.234711
5.82967	-0.235531
5.83965	-0.236352
5.84963	-0.237175
5.85961	-0.237999
5.86959	-0.238825
5.87958	-0.239652
5.88956	-0.24048
5.89954	-0.241311
5.90952	-0.242142
5.9195	-0.242976
5.92949	-0.24381
5.93947	-0.244647
5.94945	-0.245484
5.95943	-0.246324
5.96941	-0.247164
5.9794	-0.248007
5.98938	-0.24885
5.99936	-0.249696
6.00934	-0.250542
6.01932	-0.251391
6.02931	-0.25224
6.03929	-0.253092
6.04927	-0.253944
6.05925	-0.254799
6.06923	-0.255655
6.07922	-0.256512
6.0892	-0.257371
6.09918	-0.258231
